Title,Cost,Description,Photos,Brand,Сategory,id
"Delicate Rose : A 50ml Pack of Long-Lasting, Lingering & Enchanting Women's Perfume", 559.00,"Delicate Rose- a magical potion of floral fragrance, citrus, and musky notes.
The softness of this composition unravels with white and Damascene rose, merging sensuously with the creamy sandal and sweet patchouli.
A refreshing fusion of Italian bergamot and tangy mandarin, accentuated by spicy pepper and green aromatic undertones of geranium.
White musk and Tonka beans add a layer of addictive softness to the most Delicate Rose.
Suitable for any occasion, casual or formal
High-quality women's fragrance
Experience the captivating beauty of Delicate Rose with Bryan & Candy Delicate Rose","https://bryanandcandy.com/cdn/shop/products/DelicateRose_2_50ml_1024x.jpg?v=1673958141
https://bryanandcandy.com/cdn/shop/products/DelicateRose_3_50ml_1024x.jpg?v=1673958141
https://bryanandcandy.com/cdn/shop/products/DelicateRose_4_50ml_1024x.jpg?v=1673958141",Bryan & Candy,Women's Perfume,9162578666
"Illusion: A 50ml Pack of Long-Lasting, Lingering & Enchanting Women's Perfume", 559.00,"Illusion gradually unravels its mystical floral, fruity and musky layers adding an irresistible charm to the bearer’s beauty.
The marvellous melon and opulent orange teamed with the lilting lemon lend an alluring aura. Illusion encompasses the beauty of a floral bouquet: green lilies, powerful gardenia, lush magnolia, poised peonies and camellia blossoms.
Such a blooming fragrance is based on soft white musk notes, blending beautifully with warm amber, creamy sandal and earthy patchouli.","https://bryanandcandy.com/cdn/shop/products/Illusion_2_50ml_1024x.jpg?v=1673958230
https://bryanandcandy.com/cdn/shop/products/Illusion_3_50ml_1024x.jpg?v=1673958230
https://bryanandcandy.com/cdn/shop/products/Illusion_4_50ml_1024x.jpg?v=1673958230",Bryan & Candy,Women's Perfume,9101761493
"Icandy Perfume (EDP) for Women - 50ml : Long-Lasting, Lingering & Enchanting Women's Fragrance with an Oriental Charm, Mesmerizing notes of  Almonds and Coffee", 559.00,"I Candy is a delectable fragrance with an oriental appeal.
The mesmerizing aroma of almonds and coffee mingles with lively and tantalizing spices. Enriching its charm is the jasmine sambac and hypnotic tuberose with an enthralling hint of appealing vanilla and deep amber.
The cocoa touch in its luscious base complements the organic character of woody vetiver and Tonka bean.
Perfect for everyday wear or special occasions
50ml bottle size is perfect for travel
cruelty-free, so you can feel good about using it.
50 ML Pack","https://bryanandcandy.com/cdn/shop/products/Icandy_2_1024x.jpg?v=1673959406
https://bryanandcandy.com/cdn/shop/products/Icandy_3_1024x.jpg?v=1673959406
https://bryanandcandy.com/cdn/shop/products/Icandy_4_1024x.jpg?v=1673959406",Bryan & Candy,Women's Perfume,0119397232
"Enigma Perfume (EDP) for Women - 50ml : Long-Lasting, Lingering & Enchanting Women's Fragrance , Hypnotic notes of Magnolia and Violets", 559.00,"Enigma- a fragrant composition of fruity flavours and beautiful flowers.
Elegant bergamot and peach, the magnificent magnolia and vivacious violets together conjure up an exquisite fragrance of a forest nymphet.
The hypnotic charm of jasmine and tuberose alongside mesmerizing orchids add an oomph to the sensuality of plum.
It unfolds its layers of rapturous raspberry and captivating vanilla, followed by a veil of soft mosses.
Perfect for everyday wear or special occasions
50ml bottle size is perfect for travel
cruelty-free, so you can feel good about using it.
50 ML Pack","https://bryanandcandy.com/cdn/shop/products/Enigma_2_1024x.jpg?v=1673959441
https://bryanandcandy.com/cdn/shop/products/Enigma_3_1024x.jpg?v=1673959441
https://bryanandcandy.com/cdn/shop/products/Enigma_4_1024x.jpg?v=1673959441",Bryan & Candy,Women's Perfume,9111102854
Adore Women's Perfume (EDP) 25ml: A Long-lasting Lingering & Enchanting, 245.00,"Introducing Bryan & Candy Adore, a luxurious and long-lasting fragrance exclusively for women.
The scent provides a fresh and soothing aroma that lasts up to 12 hours.
Perfect for daily wear or special occasions, this Eau de Parfum is sure to become a favorite in your fragrance collection.
The elegant 25ml bottle is easy to use and perfect for carrying in your bag for touch-ups throughout the day.
Bryan & Candy Adore is cruelty-free and vegan, not only good for you but also for animals and the environment.
Indulge in the ultimate in luxury and sophistication with Bryan & Candy Adore, a fragrance that is made just for women and respect animal rights.","https://bryanandcandy.com/cdn/shop/products/Adore_25ml_packs_02_1024x.jpg?v=1676964925
https://bryanandcandy.com/cdn/shop/products/Adore_25ml_packs_05_1024x.jpg?v=1676964928
https://bryanandcandy.com/cdn/shop/products/Adore_25ml_packs_03_1024x.jpg?v=1676964928",Bryan & Candy,Women's Perfume,3958902117
Passion Perfume (EDP) - 25ml: A Long-lasting Fresh & Soothing Fragrance for Women, 245.00,"Introducing Bryan & Candy Passion, a luxurious and long-lasting fragrance exclusively for women.
The scent provides a fresh and soothing aroma that lasts up to 12 hours.
Perfect for daily wear or special occasions, this Eau de Parfum is sure to become a favorite in your fragrance collection.
The elegant 25ml bottle is easy to use and perfect for carrying in your bag for touch-ups throughout the day.
Bryan & Candy Passion is cruelty-free and vegan, not only good for you but also for animals and the environment.
Indulge in the ultimate in luxury and sophistication with Bryan & Candy Passion, a fragrance that is made just for women","https://bryanandcandy.com/cdn/shop/products/Passion_25ml_packs_02_1024x.jpg?v=1676964971
https://bryanandcandy.com/cdn/shop/products/Passion_25ml_packs_05_1024x.jpg?v=1676964973
https://bryanandcandy.com/cdn/shop/products/Passion_25ml_packs_03_1024x.jpg?v=1676964973",Bryan & Candy,Women's Perfume,0472290699
"Scandal Perfume (EDP) For Women,  25 ml, Long-lasting Fresh & Soothing Fragrance Upto 12 Hrs", 245.00,"Introducing Bryan & Candy Scandal, a luxurious and long-lasting fragrance exclusively for women.
The scent provides a fresh and soothing aroma that lasts up to 12 hours.
Perfect for daily wear or special occasions, this Eau de Parfum is sure to become a favorite in your fragrance collection.
The elegant 100ml bottle is easy to use and perfect for carrying in your bag for touch-ups throughout the day.
Cruelty-free and vegan, Bryan & Candy Scandal is a fragrance that is made just for women.
Indulge in the ultimate in luxury and sophistication with Bryan & Candy Scandal, a fragrance that is not only good for you but also for animals and the environment.","https://bryanandcandy.com/cdn/shop/products/Scandal_25ml_packs_02_1024x.jpg?v=1676965012
https://bryanandcandy.com/cdn/shop/products/Scandal_25ml_packs_05_1024x.jpg?v=1676965012
https://bryanandcandy.com/cdn/shop/products/Scandal_25ml_packs_03_1024x.jpg?v=1676965012",Bryan & Candy,Women's Perfume,0733520566
Sensual Perfume (EDP) 25ml: A Long-lasting Fresh & Soothing Fragrance for Women, 245.00,"Introducing Bryan & Candy Sensual, a luxurious and long-lasting fragrance exclusively for women.
The scent provides a fresh and soothing aroma that lasts up to 12 hours.
Perfect for daily wear or special occasions, this Eau de Parfum is sure to become a favorite in your fragrance collection.
The elegant 25ml bottle is easy to use and perfect for carrying in your bag for touch-ups throughout the day.
Bryan & Candy Sensual is cruelty-free and vegan, not only good for you but also for animals and the environment.
Indulge in the ultimate in luxury and sophistication with Bryan & Candy Sensual, a fragrance that is made just for women and respect animal rights.","https://bryanandcandy.com/cdn/shop/products/Sensual_25ml_packs_02_1024x.jpg?v=1676965099
https://bryanandcandy.com/cdn/shop/products/Sensual_25ml_packs_05_1024x.jpg?v=1676965099
https://bryanandcandy.com/cdn/shop/products/Sensual_25ml_packs_03_1024x.jpg?v=1676965099",Bryan & Candy,Women's Perfume,1495918233
"Long-Lasting Women's Perfume Collection - Perfume (EDP) Set of 4 (25ml each), Curated For the Woman of Today", 980.00,"Introducing Luxurious Women Perfumes Set of 4 - 25ml Each
All The Variants are carefully crafted to evoke specific moods and emotions
Long Lasting Experience upto 12 hours
All Perfumes are Cruelty-Free and Vegan","https://bryanandcandy.com/cdn/shop/products/25ml_packof_4_3_website_1024x.jpg?v=1675152247
https://bryanandcandy.com/cdn/shop/products/25ml_packof_4_9_1024x.jpg?v=1675155087
https://bryanandcandy.com/cdn/shop/products/25ml_packof_4_4_1024x.jpg?v=1675155087",Bryan & Candy,Women's Perfume,4056987527
Discover Women's Perfume Set | 4 Unique Scents, 420.00,"A set of 4 long-lasting and soothing fragrances curated for the modern woman
Includes four unique perfumes: Enigma, Delicate Rose, Icandy, and Illusion
Each perfume contains 8ml of fragrance
Provides a variety of fragrances to choose from, suitable for different moods and occasions
Enigma: a hypnotic blend of fruity flavors and floral elegance
Delicate Rose: a fresh and delicate rose fragrance with a modern twist
Icandy : a fruity and floral fragrance with a long-lasting and soothing effect
Illusion: a woody and musky fragrance with a hint of floral and fruity notes
Designed to evoke a sense of sophistication and elegance, with a modern touch
A great gift for a loved one or for treating yourself to a new fragrance experience.","https://bryanandcandy.com/cdn/shop/products/Discovery_Kit_her_08_1024x.jpg?v=1676963030
https://bryanandcandy.com/cdn/shop/products/Discovery_Kit_her_02_1024x.jpg?v=1676963030
https://bryanandcandy.com/cdn/shop/products/Discovery_Kit_her_04_1_1024x.jpg?v=1676971440",Bryan & Candy,Women's Perfume,3831848517
