title,price,story_description,category,sub_category,image_urls,size_title,size,description,id
Tundora Dark Gray Subtle Plaid Pant,"2,597"," Story Step up your style game with these sleek Tundora Dark Gray Subtle Plaid Pant. Combining
timeless elegance with a trendy edge, this pant is the perfect blend of classic and contemporary.
Whether you're dressing up or down, it's guaranteed to make heads turn. Embrace the dapper vibes and
stand out from the crowd.",Men’s Pants,Men’s New Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2723_1_360x.jpg?v=1686980229, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2723_1_800x.jpg?v=1686980229, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2723_2_800x.jpg?v=1686980229, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2723_3_800x.jpg?v=1687010670, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2723_4_800x.jpg?v=1687010670, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2723_5_800x.jpg?v=1687010670, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2723_6_800x.jpg?v=1687010670, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/formal_a8bfe98f-ccf6-4f6d-b24c-97ccad28af5d_800x.jpg?v=1687010670",Select Size,28|30|32|34|36|38|40|42|44,"Step up your style game with these sleek Tundora Dark Gray Subtle Plaid Pant. Combining timeless
elegance with a trendy edge, this pant is the perfect blend of classic and contemporary. Whether
you're dressing up or down, it's guaranteed to make heads turn. Embrace the dapper vibes and stand
out from the crowd.",1686980229
Tundora Dark Gray Subtle Plaid Pant,"2,597"," Story Step up your style game with these sleek Tundora Dark Gray Subtle Plaid Pant. Combining
timeless elegance with a trendy edge, this pant is the perfect blend of classic and contemporary.
Whether you're dressing up or down, it's guaranteed to make heads turn. Embrace the dapper vibes and
stand out from the crowd.",Men’s Pants,Men’s New Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2723_1_360x.jpg?v=1686980229, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2723_1_800x.jpg?v=1686980229, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2723_2_800x.jpg?v=1686980229, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2723_3_800x.jpg?v=1687010670, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2723_4_800x.jpg?v=1687010670, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2723_5_800x.jpg?v=1687010670, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2723_6_800x.jpg?v=1687010670, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/formal_a8bfe98f-ccf6-4f6d-b24c-97ccad28af5d_800x.jpg?v=1687010670",Select Size,28|30|32|34|36|38|40|42|44,"Step up your style game with these sleek Tundora Dark Gray Subtle Plaid Pant. Combining timeless
elegance with a trendy edge, this pant is the perfect blend of classic and contemporary. Whether
you're dressing up or down, it's guaranteed to make heads turn. Embrace the dapper vibes and stand
out from the crowd.",1686980229
Wine and Chestnut Brown Plaid Pant,"2,597"," Story Step up your style game with these sleek Wine and Chestnut Brown Plaid pants. Combining
timeless elegance with a trendy edge, this pant is the perfect blend of classic and contemporary.
Whether you're dressing up or down, it's guaranteed to make heads turn. Embrace the dapper vibes and
stand out from the crowd.",Men’s Pants,Men’s New Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2722_1_360x.jpg?v=1686980152, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2722_1_800x.jpg?v=1686980152, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2722_2_800x.jpg?v=1687010675, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2722_3_800x.jpg?v=1687010675, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2722_4_800x.jpg?v=1687010674, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2722_5_800x.jpg?v=1687010674, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2722_6_800x.jpg?v=1687010674, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/formal_b30f2e61-2c7f-4565-bd08-28e66ead6a5d_800x.jpg?v=1687010674",Select Size,28|30|32|34|36|38|40|42|44,"Step up your style game with these sleek Wine and Chestnut Brown Plaid pants. Combining timeless
elegance with a trendy edge, this pant is the perfect blend of classic and contemporary. Whether
you're dressing up or down, it's guaranteed to make heads turn. Embrace the dapper vibes and stand
out from the crowd.",1686980152
Wine and Chestnut Brown Plaid Pant,"2,597"," Story Step up your style game with these sleek Wine and Chestnut Brown Plaid pants. Combining
timeless elegance with a trendy edge, this pant is the perfect blend of classic and contemporary.
Whether you're dressing up or down, it's guaranteed to make heads turn. Embrace the dapper vibes and
stand out from the crowd.",Men’s Pants,Men’s New Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2722_1_360x.jpg?v=1686980152, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2722_1_800x.jpg?v=1686980152, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2722_2_800x.jpg?v=1687010675, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2722_3_800x.jpg?v=1687010675, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2722_4_800x.jpg?v=1687010674, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2722_5_800x.jpg?v=1687010674, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2722_6_800x.jpg?v=1687010674, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/formal_b30f2e61-2c7f-4565-bd08-28e66ead6a5d_800x.jpg?v=1687010674",Select Size,28|30|32|34|36|38|40|42|44,"Step up your style game with these sleek Wine and Chestnut Brown Plaid pants. Combining timeless
elegance with a trendy edge, this pant is the perfect blend of classic and contemporary. Whether
you're dressing up or down, it's guaranteed to make heads turn. Embrace the dapper vibes and stand
out from the crowd.",1686980152
Pinkish Maroon Dobby Textured Pant,"2,597"," Story Experience the epitome of comfort and style with this Pinkish Maroon Textured Premium Giza
Cotton Pant! Crafted from the finest Giza cotton, this pant offers a luxurious feel and
breathability. The texture adds a unique touch to the elegant maroon shade, making it a versatile
addition to your wardrobe. Whether it's a formal event or a casual outing, these pants will elevate
your look effortlessly. Embrace timeless fashion with a contemporary twist",Men’s Pants,Men’s New Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_1_360x.jpg?v=1686980503, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_1_800x.jpg?v=1686980503, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_2_800x.jpg?v=1686980503, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_3_cf5c104b-6cec-4f91-ac2f-7bf66b165d44_800x.jpg?v=1687010680, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_4_800x.jpg?v=1687010680, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_5_800x.jpg?v=1687010680, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_6_800x.jpg?v=1687010680, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_7_800x.jpg?v=1687010680, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_1_6e256821-a75b-4522-9362-7f7a9c1fa4e3_800x.jpg?v=1687010680, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_2_555eaee6-3c0e-462e-8a5b-1210f3a6cef3_800x.jpg?v=1687010680, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/formal_05ba2f0d-bd1e-42fc-ba88-25938af1810a_800x.jpg?v=1686980512, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_4_6b000f34-6d5f-47fa-ab17-8c623ec177a8_800x.jpg?v=1686980497, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_5_2d1e670b-ec00-4b0a-b991-3eb4bf2412c8_800x.jpg?v=1686980498, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_6_0f2337af-1445-45c3-b4c5-fc1f2c866197_800x.jpg?v=1686980497, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_7_b1ece1ea-57e6-43d3-9d87-9b305e2a6ecd_800x.jpg?v=1686980497, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_3_800x.jpg?v=1687010640",Select Size,28|30|32|34|36|38|40|42|44,"Experience the epitome of comfort and style with this Pinkish Maroon Textured Premium Giza Cotton
Pant! Crafted from the finest Giza cotton, this pant offers a luxurious feel and breathability. The
texture adds a unique touch to the elegant maroon shade, making it a versatile addition to your
wardrobe. Whether it's a formal event or a casual outing, these pants will elevate your look
effortlessly. Embrace timeless fashion with a contemporary twist",1686980503
Pinkish Maroon Dobby Textured Pant,"2,597"," Story Experience the epitome of comfort and style with this Pinkish Maroon Textured Premium Giza
Cotton Pant! Crafted from the finest Giza cotton, this pant offers a luxurious feel and
breathability. The texture adds a unique touch to the elegant maroon shade, making it a versatile
addition to your wardrobe. Whether it's a formal event or a casual outing, these pants will elevate
your look effortlessly. Embrace timeless fashion with a contemporary twist",Men’s Pants,Men’s New Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_1_360x.jpg?v=1686980503, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_1_800x.jpg?v=1686980503, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_2_800x.jpg?v=1686980503, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_3_cf5c104b-6cec-4f91-ac2f-7bf66b165d44_800x.jpg?v=1687010680, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_4_800x.jpg?v=1687010680, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_5_800x.jpg?v=1687010680, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_6_800x.jpg?v=1687010680, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_7_800x.jpg?v=1687010680, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_1_6e256821-a75b-4522-9362-7f7a9c1fa4e3_800x.jpg?v=1687010680, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_2_555eaee6-3c0e-462e-8a5b-1210f3a6cef3_800x.jpg?v=1687010680, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/formal_05ba2f0d-bd1e-42fc-ba88-25938af1810a_800x.jpg?v=1686980512, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_4_6b000f34-6d5f-47fa-ab17-8c623ec177a8_800x.jpg?v=1686980497, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_5_2d1e670b-ec00-4b0a-b991-3eb4bf2412c8_800x.jpg?v=1686980498, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_6_0f2337af-1445-45c3-b4c5-fc1f2c866197_800x.jpg?v=1686980497, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_7_b1ece1ea-57e6-43d3-9d87-9b305e2a6ecd_800x.jpg?v=1686980497, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2720_3_800x.jpg?v=1687010640",Select Size,28|30|32|34|36|38|40|42|44,"Experience the epitome of comfort and style with this Pinkish Maroon Textured Premium Giza Cotton
Pant! Crafted from the finest Giza cotton, this pant offers a luxurious feel and breathability. The
texture adds a unique touch to the elegant maroon shade, making it a versatile addition to your
wardrobe. Whether it's a formal event or a casual outing, these pants will elevate your look
effortlessly. Embrace timeless fashion with a contemporary twist",1686980503
Thatch Light Pink Pant,"2,597"," Story Introducing our Thatch Light Pink Pant, a versatile and stylish addition to your wardrobe.
The light pink hue exudes sophistication, while the regular fit ensures a sleek silhouette. Pair
these pants with a crisp shirt or dress them down with a casual shirt for a modern, effortlessly
chic look.",Men’s Pants,Men’s New Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2719_1_360x.jpg?v=1686980544, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2719_1_800x.jpg?v=1686980544, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2719_2_800x.jpg?v=1686980544, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2719_3_800x.jpg?v=1687010682, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2719_4_800x.jpg?v=1687010682, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2719_5_800x.jpg?v=1687010682, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2719_6_800x.jpg?v=1687010682, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/formal_c0c4aa86-fc58-4117-ac00-573e099aede6_800x.jpg?v=1687010682",Select Size,28|30|32|34|36|38|40|42|44,"Introducing our Thatch Light Pink Pant, a versatile and stylish addition to your wardrobe. The light
pink hue exudes sophistication, while the regular fit ensures a sleek silhouette. Pair these pants
with a crisp shirt or dress them down with a casual shirt for a modern, effortlessly chic look.",1686980544
Thatch Light Pink Pant,"2,597"," Story Introducing our Thatch Light Pink Pant, a versatile and stylish addition to your wardrobe.
The light pink hue exudes sophistication, while the regular fit ensures a sleek silhouette. Pair
these pants with a crisp shirt or dress them down with a casual shirt for a modern, effortlessly
chic look.",Men’s Pants,Men’s New Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2719_1_360x.jpg?v=1686980544, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2719_1_800x.jpg?v=1686980544, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2719_2_800x.jpg?v=1686980544, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2719_3_800x.jpg?v=1687010682, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2719_4_800x.jpg?v=1687010682, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2719_5_800x.jpg?v=1687010682, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2719_6_800x.jpg?v=1687010682, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/formal_c0c4aa86-fc58-4117-ac00-573e099aede6_800x.jpg?v=1687010682",Select Size,28|30|32|34|36|38|40|42|44,"Introducing our Thatch Light Pink Pant, a versatile and stylish addition to your wardrobe. The light
pink hue exudes sophistication, while the regular fit ensures a sleek silhouette. Pair these pants
with a crisp shirt or dress them down with a casual shirt for a modern, effortlessly chic look.",1686980544
Heathered Light Brown Pant,"2,597"," Story Introducing our Heathered Light Brown Pant, a versatile and stylish addition to your
wardrobe. The light brown hue exudes sophistication, while the regular fit ensures a sleek
silhouette. Pair these pants with a crisp shirt or dress them down with a casual shirt for a modern,
effortlessly chic look.",Men’s Pants,Men’s New Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2718_1_360x.jpg?v=1686980691, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2718_1_800x.jpg?v=1686980691, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2718_2_800x.jpg?v=1686980691, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2718_3_800x.jpg?v=1687010684, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2718_4_800x.jpg?v=1687010684, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2718_5_800x.jpg?v=1687010684, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2718_6_800x.jpg?v=1687010684, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/formal_9f3f125e-b624-4eb1-953b-77a60a8bf2d2_800x.jpg?v=1687010684",Select Size,28|30|32|34|36|38|40|42|44,"Introducing our Heathered Light Brown Pant, a versatile and stylish addition to your wardrobe. The
light brown hue exudes sophistication, while the regular fit ensures a sleek silhouette. Pair these
pants with a crisp shirt or dress them down with a casual shirt for a modern, effortlessly chic
look.",1686980691
Heathered Light Brown Pant,"2,597"," Story Introducing our Heathered Light Brown Pant, a versatile and stylish addition to your
wardrobe. The light brown hue exudes sophistication, while the regular fit ensures a sleek
silhouette. Pair these pants with a crisp shirt or dress them down with a casual shirt for a modern,
effortlessly chic look.",Men’s Pants,Men’s New Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2718_1_360x.jpg?v=1686980691, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2718_1_800x.jpg?v=1686980691, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2718_2_800x.jpg?v=1686980691, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2718_3_800x.jpg?v=1687010684, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2718_4_800x.jpg?v=1687010684, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2718_5_800x.jpg?v=1687010684, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2718_6_800x.jpg?v=1687010684, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/formal_9f3f125e-b624-4eb1-953b-77a60a8bf2d2_800x.jpg?v=1687010684",Select Size,28|30|32|34|36|38|40|42|44,"Introducing our Heathered Light Brown Pant, a versatile and stylish addition to your wardrobe. The
light brown hue exudes sophistication, while the regular fit ensures a sleek silhouette. Pair these
pants with a crisp shirt or dress them down with a casual shirt for a modern, effortlessly chic
look.",1686980691
