Title,Category,Subcategory,Price,Description,Description_All,Main_Image_URL,All_Image_URLs,Product_ID
Tuberose Jasmine  Luxurious Veda 20 Incense Cones with Holder,Home Fragrance,Dhoop Cones,150.00,,"Content
20 Cones & Lotus Metal Incense Holder
Description
FRAGRANCE: Tuberose Jasmine(Uplifting and Anti-Stress).Notes of fresh Indian jasmine flowers combine
fabulously with white blossoms of tuberose to form this uplifting and stress relieving fragrance.
Story
WHO IS A VATA? Enthusiastic, light and creative with an athletic built. They sometimes get restless
or suffer from sleeping disorders
Ingredients
Natural Frankincense Resin, Bark Joss Powder, Wood Powder, Guar Gum, Resin, Fragrance & Essential
Oil.
Olfactory Note
Non-Toxic | Chemical Free | Cones Infused with Natural Food Grade Colours
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvinc20h1tuja.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvinc20h1tuja.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvinc20h1tuja1.jpg",1692304608118
Sage Mint Luxurious Veda 20 Incense Cones with Holder,Home Fragrance,Dhoop Cones,150.00,,"Content
20 Cones & Lotus Metal Incense Holder
Description
FRAGRANCE: Sage Mint (Cleansing and Recharging).The earthy blend of holy sage cleanses the
surroundings, while the cooling properties of mint leaves keep you charged and invigorated all day.
Story
WHO IS A KAPHA? Calm, loving and understanding with an impressive built, and well defined features.
They may exhibit tendencies to over-eat, avoid exercise and sleep excessively.
Ingredients
Natural Frankincense Resin, Bark Joss Powder, Wood Powder, Guar Gum, Resin, Fragrance & Essential
Oil.
Olfactory Note
Non-Toxic | Chemical Free | Cones Infused with Natural Food Grade Colours
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvinc20h1sgmt.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvinc20h1sgmt.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvinc20h1sgmt1.jpg",1692304614111
Lavender Lemongrass  Ayurveda 20 Incense Cones with Holder,Home Fragrance,Dhoop Cones,150.00,,"Content
20 Cones & Lotus Metal Incense Holder
Description
FRAGRANCE: Lavender Lemongrass (Calming and Refreshing).The wonderful balance between the calming
power of Lavender and the refreshing essence of citrusy lemongrass make it the ideal essential oil
blend for tridosha.
Story
WHO IS A TRIDOSHA? Inherently at ease, harmonious individuals, exuberating a natural balance.
Usually of medium built, they have an ideal physique. They may fear the unknown and find it
difficult to manage extremely stressful situations.
Ingredients
Natural Frankincense Resin, Bark Joss Powder, Wood Powder, Guar Gum, Resin, Fragrance & Essential
Oil.
Olfactory Note
Non-Toxic | Chemical Free | Cones Infused with Natural Food Grade Colours
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvinc20h1lvlg.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvinc20h1lvlg.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvinc20h1-lvlg_1.jpg",1692304622950
Aqua Oud  Ayurveda 20 Incense Cones with Holder,Home Fragrance,Dhoop Cones,150.00,,"Content
20 Cones & Lotus Metal Incense Holder
Description
FRAGRANCE: Aqua Oud (Cooling and Soothing). The sophisticated and cooling aqua notes combine
perfectly with the irresistible warm and soothing fragrance of Assam agarwood oil.
Story
WHO IS A PITTA? Logical and focused, usually of average height and a muscular built. May suffer from
fits of anger and find it difficult to relax.
Ingredients
Natural Frankincense Resin, Bark Joss Powder, Wood Powder, Guar Gum, Resin, Fragrance & Essential
Oil.
Olfactory Note
Non-Toxic | Chemical Free | Incense Infused with Natural Food Grade Colours
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvinc20h1aqoo.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvinc20h1aqoo.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvinc20h1-aqoo_1.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvinc20h1aqoo1.jpg",1692304632183
Sandalwood Organic Incense Cones,Home Fragrance,Dhoop Cones,150.00,96% Organic Material | Non-Toxic | Chemical Free | Organic Hand - Rolled Masala Incense,"Content
12 Cone with Ceramic Burner
Description
Available in 12 fragrances
Story
Delve into the age old Indian tradition of burning incense - it helps in clearing the mind,
heightens the awareness of self during meditation, and creates an aura of positive energy. These
hand-rolled masala incense cones have been carefully prepared with natural wood powder and herbal
essential oil extracts to enable a truly enriching experience.
Ingredients
Natural Frankincense Resin, Activated Carbon, Organic Sugarcane Water, Bark Joss Powder, Wood
Powder, Organic Camphor & Essential Oils
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/incor12h1-sw.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/incor12h1-sw.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/incor12h1-sw_4.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/incor12h1-sw_2.jpg",1692304641269
Rose Organic Incense Cones,Home Fragrance,Dhoop Cones,150.00,96% Organic Material | Non-Toxic | Chemical Free | Organic Hand - Rolled Masala Incense,"Content
12 Cone with Ceramic Burner
Description
Available in 12 fragrances
Story
Delve into the age old Indian tradition of burning incense - it helps in clearing the mind,
heightens the awareness of self during meditation, and creates an aura of positive energy. These
hand-rolled masala incense cones have been carefully prepared with natural wood powder and herbal
essential oil extracts to enable a truly enriching experience.
Ingredients
Natural Frankincense Resin, Activated Carbon, Organic Sugarcane Water, Bark Joss Powder, Wood
Powder, Organic Camphor & Essential Oils
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/incor12h1-ro_1.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/incor12h1-ro_1.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/incor12h1-ro_4.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/incor12h1-ro_2.jpg",1692304650942
Patchouli Organic Incense Cones,Home Fragrance,Dhoop Cones,150.00,96% Organic Material | Non-Toxic | Chemical Free | Organic Hand - Rolled Masala Incense,"Content
12 Cone with Ceramic Burner
Description
Available in 12 fragrances
Story
Delve into the age old Indian tradition of burning incense - it helps in clearing the mind,
heightens the awareness of self during meditation, and creates an aura of positive energy. These
hand-rolled masala incense cones have been carefully prepared with natural wood powder and herbal
essential oil extracts to enable a truly enriching experience.
Ingredients
Natural Frankincense Resin, Activated Carbon, Organic Sugarcane Water, Bark Joss Powder, Wood
Powder, Organic Camphor & Essential Oils
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/incor12h1-pa.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/incor12h1-pa.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/incor12h1-pa_4.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/incor12h1-pa_2.jpg",1692304661401
Arabian Oudh Organic Incense Cones,Home Fragrance,Dhoop Cones,150.00,96% Organic Material | Non-Toxic | Chemical Free | Organic Hand - Rolled Masala Incense,"Content
12 Cone with Ceramic Burner
Description
Available in 12 fragrances
Story
Delve into the age old Indian tradition of burning incense - it helps in clearing the mind,
heightens the awareness of self during meditation, and creates an aura of positive energy. These
hand-rolled masala incense cones have been carefully prepared with natural wood powder and herbal
essential oil extracts to enable a truly enriching experience.
Ingredients
Natural Frankincense Resin, Activated Carbon, Organic Sugarcane Water, Bark Joss Powder, Wood
Powder, Organic Camphor & Essential Oils
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/incor12h1-oo_1.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/incor12h1-oo_1.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/incor12h1-oo_4.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/incor12h1-oo_2.jpg",1692304670902
Nag Champa Organic Incense Cones,Home Fragrance,Dhoop Cones,150.00,96% Organic Material | Non-Toxic | Chemical Free | Organic Hand - Rolled Masala Incense,"Content
12 Cone with Ceramic Burner
Description
Available in 12 fragrances
Story
Delve into the age old Indian tradition of burning incense - it helps in clearing the mind,
heightens the awareness of self during meditation, and creates an aura of positive energy. These
hand-rolled masala incense cones have been carefully prepared with natural wood powder and herbal
essential oil extracts to enable a truly enriching experience.
Ingredients
Natural Frankincense Resin, Activated Carbon, Organic Sugarcane Water, Bark Joss Powder, Wood
Powder, Organic Camphor & Essential Oils
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/incor12h1-na.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/incor12h1-na.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/incor12h1-na_4.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/incor12h1-na_2.jpg",1692304680573
Lavender Organic Incense Cones,Home Fragrance,Dhoop Cones,150.00,96% Organic Material | Non-Toxic | Chemical Free | Organic Hand - Rolled Masala Incense,"Content
12 Cone with Ceramic Burner
Description
12 Cone with Ceramic Burner
Story
Delve into the age old Indian tradition of burning incense - it helps in clearing the mind,
heightens the awareness of self during meditation, and creates an aura of positive energy. These
hand-rolled masala incense cones have been carefully prepared with natural wood powder and herbal
essential oil extracts to enable a truly enriching experience.
Ingredients
Natural Frankincense Resin, Activated Carbon, Organic Sugarcane Water, Bark Joss Powder, Wood
Powder, Organic Camphor & Essential Oils
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/incor12h1-lv.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/incor12h1-lv.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/incor12h1-lv_4.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/n/incor12h1-lv_2.jpg",1692304690017
