Title,Cost,Description,Photos,Brand,Сategory,id
"TURQUOISE BLUE | SPICED APPLE,60 GM (PACK OF 2)", 385.00,"Aromatherapy Bliss: Experience the therapeutic benefits of Spiced Apple and Turquoise Blue scents, designed to promote relaxation and well-being.
Gift-Ready Packaging: Packaged in a beautifully designed printed tin, making it an ideal gift for any occasion.
Eco-Friendly Soy Wax: Made from natural soy wax, these candles are environmentally friendly and sustainable, providing a clean and long-lasting burn.
Long-Lasting Fragrance: Each candle provides up to 20 hours of burn time, allowing you to enjoy the delightful aromas for an extended period.
Dual Scent Experience: Enjoy the calming Spiced Apple or the romantic Turquoise Blue scent, giving you options for different moods and settings.
Versatile Usage: Perfect for creating a relaxing atmosphere in your home, office, or during a spa-like bath.
Safe and Non-Toxic: Free from harmful chemicals, ensuring a safe and healthy experience for you and your loved ones.
Compact and Portable: The 60gm size makes these candles easy to carry, allowing you to take the soothing ambiance wherever you go.
Enhanced Relaxation: Transform your space into a haven of calmness and serenity, providing a retreat from the demands of daily life.","https://bryanandcandy.com/cdn/shop/files/Packof_2_60g_Turquoiseblue-SpicedApple_02_1024x.jpg?v=1696500171
https://bryanandcandy.com/cdn/shop/files/Packof_2_60g_Turquoiseblue-SpicedApple_04_1024x.jpg?v=1696500174
https://bryanandcandy.com/cdn/shop/files/Packof_2_60g_Turquoiseblue-SpicedApple_03_1024x.jpg?v=1696500174",Bryan & Candy,Candles,8996917860
"Lavender Citrus | Bulgerian Rose,60gm (Pack of 2)", 385.00,"Aromatherapy Bliss: Experience the therapeutic benefits of Lavender Citrus and Bulgarian Rose scents, designed to promote relaxation and well-being.
Gift-Ready Packaging: Packaged in a beautifully designed printed tin, making it an ideal gift for any occasion.
Eco-Friendly Soy Wax: Made from natural soy wax, these candles are environmentally friendly and sustainable, providing a clean and long-lasting burn.
Long-Lasting Fragrance: Each candle provides up to 20 hours of burn time, allowing you to enjoy the delightful aromas for an extended period.
Dual Scent Experience: Enjoy the calming Lavender Citrus or the romantic Bulgarian Rose scent, giving you options for different moods and settings.
Versatile Usage: Perfect for creating a relaxing atmosphere in your home, office, or during a spa-like bath.
Safe and Non-Toxic: Free from harmful chemicals, ensuring a safe and healthy experience for you and your loved ones.
Compact and Portable: The 60gm size makes these candles easy to carry, allowing you to take the soothing ambiance wherever you go.
Enhanced Relaxation: Transform your space into a haven of calmness and serenity, providing a retreat from the demands of daily life.","https://bryanandcandy.com/cdn/shop/files/02_Packof_2_60g_Rose-Lavender_1024x.jpg?v=1697020665
https://bryanandcandy.com/cdn/shop/files/04_Packof_2_60g_Rose-Lavender_1024x.jpg?v=1697020674
https://bryanandcandy.com/cdn/shop/files/03_Packof_2_60g_Rose-Lavender_1024x.jpg?v=1697020674",Bryan & Candy,Candles,7128207762
"Candle for Home Decor, Exercise, Aromatheraphy Pack of 4 Candles(4 * 60gm)", 770.00,"Popular Fragrance: Scented candles gift set of 4 popular fragrances: Lavender Citrus , Bulgerian Rose , Turquoise Blue , Spiced Apple
100% Natural Soy wax: The aromatherapy candle gift set made of 100% natural soy, pure cotton wick and lead-free. Healthy and harmless to the human body and the environment.
Long Burning Time: 60 gm each candle and it can burn upto 14 hours, it can relax yourself, relieve the stress and enjoy the quiet time.
Reusable Eco Friendly Printed Tin: After the candles are completely burned, the eco friendly tin can be used to store small things or as other decorations.
Ideal Gift Set: The Candle Gift Set is a good choice for Diwali, Valentine’s Day, Party, Christmas and other Decoration. You can also use it in spas, yoga rooms, bathroom and bedrooms.","https://bryanandcandy.com/cdn/shop/files/00_Candle_60g_carton_1024x.jpg?v=1695297100
https://bryanandcandy.com/cdn/shop/files/02_Candle_60g_carton_1024x.jpg?v=1695297100
https://bryanandcandy.com/cdn/shop/files/04_Candle_60g_carton_1024x.jpg?v=1695297100",Bryan & Candy,Candles,0064894673
"Cherry Blossom, Vintage Sandalwood Candle 100 GM (Pack of 2)", 490.00,"Popular Fragrance: Scented candles gift set of 2 popular fragrances: Cherry Blossom, Vintage Sandalwood.
100% Natural Soy wax: The aromatherapy candle gift set made of 100% natural soy, pure cotton wick and lead-free. Healthy and harmless to the human body and the environment.
Long Burning Time: 100 gm each candle and it can burn upto 20 hours, it can relax yourself, relieve the stress and enjoy the quiet time.
Reusable Eco Friendly Tin: After the candles are completely burned, the eco friendly tin can be used to store small things or as other decorations.
Ideal Gift Set: The Candle Gift Set is a good choice for Diwali, Valentine’s Day, Party, Christmas and other Decoration. You can also use it in spas, yoga rooms, bathroom and bedrooms.","https://bryanandcandy.com/cdn/shop/products/CopyofDSC09255edit1080_1024x.jpg?v=1657003545
https://bryanandcandy.com/cdn/shop/products/PackOf_2_Candle_Cherry_Blossom_1024x.jpg?v=1676364906
https://bryanandcandy.com/cdn/shop/products/CopyofDSC00898_0e29bb02-387f-4ecc-b928-de7e0bd0ad7a_1024x.jpg?v=1676364906",Bryan & Candy,Candles,0440342560
"Neroli & Honeycomb, Lavender & Chamomile Candle  100 GM (Pack of 2)", 490.00,"Popular Fragrance: Scented candles gift set of 2 popular fragrances: Neroli & Honeycomb, and Lavender & Chamonile.
100% Natural Soy wax: The aromatherapy candle gift set made of 100% natural soy, pure cotton wick and lead-free. Healthy and harmless to the human body and the environment.
Long Burning Time: 100 gm each candle and it can burn upto 20 hours, it can relax yourself, relieve the stress and enjoy the quiet time.
Reusable Eco Friendly Tin: After the candles are completely burned, the eco friendly tin can be used to store small things or as other decorations.
Ideal Gift Set: The Candle Gift Set is a good choice for Diwali, Valentine’s Day, Party, Christmas and other Decoration. You can also use it in spas, yoga rooms, bathroom and bedrooms.","https://bryanandcandy.com/cdn/shop/products/81aiTJYDMkL._SL1500_1024x.jpg?v=1659092021
https://bryanandcandy.com/cdn/shop/products/PackOf_2_Candle_1024x.jpg?v=1676364948
https://bryanandcandy.com/cdn/shop/products/71A1eJ2HeVL._SL1500_1024x.jpg?v=1676364948",Bryan & Candy,Candles,3059825970
"Cherry Blossom,Vintage Sandalwood,Neroli & Honeycomb,Lavender & Chamomile Candle 100 GM (Pack of 4)", 980.00,"Popular Fragrance: Scented candles gift set of 4 popular fragrances: Cherry Blossom, Vintage Sandalwood, Neroli & Honeycomb, and Lavender & Chamomile.
100% Natural Soy wax: The aromatherapy candle gift set made of 100% natural soy, pure cotton wick and lead-free. Healthy and harmless to the human body and the environment.
Long Burning Time: 100 gm each candle and it can burn upto 20 hours, it can relax yourself, relieve the stress and enjoy the quiet time.
Reusable Eco Friendly Tin: After the candles are completely burned, the eco friendly tin can be used to store small things or as other decorations.
Ideal Gift Set: The Candle Gift Set is a good choice for Diwali, Valentine’s Day, Party, Christmas and other Decoration. You can also use it in spas, yoga rooms, bathroom and bedrooms.","https://bryanandcandy.com/cdn/shop/products/02_Candle_Packof_4_b046ef0b-2cae-4dbc-babb-46c58cc9b061_1024x.jpg?v=1669898065
https://bryanandcandy.com/cdn/shop/products/01_Candle_packof_4_1024x.jpg?v=1676461990
https://bryanandcandy.com/cdn/shop/products/04_Candle_Packof_4_36ccbdb1-5d91-4788-b148-aedaea897371_1024x.jpg?v=1676461990",Bryan & Candy,Candles,1679122629
Collection of Five Elements Fragrance Candles 100 GM, 980.00,"Space encompasses the four significant elements Air, Water, Fire and Earth. All four elements are pure and are an integral part of all that exists in this Universe. Our human temperaments too are described by ancient scholars based on these four elements.
 Bryan & Candy's ""Collection of Five Elements"" is a premium bouquet of exotic and aromatic fragrance candles uniquely designed & created in alignment with these four elements which possess the power to soothe and relax your body, mind and soul.
A lit candle diffuses aromatic fragrance which helps maintain a perfect equilibrium of all the elements in your body so that you are rejuvenated and energised to take up all the challenges that each new day brings in. A specially designed box to hold these four element candles, represents the Space.","https://bryanandcandy.com/cdn/shop/products/01_Candle_packOf_4_new_8341c370-916f-44fd-9082-4fa1180e2993_1024x.jpg?v=1669898301
https://bryanandcandy.com/cdn/shop/products/02_Candle_FiveElements_1024x.jpg?v=1676462005
https://bryanandcandy.com/cdn/shop/products/03_Candle_packOf_4_new_a6740d8f-5a22-4406-bdb8-1a0db8fe8b4f_1024x.jpg?v=1676462005",Bryan & Candy,Candles,3615781733
"Jasmine & Orange Flower, Black Rose & Frankincense Candle 142 GM (Pack of 2)", 700.00,"Popular Fragrance: Scented candles gift set of 2 popular fragrances: Jasmine & Orange Flower, Black Rose & Frankincense
100% Natural Soy wax: The aromatherapy candle gift set made of 100% natural soy, pure cotton wick and lead-free. Healthy and harmless to the human body and the environment.
Long Burning Time: 142 gm each candle and it can burn upto 22 hours, it can relax yourself, relieve the stress and enjoy the quiet time.
Reusable Eco Friendly Tin: After the candles are completely burned, the eco friendly tin can be used to store small things or as other decorations.
Ideal Gift Set: The Candle Gift Set is a good choice for Diwali, Valentine’s Day, Party, Christmas and other Decoration. You can also use it in spas, yoga rooms, bathroom and bedrooms.","https://bryanandcandy.com/cdn/shop/products/CopyofDSC00850edit1080_1024x.jpg?v=1657781724
https://bryanandcandy.com/cdn/shop/products/PackOf_2_Candle_Jasmine_Black_Rose_1024x.jpg?v=1676364970
https://bryanandcandy.com/cdn/shop/products/CopyofDSC00859edit1080_1024x.jpg?v=1676364970",Bryan & Candy,Candles,0746845420
Triangle Candle carton (pack of 3 candles - 142gm each)," 1,050.00","Popular Fragrance: Scented candles gift set of 3 popular fragrances: Citrus Cedarwood, Black Rose & Frankincense, Jasmin & Orange Flower.
100% Natural Soy wax: The aromatherapy candle gift set made of 100% natural soy, pure cotton wick and lead-free. Healthy and harmless to the human body and the environment.
Long Burning Time: 142 gm each candle and it can burn upto 22 hours, it can relax yourself, relieve the stress and enjoy the quiet time.
Reusable Eco Friendly Tin: After the candles are completely burned, the eco friendly tin can be used to store small things or as other decorations.
Ideal Gift Set: The Candle Gift Set is a good choice for Diwali, Valentine’s Day, Party, Christmas and other Decoration. You can also use it in spas, yoga rooms, bathroom and bedrooms.","https://bryanandcandy.com/cdn/shop/products/01_Candle_Pack_of_3_8b9685c3-260f-441a-8397-784692b9e229_1024x.jpg?v=1669898611
https://bryanandcandy.com/cdn/shop/products/01_Candle_packof_3_1024x.jpg?v=1676461956
https://bryanandcandy.com/cdn/shop/products/02_Candle_Pack_of_3_164b4dfb-e0f7-4bbf-ae76-42b2dc280bf2_1024x.jpg?v=1676461956",Bryan & Candy,Candles,3666140062
"Pumpkin Spice, Red Currant Candle 184 GM (pack of 2)"," 1,050.00","Popular Fragrance: Scented candles gift set of 2 popular fragrances: Pumpkin Spice, Red Currant.
100% Natural Soy wax: The aromatherapy candle gift set made of 100% natural soy, pure cotton wick and lead-free. Healthy and harmless to the human body and the environment.
Long Burning Time: 184 gm each candle and it can burn upto 28 hours, it can relax yourself, relieve the stress and enjoy the quiet time.
Reusable Eco Friendly Tin: After the candles are completely burned, the eco friendly tin can be used to store small things or as other decorations.
Ideal Gift Set: The Candle Gift Set is a good choice for Diwali, Valentine’s Day, Party, Christmas and other Decoration. You can also use it in spas, yoga rooms, bathroom and bedrooms.","https://bryanandcandy.com/cdn/shop/products/02B_Redcurrant_Pumpkin_Packof_2_newpack_1024x.jpg?v=1670833935
https://bryanandcandy.com/cdn/shop/products/PackOf_2_Candle_pumpkin_1024x.jpg?v=1676396970
https://bryanandcandy.com/cdn/shop/products/02C_Redcurrant_Pumpkin_Packof_2_newpack_1024x.jpg?v=1676396970",Bryan & Candy,Candles,0592135560
