ID,Title,Brand,Price,Category,Subcategory,Total Price,Sale Price,Description,Ingredients & How to use,Photo_Links
33932442,Atulya matcha tea conditioner,Atulya,499,HAIR CARE,CONDITIONER,"1,321","This item: atulya matcha tea conditioner
Sale price: 324
Atulya amla & bhringraj shampoo - 300ml
Sale price: 324
Atulya amla & bhringraj conditioner - 300ml
Sale price: 324
Atulya keratin & wheat protein shampoo - 300ml
Sale price: 349
","Atulya matcha tea conditioner contains antioxidant-rich green tea and bhringraj, which work to rebuild hair after heat damage, improve hair growth, and restore moisture balance. it moisturizes your hair, protects it from damaging uv rays, and improves the texture of soft, healthy tresses.

this lightweight conditioner keeps the strands lush and strong by moisturizing and nourishing them.

it protects hair from uv radiation and excessive heat styling.

it helps to keep hair healthy and strong by preventing hair loss.

it controls hair fall & breakage while promoting hair growth.

free from harsh chemicals like paraben, sulphate, and silicone, this hair conditioner suits all hair types.","Matcha
  Green Tea /Aloe Vera
1- After washing your hair with shampoo, take some conditioner into your palm and start applying to the length of your hair.
2- Leave it for 2-3 minutes. For desired results, gently comb your hair with a wide toothesd comb to spread the conditioner evenly.
3- Rinse your hair thoroughly with water.","https://myatulya.com/cdn/shop/files/MatchTeaConditionerA_ContentNew-01.jpg?v=1690885565&width=1080, https://myatulya.com/cdn/shop/files/MatchTeaConditionerA_ContentNew-02.jpg?v=1690885566&width=1080, https://myatulya.com/cdn/shop/files/MatchTeaConditionerA_ContentNew-03.jpg?v=1690885566&width=1080, https://myatulya.com/cdn/shop/files/MatchTeaConditionerA_ContentNew-04.jpg?v=1690885565&width=1080"
89966846,Atulya amla & bhringraj conditioner - 300ml,Atulya,499,HAIR CARE,CONDITIONER,"1,366","This item: atulya amla & bhringraj conditioner - 300ml
Sale price: 324
Atulya amla & bhringraj shampoo - 300ml
Sale price: 324
Atulya amla & bhringraj hair oil - 200ml
Sale price: 389
Atulya hibiscus & black seed hair oil - 200ml
Sale price: 329
","Atulya amla & bhringraj conditioner is high in iron, carotene, and antioxidants that improve hair texture, reverse free radical damage, and reduce hair breakage. it makes hair soft, smooth, and shiny. regular use of this hair conditioner helps rescue hair problems like dandruff and hair fall.

this hair conditioner gently nourishes the scalp and hair. 

it helps stimulate hair growth and prevents dandruff.

it deeply nourishes your hair, making them soft, manageable, and smooth.

this hair conditioner is suitable for colored or chemical-treated hair.

free from harsh chemicals like paraben, sulphate, and silicone, this conditioner suits all hair types.","Amla /
  Bhringraj
1- After washing your hair with shampoo, take some conditioner into your palm and start applying to the length of your hair.
2- Leave it for 2-3 minutes. For desired results, gently comb your hair with a wide toothesd comb to spread the conditioner evenly.
3- Rinse your hair thoroughly with water.","https://myatulya.com/cdn/shop/files/Artboard1copy52.jpg?v=1701857580&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_95e687e4-9c31-4b3a-8500-beeaecce24e4.jpg?v=1701857580&width=1080, https://myatulya.com/cdn/shop/files/1_1.jpg?v=1701857580&width=1080, https://myatulya.com/cdn/shop/files/Artboard4_b9fe9bcf-7a82-464e-951f-b0088874097c.jpg?v=1701857580&width=1080"
48165904,Atulya keratin & wheat protein conditioner - 300ml,Atulya,499,HAIR CARE,CONDITIONER,"1,216","This item: atulya keratin & wheat protein conditioner - 300ml
Sale price: 324
Atulya keratin & wheat protein shampoo - 300ml
Sale price: 349
Atulya keratin & wheat protein hair mask - 200gm
Sale price: 324
Atulya activated organic bamboo charcoal foaming face wash - 150gm
Sale price: 219
","Atulya keratin & wheat protein conditioner is made from pure organic and luxurious ingredients that keep your hair strong and manageable. this conditioner provides adequate nutrition to each hair strand that results in making it healthy, soft, smooth, frizz-free, and manageable. also, it improves hair elasticity and controls breakage. 

it reduces hair damage caused by the lack of moisture, heat and chemical styling.

it results in making hair shiny, smooth, soft, and manageable.

it restores the vitality of hair, improves elasticity, decreases breakage, and makes hair smooth and frizz-free hair.

this hair conditioner easily detangles your hair and prevents heat damage.

free from harsh chemicals like paraben, silicone, and mineral oil, this conditioner suits all hair types.","Veg Keratin / Wheat
1- After washing your hair with shampoo, take some conditioner into your palm and start applying to the length of your hair.
2- Leave it for 2-3 minutes. For desired results, gently comb your hair with a wide toothesd comb to spread the conditioner evenly.
3- Rinse your hair thoroughly with water.","https://myatulya.com/cdn/shop/files/Artboard1copy53.jpg?v=1701855333&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_37c46553-5967-4b53-8337-74e1d1f4c980.jpg?v=1704523734&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_75aa858b-77d6-4ca4-b78d-7af2d3da879e.jpg?v=1704523734&width=1080"
60382540,Atulya hibiscus & black seed hair conditioner - 300ml,Atulya,499,HAIR CARE,CONDITIONER,"1,301","This item: atulya hibiscus & black seed hair conditioner - 300ml
Sale price: 324
Atulya hibiscus & black seed hair shampoo - 300ml
Sale price: 324
Atulya hibiscus & black seed hair oil - 200ml
Sale price: 329
Atulya hibiscus & black seed hair mask - 200gm
Sale price: 324
","Atulya hibiscus & black seed hair conditioner deeply nourishes the hair, leaving them soft and hydrated. it helps control frizz and breakage while minimizing hair loss. regular use of this hair conditioner helps improve the overall hair texture by promoting hair growth, making hair manageable, soft, and smooth.

it helps replenish hair nutrients and improve the overall health of the hair by protecting the cuticle.
it protects the hair and repairs dull, dry, and damaged hair.
it deeply conditions, detangles, moisturizes, and strengthens the hair.
this hair conditioner controls dandruff tames frizzy hair and reduces hair fall.
free from harsh chemicals like paraben, silicone and mineral oil, this hair conditioner suits all hair types.","Hibiscus
  / Black seed
1- After washing your hair with shampoo, take some conditioner into your palm and start applying to the length of your hair.
2- Leave it for 2-3 minutes. For desired results, gently comb your hair with a wide toothesd comb to spread the conditioner evenly.
3- Rinse your hair thoroughly with water.","https://myatulya.com/cdn/shop/files/Artboard1copy51.jpg?v=1701859295&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_c737fe88-0b1f-44af-8f28-0ea0d4713721.jpg?v=1701859295&width=1080, https://myatulya.com/cdn/shop/files/1_2_375f94c7-9037-4405-b47d-9abb5d5bba38.jpg?v=1701859295&width=1080, https://myatulya.com/cdn/shop/files/1_3.jpg?v=1701859289&width=1080"
59246352,"Atulya neem & sage conditioner - silicones, parabens, mineral oil free (100% natural)",Atulya,499,HAIR CARE,CONDITIONER,"1,114","This item: atulya neem & sage conditioner - silicones, parabens, mineral oil free (100% natural)
Sale price: 324
Atulya hibiscus & black seed hair shampoo - 300ml
Sale price: 324
Atulya neem & sage shampoo - sulphate & parabens free(100% natural)
Sale price: 324
Atulya indigo organic powder-100% pure & natural
Sale price: 142
","Atulya neem & sage conditioner is a natural herbal formulation that makes your hair silky and shiny, manages natural moisture and prevents rough and dry hair. it also curbs the production of head lice.
why it's good to use:

it helps to deeply hydrate the hair roots and condition the fibers, making the hair hydrated, nourished, strong and manageable.
by deeply nourishing and unclogging excess oil built up in the hair follicles, it rejuvenates hair health by making the scalp stable and combating hair loss.
it helps to restore significant damage caused by chemicals or exposure and contributes to improved hair texture. this makes the hair smooth, lustrous and full.","Neem /
  Sage
1- After washing your hair with shampoo, take some conditioner into your palm and start applying to the length of your hair.
2- Leave it for 2-3 minutes. For desired results, gently comb your hair with a wide toothesd comb to spread the conditioner evenly.
3- Rinse your hair thoroughly with water.","https://myatulya.com/cdn/shop/files/Neem_SagaConditionerNewA_Content-AT-01.jpg?v=1697182512&width=1080, https://myatulya.com/cdn/shop/files/Neem_SagaConditionerNewA_Content-AT-02.jpg?v=1697182513&width=1080, https://myatulya.com/cdn/shop/files/Neem_SagaConditionerNewA_Content-AT-03.jpg?v=1697182511&width=1080, https://myatulya.com/cdn/shop/files/Neem_SagaConditionerNewA_Content-AT-04.jpg?v=1697182513&width=1080"
85189364,Atulya moroccan argan oil hair conditioner - 300m,Atulya,499,HAIR CARE,CONDITIONER,"1,371","This item: atulya moroccan argan oil hair conditioner - 300m
Sale price: 299
Atulya moroccan argan oil shampoo - 300ml
Sale price: 319
Atulya moroccan argan oil hair mask - 200gm
Sale price: 324
Atulya moroccan argan hair oil - 200ml
Sale price: 429
","Atulya moroccan argan oil conditioner penetrates deeper into the hair follicles and nourishes them from the inside out, not only on the surface of your hair strands. it detangles and nourishes the hair, making them soft, moisturized, manageable, and strong. 

this hair conditioner helps to restore dull hair that has been damaged by color, chemical processing, or heat style.

it detangles and nourishes the hair softly, leaving it moisturized, manageable, and strong.

this hair conditioner deeply nourishes the hair, making them frizz-free and shiny.

it adds strength to the roots and hair follicles while maintaining the ph balance of the scalp.

free from harsh chemicals like paraben, sulphate, and silicone, this conditioner suits all hair types.","Argan
  Oil / Bhringraj Extracts
1- After washing your hair with shampoo, take some conditioner into your palm and start applying to the length of your hair.
2- Leave it for 2-3 minutes. For desired results, gently comb your hair with a wide toothesd comb to spread the conditioner evenly.
3- Rinse your hair thoroughly with water.","https://myatulya.com/cdn/shop/files/MoroccanArganOilConditionerA_ContentNew-14-01.jpg?v=1697182702&width=1080, https://myatulya.com/cdn/shop/files/MoroccanArganOilConditionerA_ContentNew-14-02.jpg?v=1697182703&width=1080, https://myatulya.com/cdn/shop/files/MoroccanArganOilConditionerA_ContentNew-14-03.jpg?v=1697182703&width=1080, https://myatulya.com/cdn/shop/files/MoroccanArganOilConditionerA_ContentNew-14-04.jpg?v=1697182703&width=1080"
26913093,Atulya valley rose conditioner 300ml,Atulya,499,HAIR CARE,CONDITIONER,"1,089","This item: atulya valley rose conditioner 300ml
Sale price: 324
Atulya vally rose hair shampoo - 300ml
Sale price: 299
Atulya valley rose hair mask - 200gm
Sale price: 324
Atulya rose lip balm for hydrating lips - 5gm
Sale price: 142
","Valley rose conditioner leaves your hair thick, voluminous, and aromatic. it moisturizes your strands and envelops your hair in a lovely rose smell while delivering the natural goodness of rose hydrosol and natural oils. after every hair washes, use this conditioner to condition your strands and give volume and luster. 
why it's good to use: 

damaged strands can be repaired using argan oil and coconut oil, making them stronger and more luxurious.

rose hydrosol contains catechins and polyphenols, which help to prevent hair loss, maintain the scalp healthy, and add shine to the strands.","Valley
  Rose / Bhringaj
1- After washing your hair with shampoo, take some conditioner into your palm and start applying to the length of your hair.
2- Leave it for 2-3 minutes. For desired results, gently comb your hair with a wide toothesd comb to spread the conditioner evenly.
3- Rinse your hair thoroughly with water.","https://myatulya.com/cdn/shop/files/ValleyRoseConditionerA_ContentNew-01.jpg?v=1690889025&width=1080, https://myatulya.com/cdn/shop/files/ValleyRoseConditionerA_ContentNew-02.jpg?v=1690889026&width=1080, https://myatulya.com/cdn/shop/files/ValleyRoseConditionerA_ContentNew-03.jpg?v=1690889024&width=1080, https://myatulya.com/cdn/shop/files/ValleyRoseConditionerA_ContentNew-04.jpg?v=1690889025&width=1080"
19799162,Atulya plum hair conditioner - 300ml,Atulya,499,HAIR CARE,CONDITIONER,"1,221","This item: atulya plum hair conditioner - 300ml
Sale price: 299
Atulya plum hair shampoo - 300ml
Sale price: 274
Atulya hibiscus & black seed hair shampoo - 300ml
Sale price: 324
Atulya hibiscus & black seed hair conditioner - 300ml
Sale price: 324
","Atulya plum conditioner is high in vitamin e which is fantastic for treating irritated and dry scalp which is caused due to regular use of chemicals and hair treatments. this conditioner revitalizes dry, brittle hair by smoothing it and adding gloss. plum makes hair feel soft and silky.

this plum-infused conditioner helps curly hair retain moisture and hydration.

it deeply nourishes dry and dull hair by providing deep hydration and shine by preserving collagen and elastin levels.

it repairs damaged hair by making them healthy, shiny, and soft.

it helps control the excess production of oil, which helps reduce dandruff.

free from harsh chemicals like paraben, sulphate, and silicone, this hair conditioner suits all hair types.","Plum /
  Neem Oil
1- After washing your hair with shampoo, take some conditioner into your palm and start applying to the length of your hair.
2- Leave it for 2-3 minutes. For desired results, gently comb your hair with a wide toothesd comb to spread the conditioner evenly.
3- Rinse your hair thoroughly with water.","https://myatulya.com/cdn/shop/files/PlumConditionerA_ContentNew-01.jpg?v=1690881708&width=1080, https://myatulya.com/cdn/shop/files/PlumConditionerA_ContentNew-02.jpg?v=1690881709&width=1080, https://myatulya.com/cdn/shop/files/PlumConditionerA_ContentNew-03.jpg?v=1690881708&width=1080, https://myatulya.com/cdn/shop/files/PlumConditionerA_ContentNew-04.jpg?v=1690881709&width=1080"
26353490,Atulya ultra shea hair conditioner - 300ml,Atulya,499,HAIR CARE,CONDITIONER,"1,159","This item: atulya ultra shea hair conditioner - 300ml
Sale price: 324
Atulya rose petals organic powder-100% pure & natural
Sale price: 162
Atulya keratin & wheat protein shampoo - 300ml
Sale price: 349
Atulya ultra shea shampoo - 300ml
Sale price: 324
","Atulya ultra shea conditioner is a mild hair conditioner that repairs and smoothes rough hair cuticles without weighing your hair down. it deeply hydrates the hair, making them tangle-free, healthy, shiny, and manageable. this hair conditioner helps maintain hair elasticity, controls hair fall, and calms scalp irritation.

this hair conditioner re-hydrating your dull and dry hair while making them healthy and shiny.

it helps restore the scalp's natural moisture balance, making hair healthy.

it helps control dandruff, promotes hair growth, and maintains hair elasticity.

it naturally conditions the hair, making them soft, hydrated, and shiny.

free from harsh chemicals like paraben, sulphate, silicone, this conditioner suits all hair types.","Shea
  butter / Argon oil
1- After washing your hair with shampoo, take some conditioner into your palm and start applying to the length of your hair.
2- Leave it for 2-3 minutes. For desired results, gently comb your hair with a wide toothesd comb to spread the conditioner evenly.
3- Rinse your hair thoroughly with water.","https://myatulya.com/cdn/shop/files/UltraSheaConditionerA_ContentNew-01.jpg?v=1690881026&width=1080, https://myatulya.com/cdn/shop/files/UltraSheaConditionerA_ContentNew-02.jpg?v=1690881027&width=1080, https://myatulya.com/cdn/shop/files/UltraSheaConditionerA_ContentNew-03.jpg?v=1690881025&width=1080, https://myatulya.com/cdn/shop/files/UltraSheaConditionerA_ContentNew-04.jpg?v=1690881027&width=1080"
66072048,Atulya madagascar vanilla hair conditioner - 300ml,Atulya,499,HAIR CARE,CONDITIONER,"1,191","This item: atulya madagascar vanilla hair conditioner - 300ml
Sale price: 324
Atulya madagascar vanilla hair shampo - 300ml
Sale price: 324
Atulya vedic ubtan foaming face wash with an inbuilt brush 150ml
Sale price: 219
Atulya onion & bhringraj hair mask - 200gm
Sale price: 324
","Atulya madagascar vanilla conditioner is one of the greatest deep hair conditioners that nourish each hair strand. its incredibly thick and creamy composition retains moisture in the hair. it easily detangles the hair and adds luster and shine.

the hair conditioner deeply nourishes dry hair, making them stronger, lustrous, and healthy from root to tip.

it restores the shine of the dull and damaged hair while improving elasticity.

it makes hair manageable, frizz-free, shiny, and lustrous.

it has a blend of natural ingredients that helps reduce hair fall, controls hair damage, and moisturizes hair shafts.

free from harsh chemicals, it suits all hair types.","1- After washing your hair with shampoo, take some conditioner into your palm and start applying to the length of your hair.
2- Leave it for 2-3 minutes. For desired results, gently comb your hair with a wide toothesd comb to spread the conditioner evenly.
3- Rinse your hair thoroughly with water.","https://myatulya.com/cdn/shop/files/MadagascarVanillaConditionerA_ContentNew-01.jpg?v=1690880272&width=1080, https://myatulya.com/cdn/shop/files/MadagascarVanillaConditionerA_ContentNew-02.jpg?v=1690880272&width=1080, https://myatulya.com/cdn/shop/files/MadagascarVanillaConditionerA_ContentNew-03.jpg?v=1690880272&width=1080, https://myatulya.com/cdn/shop/files/MadagascarVanillaConditionerA_ContentNew-04.jpg?v=1690880273&width=1080"
