title,price,story_description,category,sub_category,image_urls,size_title,size,description,id
Baltic Sea Blue with Tuna Navy Blue Checkered Wool Rich Pant,"2,597"," Story Add a dash of personality to your wardrobe with the Baltic Sea Blue with Tuna Navy blue
Checkered Pant. The captivating checkered pattern in baltic sea blue and tuna navy blue sets this
pant apart, making them a standout piece. Crafted with meticulous attention to detail, this pants
offer both style and comfort. Pair it with a solid-colored shirt or a coordinating blazer for a
contemporary and distinctive look.",Men’s,Men’s Pants,"https://frenchcrown.in/cdn/shop/products/T2738_1_360x.jpg?v=1689853150, https://frenchcrown.in/cdn/shop/products/T2738_1_800x.jpg?v=1689853150, https://frenchcrown.in/cdn/shop/products/T2738_2_800x.jpg?v=1689853150, https://frenchcrown.in/cdn/shop/products/T2738_4_800x.jpg?v=1689853150, https://frenchcrown.in/cdn/shop/products/T2738_5_800x.jpg?v=1689853150, https://frenchcrown.in/cdn/shop/products/T2738_6_800x.jpg?v=1689853150, https://frenchcrown.in/cdn/shop/products/T2738_7_800x.jpg?v=1689853150, https://frenchcrown.in/cdn/shop/products/T2738_8_800x.jpg?v=1689853150",Select Size,28|30|32|34|36|38|40|42|44,"Add a dash of personality to your wardrobe with the Baltic Sea Blue with Tuna Navy blue Checkered
Pant. The captivating checkered pattern in baltic sea blue and tuna navy blue sets this pant apart,
making them a standout piece. Crafted with meticulous attention to detail, this pants offer both
style and comfort. Pair it with a solid-colored shirt or a coordinating blazer for a contemporary
and distinctive look.",1689853150
Noir Brown Tweed Pant,"2,997"," Story Refine your style with the Noir Brown Tweed Pant, a versatile addition to your wardrobe.
Crafted with precision and attention to detail, this pant exude classic sophistication. The rich
brown tweed fabric adds a touch of texture and elegance, making it perfect for both formal and
casual occasions. Pair it with a tailored blazer or a crisp shirt for a polished look.",Men’s,Men’s Pants,"https://frenchcrown.in/cdn/shop/products/T2732_1_360x.jpg?v=1689852982, https://frenchcrown.in/cdn/shop/products/T2732_1_800x.jpg?v=1689852982, https://frenchcrown.in/cdn/shop/products/T2732_2_800x.jpg?v=1689852982, https://frenchcrown.in/cdn/shop/products/T2732_4_800x.jpg?v=1689852982, https://frenchcrown.in/cdn/shop/products/T2732_5_800x.jpg?v=1689852982, https://frenchcrown.in/cdn/shop/products/T2732_6_800x.jpg?v=1689852982, https://frenchcrown.in/cdn/shop/products/T2732_7_800x.jpg?v=1689920989, https://frenchcrown.in/cdn/shop/files/T2732_8_277731be-fc02-4c33-8b38-1b6152dcb7df_800x.jpg?v=1689920989, https://frenchcrown.in/cdn/shop/products/T2732_8_800x.jpg?v=1689920989",Select Size,28|30|32|34|36|38|40|42|44,"Refine your style with the Noir Brown Tweed Pant, a versatile addition to your wardrobe. Crafted
with precision and attention to detail, this pant exude classic sophistication. The rich brown tweed
fabric adds a touch of texture and elegance, making it perfect for both formal and casual occasions.
Pair it with a tailored blazer or a crisp shirt for a polished look.",1689852982
Baltic Blue Checkered Wool Rich Pant,"2,997"," Story Elevate your everyday style with the Baltic blue Checkered Wool Rich Pant. Made from premium
wool, this pant offer both comfort and sophistication. The versatile blue hue adds a fresh twist to
your wardrobe while the checkered pattern adds sophistication, allowing you to effortlessly
transition from office to evening outings. Pair it with a crisp shirt and Pant or a casual sweater
for a polished look.",Men’s,Men’s Pants,"https://frenchcrown.in/cdn/shop/products/T2737_1_360x.jpg?v=1689853123, https://frenchcrown.in/cdn/shop/products/T2737_1_800x.jpg?v=1689853123, https://frenchcrown.in/cdn/shop/products/T2737_2_800x.jpg?v=1689853123, https://frenchcrown.in/cdn/shop/products/T2737_4_800x.jpg?v=1689853123, https://frenchcrown.in/cdn/shop/products/T2737_5_800x.jpg?v=1689853123, https://frenchcrown.in/cdn/shop/files/T2737_6_a533d6e0-691f-443c-826e-95c644820030_800x.jpg?v=1689921524, https://frenchcrown.in/cdn/shop/products/T2737_6_800x.jpg?v=1689921524, https://frenchcrown.in/cdn/shop/products/T2737_7_800x.jpg?v=1689921524, https://frenchcrown.in/cdn/shop/products/T2737_8_800x.jpg?v=1689921524",Select Size,28|30|32|34|36|38|40|42|44,"Elevate your everyday style with the Baltic blue Checkered Wool Rich Pant. Made from premium wool,
this pant offer both comfort and sophistication. The versatile blue hue adds a fresh twist to your
wardrobe while the checkered pattern adds sophistication, allowing you to effortlessly transition
from office to evening outings. Pair it with a crisp shirt and Pant or a casual sweater for a
polished look.",1689853123
Mirage Blue Wool Rich  Pant,"2,597"," Story Refine your style with the Mirage Blue Wool Rich Pant, featuring slanted side pockets and a
flat front design. Crafted with precision and attention to detail, this pant exude timeless
elegance. The Mirage Blue pattern adds a touch of sophistication, while the slanted side pockets
offer a modern twist. Pair it with a crisp shirt or a tailored blazer for a polished and
distinguished look.",Men’s,Men’s Pants,"https://frenchcrown.in/cdn/shop/files/T2727_1_360x.jpg?v=1689920443, https://frenchcrown.in/cdn/shop/files/T2727_1_800x.jpg?v=1689920443, https://frenchcrown.in/cdn/shop/files/T2727_2_800x.jpg?v=1689920445, https://frenchcrown.in/cdn/shop/files/T2727_4_800x.jpg?v=1689920444, https://frenchcrown.in/cdn/shop/files/T2727_5_800x.jpg?v=1689920441, https://frenchcrown.in/cdn/shop/files/T2727_6_800x.jpg?v=1689920443, https://frenchcrown.in/cdn/shop/files/T2727_7_800x.jpg?v=1689920442, https://frenchcrown.in/cdn/shop/files/T2727_8_800x.jpg?v=1689920441, https://frenchcrown.in/cdn/shop/files/T2727_9_800x.jpg?v=1689920443, https://frenchcrown.in/cdn/shop/files/T2727_10_800x.jpg?v=1689920442",Select Size,28|30|32|34|36|38|40|42|44,"Refine your style with the Mirage Blue Wool Rich Pant, featuring slanted side pockets and a flat
front design. Crafted with precision and attention to detail, this pant exude timeless elegance. The
Mirage Blue pattern adds a touch of sophistication, while the slanted side pockets offer a modern
twist. Pair it with a crisp shirt or a tailored blazer for a polished and distinguished look.",1689920443
Chicago Gray Checkered Wool Rich Pant,"3,197"," Story Elevate your everyday style with the Chicago Gray Checkered Pant. Made from premium wool,
this pant offer both comfort and sophistication. The versatile gray hue with checkered pattern adds
a fresh twist to your wardrobe, allowing you to effortlessly transition from office to evening
outings. Pair it with a crisp shirt and Pant or a casual sweater for a polished look.",Men’s,Men’s Pants,"https://frenchcrown.in/cdn/shop/products/T2741_1_360x.jpg?v=1689853228, https://frenchcrown.in/cdn/shop/products/T2741_1_800x.jpg?v=1689853228, https://frenchcrown.in/cdn/shop/products/T2741_2_800x.jpg?v=1689853228, https://frenchcrown.in/cdn/shop/products/T2741_4_800x.jpg?v=1689853228, https://frenchcrown.in/cdn/shop/products/T2741_5_800x.jpg?v=1689853228, https://frenchcrown.in/cdn/shop/products/T2741_6_800x.jpg?v=1689853228, https://frenchcrown.in/cdn/shop/products/T2741_7_800x.jpg?v=1689853228, https://frenchcrown.in/cdn/shop/products/T2741_8_800x.jpg?v=1689853228",Select Size,28|30|32|34|36|38|40|42|44,"Elevate your everyday style with the Chicago Gray Checkered Pant. Made from premium wool, this pant
offer both comfort and sophistication. The versatile gray hue with checkered pattern adds a fresh
twist to your wardrobe, allowing you to effortlessly transition from office to evening outings. Pair
it with a crisp shirt and Pant or a casual sweater for a polished look.",1689853228
Gable Green Wool Rich Pant,"2,597"," Story Elevate your everyday style with the Gable Green Wool Rich Pant. Made from premium wool, this
pant offer both comfort and sophistication. The versatile green hue adds a fresh twist to your
wardrobe, allowing you to effortlessly transition from office to evening outings. Pair it with a
crisp shirt and Pant or a casual sweater for a polished look.",Men’s,Men’s Pants,"https://frenchcrown.in/cdn/shop/products/T2728_1_360x.jpg?v=1689852875, https://frenchcrown.in/cdn/shop/products/T2728_1_800x.jpg?v=1689852875, https://frenchcrown.in/cdn/shop/products/T2728_2_800x.jpg?v=1689852875, https://frenchcrown.in/cdn/shop/products/T2728_4_800x.jpg?v=1689852875, https://frenchcrown.in/cdn/shop/products/T2728_5_800x.jpg?v=1689852875, https://frenchcrown.in/cdn/shop/products/T2728_6_800x.jpg?v=1689852875, https://frenchcrown.in/cdn/shop/products/T2728_7_800x.jpg?v=1689852875, https://frenchcrown.in/cdn/shop/products/T2728_8_800x.jpg?v=1689852875",Select Size,28|30|32|34|36|38|40|42|44,"Elevate your everyday style with the Gable Green Wool Rich Pant. Made from premium wool, this pant
offer both comfort and sophistication. The versatile green hue adds a fresh twist to your wardrobe,
allowing you to effortlessly transition from office to evening outings. Pair it with a crisp shirt
and Pant or a casual sweater for a polished look.",1689852875
Dorado Brown with Casper Gray Plaid Wool Rich Pant,"2,597"," Story Refine your style with the Dorado Brown with Casper gray Plaid Wool Rich Pant, featuring
slanted side pockets and a flat front design. Crafted with precision and attention to detail, this
pant exude timeless elegance. The Dorado Brown with Casper gray plaid pattern adds a touch of
sophistication, while the slanted side pockets offer a modern twist. Pair it with a crisp shirt or a
tailored blazer for a polished and distinguished look.",Men’s,Men’s Pants,"https://frenchcrown.in/cdn/shop/products/T2745_1_360x.jpg?v=1689853348, https://frenchcrown.in/cdn/shop/products/T2745_1_800x.jpg?v=1689853348, https://frenchcrown.in/cdn/shop/products/T2745_2_800x.jpg?v=1689853348, https://frenchcrown.in/cdn/shop/products/T2745_4_800x.jpg?v=1689853348, https://frenchcrown.in/cdn/shop/products/T2745_5_800x.jpg?v=1689853348, https://frenchcrown.in/cdn/shop/products/T2745_6_800x.jpg?v=1689853348, https://frenchcrown.in/cdn/shop/products/T2745_7_800x.jpg?v=1689853348, https://frenchcrown.in/cdn/shop/products/T2745_8_800x.jpg?v=1689853349",Select Size,28|30|32|34|36|38|40|42|44,"Refine your style with the Dorado Brown with Casper gray Plaid Wool Rich Pant, featuring slanted
side pockets and a flat front design. Crafted with precision and attention to detail, this pant
exude timeless elegance. The Dorado Brown with Casper gray plaid pattern adds a touch of
sophistication, while the slanted side pockets offer a modern twist. Pair it with a crisp shirt or a
tailored blazer for a polished and distinguished look.",1689853348
Half Black and Half Battleship Gray Checkered Wool Rich Designer Pant,"3,197"," Story Add a touch of edgy sophistication to your wardrobe with the Half Black and Half Battleship
Gray Checkered Wool Rich Designer Pant. The unique half black and half battleship gray checkered
pattern sets this pant apart, making them a statement piece. Crafted with premium wool, they offer
both style and comfort. Pair it with a solid-colored shirt or a coordinating blazer for a
contemporary and distinctive look.",Men’s,Men’s Pants,"https://frenchcrown.in/cdn/shop/products/T2748_1_360x.jpg?v=1689854796, https://frenchcrown.in/cdn/shop/products/T2748_1_800x.jpg?v=1689854796, https://frenchcrown.in/cdn/shop/products/T2748_2_800x.jpg?v=1689854796, https://frenchcrown.in/cdn/shop/products/T2748_4_800x.jpg?v=1689854796, https://frenchcrown.in/cdn/shop/products/T2748_5_800x.jpg?v=1689854796, https://frenchcrown.in/cdn/shop/products/T2748_6_800x.jpg?v=1689854796, https://frenchcrown.in/cdn/shop/products/T2748_7_800x.jpg?v=1689854796, https://frenchcrown.in/cdn/shop/products/T2748_8_800x.jpg?v=1689854796",Select Size,28|30|32|34|36|38|40|42|44,"Add a touch of edgy sophistication to your wardrobe with the Half Black and Half Battleship Gray
Checkered Wool Rich Designer Pant. The unique half black and half battleship gray checkered pattern
sets this pant apart, making them a statement piece. Crafted with premium wool, they offer both
style and comfort. Pair it with a solid-colored shirt or a coordinating blazer for a contemporary
and distinctive look.",1689854796
Bleached Cedar Blue Stretchable Wool rich Pant,"2,997"," Story Elevate your everyday style with the Bleached Cedar Blue Stretchable Wool rich Pant. Made
from premium wool, this pant offer both comfort and sophistication. The solid blue hue adds a fresh
twist to your wardrobe, allowing you to effortlessly transition from office to evening outings. Pair
it with a crisp shirt and suit or a casual sweater for a polished look.",Men’s,Men’s Pants,"https://frenchcrown.in/cdn/shop/products/T2758_1_360x.jpg?v=1689855076, https://frenchcrown.in/cdn/shop/products/T2758_1_800x.jpg?v=1689855076, https://frenchcrown.in/cdn/shop/products/T2758_2_800x.jpg?v=1689855076, https://frenchcrown.in/cdn/shop/products/T2758_4_800x.jpg?v=1689855076, https://frenchcrown.in/cdn/shop/products/T2758_5_800x.jpg?v=1689855076, https://frenchcrown.in/cdn/shop/products/T2758_6_800x.jpg?v=1689855076, https://frenchcrown.in/cdn/shop/products/T2758_7_800x.jpg?v=1689855076, https://frenchcrown.in/cdn/shop/products/T2758_8_800x.jpg?v=1689855076",Select Size,28|30|32|34|36|38|40|42|44,"Elevate your everyday style with the Bleached Cedar Blue Stretchable Wool rich Pant. Made from
premium wool, this pant offer both comfort and sophistication. The solid blue hue adds a fresh twist
to your wardrobe, allowing you to effortlessly transition from office to evening outings. Pair it
with a crisp shirt and suit or a casual sweater for a polished look.",1689855076
Haiti Navy Blue Wool Rich Pant,"2,597"," Story Elevate your wardrobe with the Haiti Navy Blue Wool Rich Pant, a versatile and stylish
addition to your ensemble. Crafted with premium wool, this pant offer both comfort and
sophistication. The deep navy blue color adds a touch of timeless elegance, making them Pantable for
various occasions. Pair it with a crisp shirt or a tailored blazer for a polished and refined look.
Embrace classic style with this remarkable pants.",Men’s,Men’s Pants,"https://frenchcrown.in/cdn/shop/products/T2751_1_360x.jpg?v=1689854876, https://frenchcrown.in/cdn/shop/products/T2751_1_800x.jpg?v=1689854876, https://frenchcrown.in/cdn/shop/products/T2751_2_800x.jpg?v=1689854876, https://frenchcrown.in/cdn/shop/products/T2751_4_800x.jpg?v=1689854876, https://frenchcrown.in/cdn/shop/products/T2751_5_800x.jpg?v=1689854876, https://frenchcrown.in/cdn/shop/products/T2751_6_800x.jpg?v=1689854876, https://frenchcrown.in/cdn/shop/products/T2751_7_800x.jpg?v=1689854876, https://frenchcrown.in/cdn/shop/products/T2751_8_800x.jpg?v=1689854876",Select Size,28|30|32|34|36|38|40|42|44,"Elevate your wardrobe with the Haiti Navy Blue Wool Rich Pant, a versatile and stylish addition to
your ensemble. Crafted with premium wool, this pant offer both comfort and sophistication. The deep
navy blue color adds a touch of timeless elegance, making them Pantable for various occasions. Pair
it with a crisp shirt or a tailored blazer for a polished and refined look. Embrace classic style
with this remarkable pants.",1689854876
