Title,Category,Subcategory,Price,Description,Description_All,Main_Image_URL,All_Image_URLs,Product_ID
Royal Oud Solid Perfume Brass Jar,Parfume,Solid Perfume,350.00,"Natural Solid Fragrance
Prepared from natural flower oils and beeswax, the fragrance develops and diffuses its voluptuous scent all day long.","Weight
0.034000
Content
4 g.
Story
Luxurious Veda Ayurveda carves out a path to holistic well being of an individual. As per the
principles of this ancient science, the foundation of true health and wellness is built upon harmony
and balance of the body, mind, and soul. Our Luxurious Veda range is both inspired from, and based
on this ancient ayurvedic wisdom. Formulated with these principles in mind, made using natural
ingredients and blends of the purest essential oils, and patiently handcrafted to perfection with
great care – these products and sure to appeal to your senses and elevate your spirit!
", ,, 
Honeysuckle Solid Perfume in Brass Cloisonne Jar,Parfume,Solid Perfume,350.00,"Natural Solid Fragrance
Prepared from natural flower oils and beeswax, the fragrance develops and diffuses its voluptuous scent all day long. Beeswax has comforting,spiritually balancing properties.","Weight
0.034000
Content
4 g.
Story
Luxurious Veda Ayurveda carves out a path to holistic well being of an individual. As per the
principles of this ancient science, the foundation of true health and wellness is built upon harmony
and balance of the body, mind, and soul. Our Luxurious Veda range is both inspired from, and based
on this ancient ayurvedic wisdom. Formulated with these principles in mind, made using natural
ingredients and blends of the purest essential oils, and patiently handcrafted to perfection with
great care – these products and sure to appeal to your senses and elevate your spirit!
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-hs.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-hs.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs_2.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-hs1.jpg",1692561814174
Lily of the valley Solid Perfume in Brass Cloisonne Jar,Parfume,Solid Perfume,350.00,"Natural Solid Fragrance
Prepared from natural flower oils and beeswax, the fragrance develops and diffuses its voluptuous scent all day long. Beeswax has comforting,spiritually balancing properties.","Weight
0.034000
Content
4 g.
Story
Luxurious Veda Ayurveda carves out a path to holistic well being of an individual. As per the
principles of this ancient science, the foundation of true health and wellness is built upon harmony
and balance of the body, mind, and soul. Our Luxurious Veda range is both inspired from, and based
on this ancient ayurvedic wisdom. Formulated with these principles in mind, made using natural
ingredients and blends of the purest essential oils, and patiently handcrafted to perfection with
great care – these products and sure to appeal to your senses and elevate your spirit!
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-ly.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-ly.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs_5.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-ly1.jpg",1692561826450
Wild Rose Solid Perfume in Brass Cloisonne Jar,Parfume,Solid Perfume,350.00,"Wild Rose / Gulab. This feminine fragrance of rose is floral, powdery and induces the feeling of love and warmth.","Weight
0.034000
Content
4 grams of solid perfume wax in a beautifully hand-painted brass cloisonné / meenakari jar. The wax
will last upto 3-4 months on daily usage of the perfume.
Story
Luxurious Veda Ayurveda carves out a path to holistic well being of an individual. As per the
principles of this ancient science, the foundation of true health and wellness is built upon harmony
and balance of the body, mind, and soul. Our Luxurious Veda range is both inspired from, and based
on this ancient ayurvedic wisdom. Formulated with these principles in mind, made using natural
ingredients and blends of the purest essential oils, and patiently handcrafted to perfection with
great care – these products and sure to appeal to your senses and elevate your spirit!
Ingredients
Base of shea butter, beeswax and vegetable oils infused with natural flower oils. Pure & organic
ingredients that are handmade with love. Non alcoholic, non-toxic and 100% cruelty free.
How to Use
Apply the solid perfume on your pulse points - behind the ears, throat, on the wrists, inside the
elbows, and the back of knees. The fragrance develops and diffuses its voluptuous scent all day
long.
Olfactory Note
It’s a pocket-perfect round jar of pressed ittar perfume that you can carry with you wherever you go
(TSA friendly). The beautiful cloisonné jar is packed in an elegant box that is ideal for gifting
your loved ones.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-wi.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-wi.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs_11.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-wi1.jpg",1692561839977
Sandalwood & Vetiver Solid Perfume in Brass Cloisonne Jar,Parfume,Solid Perfume,350.00,"Sandalwood / Chandan & Vetiver / Vetyver / Khus. Sandalwood is luxurious, creamy & woody scent while Vetiver has earthy and wet smell of soil. This unisex perfume is liked by all.","Weight
0.034000
Content
4 grams of solid perfume wax in a beautifully hand-painted brass cloisonné / meenakari jar. The wax
will last upto 3-4 months on daily usage of the perfume.
Story
Luxurious Veda Ayurveda carves out a path to holistic well being of an individual. As per the
principles of this ancient science, the foundation of true health and wellness is built upon harmony
and balance of the body, mind, and soul. Our Luxurious Veda range is both inspired from, and based
on this ancient ayurvedic wisdom. Formulated with these principles in mind, made using natural
ingredients and blends of the purest essential oils, and patiently handcrafted to perfection with
great care – these products and sure to appeal to your senses and elevate your spirit!
Ingredients
Base of shea butter, beeswax and vegetable oils infused with natural flower oils. Pure & organic
ingredients that are handmade with love. Non alcoholic, non-toxic and 100% cruelty free.
How to Use
Apply the solid perfume on your pulse points - behind the ears, throat, on the wrists, inside the
elbows, and the back of knees. The fragrance develops and diffuses its voluptuous scent all day
long.
Olfactory Note
It’s a pocket-perfect round jar of pressed ittar perfume that you can carry with you wherever you go
(TSA friendly). The beautiful cloisonné jar is packed in an elegant box that is ideal for gifting
your loved ones.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-swv.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-swv.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs_10.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-swv1.jpg",1692561855409
Relax Solid Perfume in Brass Cloisonne Jar,Parfume,Solid Perfume,350.00,Relax. This fresh musky scent has top notes of citrus bergamot and lemon. It is a unisex fragrance and definitely one of our best sellers,"Weight
0.034000
Content
4 grams of solid perfume wax in a beautifully hand-painted brass cloisonné / meenakari jar. The wax
will last upto 3-4 months on daily usage of the perfume.
Story
Luxurious Veda Ayurveda carves out a path to holistic well being of an individual. As per the
principles of this ancient science, the foundation of true health and wellness is built upon harmony
and balance of the body, mind, and soul. Our Luxurious Veda range is both inspired from, and based
on this ancient ayurvedic wisdom. Formulated with these principles in mind, made using natural
ingredients and blends of the purest essential oils, and patiently handcrafted to perfection with
great care – these products and sure to appeal to your senses and elevate your spirit!
Ingredients
Base of shea butter, beeswax and vegetable oils infused with natural flower oils. Pure & organic
ingredients that are handmade with love. Non alcoholic, non-toxic and 100% cruelty free.
How to Use
Apply the solid perfume on your pulse points - behind the ears, throat, on the wrists, inside the
elbows, and the back of knees. The fragrance develops and diffuses its voluptuous scent all day
long.
Olfactory Note
It’s a pocket-perfect round jar of pressed ittar perfume that you can carry with you wherever you go
(TSA friendly). The beautiful cloisonné jar is packed in an elegant box that is ideal for gifting
your loved ones.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-rel_.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-rel_.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs_9.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-rel_1.jpg",1692561869750
Patchouli Noir Solid Perfume in Brass Cloisonne Jar,Parfume,Solid Perfume,350.00,"The scent of patchouli is earthy, mossy, green, woody and absolutely magical! You are definitely going to be charmed by the mystical appeal of this fragrance. The fragrance is unisex and can be worn both by men and women.","Weight
0.034000
Content
4 grams of solid perfume wax in a beautifully hand-painted brass cloisonné / meenakari jar. The wax
will last upto 3-4 months on daily usage of the perfume.
Story
Luxurious Veda Ayurveda carves out a path to holistic well being of an individual. As per the
principles of this ancient science, the foundation of true health and wellness is built upon harmony
and balance of the body, mind, and soul. Our Luxurious Veda range is both inspired from, and based
on this ancient ayurvedic wisdom. Formulated with these principles in mind, made using natural
ingredients and blends of the purest essential oils, and patiently handcrafted to perfection with
great care – these products and sure to appeal to your senses and elevate your spirit!
Ingredients
Base of shea butter, beeswax and vegetable oils infused with natural flower oils. Pure & organic
ingredients that are handmade with love. Non alcoholic, non-toxic and 100% cruelty free.
How to Use
Apply the solid perfume on your pulse points - behind the ears, throat, on the wrists, inside the
elbows, and the back of knees. The fragrance develops and diffuses its voluptuous scent all day
long.
Olfactory Note
It’s a pocket-perfect round jar of pressed ittar perfume that you can carry with you wherever you go
(TSA friendly). The beautiful cloisonné jar is packed in an elegant box that is ideal for gifting
your loved ones.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-pa_.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-pa_.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs_7.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-pa_1.jpg",1692561883735
Neroli Bergamot Solid Perfume in Brass Cloisonne Jar,Parfume,Solid Perfume,350.00,"Neroli Bergamot / Citrus. This spicy citrus fragrance has a unique blend of neroli, bergamot, orange and basil oil. It is best suited for men.","Weight
0.034000
Content
4 grams of solid perfume wax in a beautifully hand-painted brass cloisonné / meenakari jar. The wax
will last upto 3-4 months on daily usage of the perfume.
Story
Luxurious Veda Ayurveda carves out a path to holistic well being of an individual. As per the
principles of this ancient science, the foundation of true health and wellness is built upon harmony
and balance of the body, mind, and soul. Our Luxurious Veda range is both inspired from, and based
on this ancient ayurvedic wisdom. Formulated with these principles in mind, made using natural
ingredients and blends of the purest essential oils, and patiently handcrafted to perfection with
great care – these products and sure to appeal to your senses and elevate your spirit!
Ingredients
Base of shea butter, beeswax and vegetable oils infused with natural flower oils. Pure & organic
ingredients that are handmade with love. Non alcoholic, non-toxic and 100% cruelty free.
How to Use
Apply the solid perfume on your pulse points - behind the ears, throat, on the wrists, inside the
elbows, and the back of knees. The fragrance develops and diffuses its voluptuous scent all day
long.
Olfactory Note
It’s a pocket-perfect round jar of pressed ittar perfume that you can carry with you wherever you go
(TSA friendly). The beautiful cloisonné jar is packed in an elegant box that is ideal for gifting
your loved ones.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-nebe.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-nebe.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs_6.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-nebe1.jpg",1692561896770
Love Solid Perfume in Brass Cloisonne Jar,Parfume,Solid Perfume,350.00,Love. This fruity floral fragrance is a feminine note that induces the feeling romance and love making.,"Weight
0.034000
Content
4 grams of solid perfume wax in a beautifully hand-painted brass cloisonné / meenakari jar. The wax
will last upto 3-4 months on daily usage of the perfume.
Story
Luxurious Veda Ayurveda carves out a path to holistic well being of an individual. As per the
principles of this ancient science, the foundation of true health and wellness is built upon harmony
and balance of the body, mind, and soul. Our Luxurious Veda range is both inspired from, and based
on this ancient ayurvedic wisdom. Formulated with these principles in mind, made using natural
ingredients and blends of the purest essential oils, and patiently handcrafted to perfection with
great care – these products and sure to appeal to your senses and elevate your spirit!
Ingredients
Base of shea butter, beeswax and vegetable oils infused with natural flower oils. Pure & organic
ingredients that are handmade with love. Non alcoholic, non-toxic and 100% cruelty free.
How to Use
Apply the solid perfume on your pulse points - behind the ears, throat, on the wrists, inside the
elbows, and the back of knees. The fragrance develops and diffuses its voluptuous scent all day
long.
Olfactory Note
It’s a pocket-perfect round jar of pressed ittar perfume that you can carry with you wherever you go
(TSA friendly). The beautiful cloisonné jar is packed in an elegant box that is ideal for gifting
your loved ones.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-lov.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-lov.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs_4.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-lov1.jpg",1692561910021
Jasmine Orient Solid Perfume in Brass Cloisonne Jar,Parfume,Solid Perfume,350.00,Jasmine / Mogra / Motia / Chameli. This white floral scent is fresh and long lasting and is best suited for women.,"Weight
0.034000
Content
4 grams of solid perfume wax in a beautifully hand-painted brass cloisonné / meenakari jar. The wax
will last upto 3-4 months on daily usage of the perfume.
Story
Luxurious Veda Ayurveda carves out a path to holistic well being of an individual. As per the
principles of this ancient science, the foundation of true health and wellness is built upon harmony
and balance of the body, mind, and soul. Our Luxurious Veda range is both inspired from, and based
on this ancient ayurvedic wisdom. Formulated with these principles in mind, made using natural
ingredients and blends of the purest essential oils, and patiently handcrafted to perfection with
great care – these products and sure to appeal to your senses and elevate your spirit!
Ingredients
Base of shea butter, beeswax and vegetable oils infused with natural flower oils. Pure & organic
ingredients that are handmade with love. Non alcoholic, non-toxic and 100% cruelty free.
How to Use
Apply the solid perfume on your pulse points - behind the ears, throat, on the wrists, inside the
elbows, and the back of knees. The fragrance develops and diffuses its voluptuous scent all day
long.
Olfactory Note
It’s a pocket-perfect round jar of pressed ittar perfume that you can carry with you wherever you go
(TSA friendly). The beautiful cloisonné jar is packed in an elegant box that is ideal for gifting
your loved ones.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-ja.jpg,"https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-ja.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs_3.jpg, https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/l/v/lvbs-ja1.jpg",1692561923623
