title,price,story_description,category,sub_category,image_urls,size_title,size,description,id
Tundora Dark Gray Subtle Plaid Double-Breasted Suit,"8,497"," Story Elevate your fashion game with our Tundora Dark Gray Double-Breasted Suit. This captivating
suit exudes confidence, boasting a double-breasted design with a sleek dual-button fastening. The
subtle plaid pattern adds a touch of sophistication, making it a versatile choice for both formal
occasions and stylish gatherings. Make a statement with this impeccable ensemble.",Men’s Pants,Men’s New Suits,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2723-DB_1_360x.jpg?v=1686549881, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2723-DB_1_800x.jpg?v=1686549881, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2723-DB_2_800x.jpg?v=1686549881, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2723-DB_4_800x.jpg?v=1687007145, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2723-DB_5_800x.jpg?v=1687007145, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2723-DB_6_800x.jpg?v=1687007145, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2723-DB_7_800x.jpg?v=1687007145, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2723-DB_8_800x.jpg?v=1687007145, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2723-DB_9_800x.jpg?v=1687007145, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/DB_097dc6b1-96c1-486f-a7eb-dd2e4ddb337d_800x.jpg?v=1687007145, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/P3_b7c36a34-61f2-4d97-80d0-da850552c05c_800x.jpg?v=1687007145",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Elevate your fashion game with our Tundora Dark Gray Double-Breasted Suit. This captivating suit
exudes confidence, boasting a double-breasted design with a sleek dual-button fastening. The subtle
plaid pattern adds a touch of sophistication, making it a versatile choice for both formal occasions
and stylish gatherings. Make a statement with this impeccable ensemble.",1686549881
Tundora Dark Gray Subtle Plaid Double-Breasted Suit,"8,497"," Story Elevate your fashion game with our Tundora Dark Gray Double-Breasted Suit. This captivating
suit exudes confidence, boasting a double-breasted design with a sleek dual-button fastening. The
subtle plaid pattern adds a touch of sophistication, making it a versatile choice for both formal
occasions and stylish gatherings. Make a statement with this impeccable ensemble.",Men’s Pants,Men’s New Suits,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2723-DB_1_360x.jpg?v=1686549881, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2723-DB_1_800x.jpg?v=1686549881, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2723-DB_2_800x.jpg?v=1686549881, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2723-DB_4_800x.jpg?v=1687007145, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2723-DB_5_800x.jpg?v=1687007145, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2723-DB_6_800x.jpg?v=1687007145, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2723-DB_7_800x.jpg?v=1687007145, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2723-DB_8_800x.jpg?v=1687007145, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2723-DB_9_800x.jpg?v=1687007145, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/DB_097dc6b1-96c1-486f-a7eb-dd2e4ddb337d_800x.jpg?v=1687007145, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/P3_b7c36a34-61f2-4d97-80d0-da850552c05c_800x.jpg?v=1687007145",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Elevate your fashion game with our Tundora Dark Gray Double-Breasted Suit. This captivating suit
exudes confidence, boasting a double-breasted design with a sleek dual-button fastening. The subtle
plaid pattern adds a touch of sophistication, making it a versatile choice for both formal occasions
and stylish gatherings. Make a statement with this impeccable ensemble.",1686549881
Wine and Chestnut Brown Plaid Single Breasted Suit,"8,497"," Story Channeling suave sophistication with a contemporary twist, this Wine and Chestnut Brown Plaid
Single Breasted Suit is the epitome of modern style. Crafted with meticulous detail and a touch of
swagger, it effortlessly exudes confidence and charm. Elevate your fashion game and make a statement
that speaks volumes.",Men’s Pants,Men’s New Suits,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2722-SB_1_360x.jpg?v=1686634986, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2722-SB_1_800x.jpg?v=1686634986, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2722-SB_2_800x.jpg?v=1686634986, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2722-SB_4_800x.jpg?v=1687007137, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2722-SB_5_800x.jpg?v=1687007137, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2722-SB_6_800x.jpg?v=1687007137, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2722-SB_7_800x.jpg?v=1687007137, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2722-SB_8_800x.jpg?v=1687007137, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/SB_8bea6041-aed2-4492-b559-f841078f60eb_800x.jpg?v=1687007137, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/P3_2b8711fa-d165-4a05-bdb5-ae289a75b3c7_800x.jpg?v=1687007137",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Channeling suave sophistication with a contemporary twist, this Wine and Chestnut Brown Plaid Single
Breasted Suit is the epitome of modern style. Crafted with meticulous detail and a touch of swagger,
it effortlessly exudes confidence and charm. Elevate your fashion game and make a statement that
speaks volumes.",1686634986
Wine and Chestnut Brown Plaid Single Breasted Suit,"8,497"," Story Channeling suave sophistication with a contemporary twist, this Wine and Chestnut Brown Plaid
Single Breasted Suit is the epitome of modern style. Crafted with meticulous detail and a touch of
swagger, it effortlessly exudes confidence and charm. Elevate your fashion game and make a statement
that speaks volumes.",Men’s Pants,Men’s New Suits,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2722-SB_1_360x.jpg?v=1686634986, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2722-SB_1_800x.jpg?v=1686634986, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2722-SB_2_800x.jpg?v=1686634986, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2722-SB_4_800x.jpg?v=1687007137, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2722-SB_5_800x.jpg?v=1687007137, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2722-SB_6_800x.jpg?v=1687007137, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2722-SB_7_800x.jpg?v=1687007137, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2722-SB_8_800x.jpg?v=1687007137, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/SB_8bea6041-aed2-4492-b559-f841078f60eb_800x.jpg?v=1687007137, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/P3_2b8711fa-d165-4a05-bdb5-ae289a75b3c7_800x.jpg?v=1687007137",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Channeling suave sophistication with a contemporary twist, this Wine and Chestnut Brown Plaid Single
Breasted Suit is the epitome of modern style. Crafted with meticulous detail and a touch of swagger,
it effortlessly exudes confidence and charm. Elevate your fashion game and make a statement that
speaks volumes.",1686634986
Pinkish Maroon Dobby Textured Cross Buttoned Bandhgala Suit,"8,497"," Story Elevate your fashion game with this stunning Pinkish Maroon Textured Cross Buttoned Bandhgala
Suit! The texture adds a subtle touch of sophistication to the rich maroon hue, making it a perfect
choice for those who love to experiment with style. The cross button design brings a contemporary
edge to the traditional bandhgala silhouette. Be the epitome of elegance and make heads turn at any
special occasion.",Men’s Pants,Men’s New Suits,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST-2720_1_360x.jpg?v=1686546398, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST-2720_1_800x.jpg?v=1686546398, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST-2720_2_800x.jpg?v=1686546397, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST-2720_4_800x.jpg?v=1687007129, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST-2720_5_800x.jpg?v=1687007129, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST-2720_6_800x.jpg?v=1687007129, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST-2720_7_800x.jpg?v=1687007129, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST-2720_9_800x.jpg?v=1687007129, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST-2720_10_800x.jpg?v=1687007129, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/CBG-2_84c3979a-0c11-44cc-afd3-591211ac4ba2_800x.jpg?v=1687007129, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/P3_f1c612f0-53f4-4488-8a4b-5a9008a093c4_800x.jpg?v=1687007129",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Elevate your fashion game with this stunning Pinkish Maroon Textured Cross Buttoned Bandhgala Suit!
The texture adds a subtle touch of sophistication to the rich maroon hue, making it a perfect choice
for those who love to experiment with style. The cross button design brings a contemporary edge to
the traditional bandhgala silhouette. Be the epitome of elegance and make heads turn at any special
occasion.",1686546398
Pinkish Maroon Dobby Textured Cross Buttoned Bandhgala Suit,"8,497"," Story Elevate your fashion game with this stunning Pinkish Maroon Textured Cross Buttoned Bandhgala
Suit! The texture adds a subtle touch of sophistication to the rich maroon hue, making it a perfect
choice for those who love to experiment with style. The cross button design brings a contemporary
edge to the traditional bandhgala silhouette. Be the epitome of elegance and make heads turn at any
special occasion.",Men’s Pants,Men’s New Suits,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST-2720_1_360x.jpg?v=1686546398, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST-2720_1_800x.jpg?v=1686546398, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST-2720_2_800x.jpg?v=1686546397, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST-2720_4_800x.jpg?v=1687007129, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST-2720_5_800x.jpg?v=1687007129, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST-2720_6_800x.jpg?v=1687007129, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST-2720_7_800x.jpg?v=1687007129, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST-2720_9_800x.jpg?v=1687007129, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST-2720_10_800x.jpg?v=1687007129, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/CBG-2_84c3979a-0c11-44cc-afd3-591211ac4ba2_800x.jpg?v=1687007129, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/P3_f1c612f0-53f4-4488-8a4b-5a9008a093c4_800x.jpg?v=1687007129",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Elevate your fashion game with this stunning Pinkish Maroon Textured Cross Buttoned Bandhgala Suit!
The texture adds a subtle touch of sophistication to the rich maroon hue, making it a perfect choice
for those who love to experiment with style. The cross button design brings a contemporary edge to
the traditional bandhgala silhouette. Be the epitome of elegance and make heads turn at any special
occasion.",1686546398
Thatch Light Pink Cross Buttoned Bandhgala Suit,"8,497"," Story Get ready to make a style statement with this exquisite Thatch Light Pink Cross Buttoned
Bandhgala Suit! This elegant ensemble features a classic bandhgala silhouette with a unique cross
button design, adding a contemporary twist to traditional attire. Crafted with precision, this suit
is perfect for weddings and ceremonies, where you want to stand out. Embrace timeless fashion with a
touch of modern flair.",Men’s Pants,Men’s New Suits,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2719-CBG_1_360x.jpg?v=1686546363, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2719-CBG_1_800x.jpg?v=1686546363, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2719-CBG_2_800x.jpg?v=1686546364, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2719-CBG_4_800x.jpg?v=1687007122, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2719-CBG_5_800x.jpg?v=1687007122, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2719-CBG_6_800x.jpg?v=1687007122, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2719-CBG_7_800x.jpg?v=1687007122, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/CBG_b8bac36f-205a-4a13-a024-903b7778484c_800x.jpg?v=1687007122, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/P3_33d2e005-1560-472d-937b-86ed3c781dff_800x.jpg?v=1687007122",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Get ready to make a style statement with this exquisite Thatch Light Pink Cross Buttoned Bandhgala
Suit! This elegant ensemble features a classic bandhgala silhouette with a unique cross button
design, adding a contemporary twist to traditional attire. Crafted with precision, this suit is
perfect for weddings and ceremonies, where you want to stand out. Embrace timeless fashion with a
touch of modern flair.",1686546363
Thatch Light Pink Cross Buttoned Bandhgala Suit,"8,497"," Story Get ready to make a style statement with this exquisite Thatch Light Pink Cross Buttoned
Bandhgala Suit! This elegant ensemble features a classic bandhgala silhouette with a unique cross
button design, adding a contemporary twist to traditional attire. Crafted with precision, this suit
is perfect for weddings and ceremonies, where you want to stand out. Embrace timeless fashion with a
touch of modern flair.",Men’s Pants,Men’s New Suits,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2719-CBG_1_360x.jpg?v=1686546363, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2719-CBG_1_800x.jpg?v=1686546363, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2719-CBG_2_800x.jpg?v=1686546364, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2719-CBG_4_800x.jpg?v=1687007122, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2719-CBG_5_800x.jpg?v=1687007122, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2719-CBG_6_800x.jpg?v=1687007122, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2719-CBG_7_800x.jpg?v=1687007122, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/CBG_b8bac36f-205a-4a13-a024-903b7778484c_800x.jpg?v=1687007122, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/P3_33d2e005-1560-472d-937b-86ed3c781dff_800x.jpg?v=1687007122",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Get ready to make a style statement with this exquisite Thatch Light Pink Cross Buttoned Bandhgala
Suit! This elegant ensemble features a classic bandhgala silhouette with a unique cross button
design, adding a contemporary twist to traditional attire. Crafted with precision, this suit is
perfect for weddings and ceremonies, where you want to stand out. Embrace timeless fashion with a
touch of modern flair.",1686546363
Heathered Light Brown Cross Buttoned Bandhgala Suit,"8,497"," Story Get ready to make a style statement with this exquisite Heathered Light Brown Cross Buttoned
Bandhgala Suit! This elegant ensemble features a classic bandhgala silhouette with a unique cross
button design, adding a contemporary twist to traditional attire. Crafted with precision, this suit
is perfect for weddings and ceremonies, where you want to stand out. Embrace timeless fashion with a
touch of modern flair.",Men’s Pants,Men’s New Suits,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2718-CBG2_1_360x.jpg?v=1686546398, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2718-CBG2_1_800x.jpg?v=1686546398, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2718-CBG2_2_800x.jpg?v=1686546397, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2718-CBG2_4_800x.jpg?v=1687007113, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2718-CBG2_5_800x.jpg?v=1687007113, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2718-CBG2_6_800x.jpg?v=1687007113, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2718-CBG2_7_800x.jpg?v=1687007113, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2718-CBG2_8_800x.jpg?v=1687007113, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/CBG-2_4ad898e2-21ca-4757-a181-ed89d107b791_800x.jpg?v=1687007113, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/P3_e8929993-c3a6-4ce8-bd3b-659f69e8df24_800x.jpg?v=1687007113",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Get ready to make a style statement with this exquisite Heathered Light Brown Cross Buttoned
Bandhgala Suit! This elegant ensemble features a classic bandhgala silhouette with a unique cross
button design, adding a contemporary twist to traditional attire. Crafted with precision, this suit
is perfect for weddings and ceremonies, where you want to stand out. Embrace timeless fashion with a
touch of modern flair.",1686546398
Heathered Light Brown Cross Buttoned Bandhgala Suit,"8,497"," Story Get ready to make a style statement with this exquisite Heathered Light Brown Cross Buttoned
Bandhgala Suit! This elegant ensemble features a classic bandhgala silhouette with a unique cross
button design, adding a contemporary twist to traditional attire. Crafted with precision, this suit
is perfect for weddings and ceremonies, where you want to stand out. Embrace timeless fashion with a
touch of modern flair.",Men’s Pants,Men’s New Suits,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2718-CBG2_1_360x.jpg?v=1686546398, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2718-CBG2_1_800x.jpg?v=1686546398, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2718-CBG2_2_800x.jpg?v=1686546397, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2718-CBG2_4_800x.jpg?v=1687007113, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2718-CBG2_5_800x.jpg?v=1687007113, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2718-CBG2_6_800x.jpg?v=1687007113, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2718-CBG2_7_800x.jpg?v=1687007113, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/ST2718-CBG2_8_800x.jpg?v=1687007113, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/CBG-2_4ad898e2-21ca-4757-a181-ed89d107b791_800x.jpg?v=1687007113, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/P3_e8929993-c3a6-4ce8-bd3b-659f69e8df24_800x.jpg?v=1687007113",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Get ready to make a style statement with this exquisite Heathered Light Brown Cross Buttoned
Bandhgala Suit! This elegant ensemble features a classic bandhgala silhouette with a unique cross
button design, adding a contemporary twist to traditional attire. Crafted with precision, this suit
is perfect for weddings and ceremonies, where you want to stand out. Embrace timeless fashion with a
touch of modern flair.",1686546398
