title,price,brand,story_description,category,sub_category,image_urls,size_title,size,description,id
Brown Leather Free Lightweight Handcrafted Belt,"2,197",Frenchcrown," Story Make a distinct style statement by buckling up this stylish casual belt from French Crown.
This leather-free belt comes with a metallic frame style buckle closure and is sure to last for a
long time. This belt is all you need to elevate your smart casual ensemble.",Men’s,Men’s Belts,"https://frenchcrown.in/cdn/shop/products/BT-99_1_360x.jpg?v=1671619536, https://frenchcrown.in/cdn/shop/products/BT-99_1_800x.jpg?v=1671619536, https://frenchcrown.in/cdn/shop/products/BT-99_2_800x.jpg?v=1671619535, https://frenchcrown.in/cdn/shop/products/BT-99_4_800x.jpg?v=1671620197, https://frenchcrown.in/cdn/shop/products/BT-99_5_800x.jpg?v=1671620197, https://frenchcrown.in/cdn/shop/products/BT-99_6_800x.jpg?v=1671620197, https://frenchcrown.in/cdn/shop/products/BT-99_7_800x.jpg?v=1671620197",Select Size,28|30|32|34|36|38|40|42,"Make a distinct style statement by buckling up this stylish casual belt from French Crown. This
leather-free belt comes with a metallic frame style buckle closure and is sure to last for a long
time. This belt is all you need to elevate your smart casual ensemble.",1671619536
Silver Metallic Shiny Buckle with Matt Finish Jade Black and Brown Leather Free Handcrafted Reversible Belt,"2,097",Frenchcrown," Story Add a vibe of sophistication to your look by wearing this reversible belt from French Crown.
It is graced up with a shiny metallic silver frame buckle which moves back and forth. Tuck in your
shirt and buckle up to make your appearance look more appealing.",Men’s,Men’s Belts,"https://frenchcrown.in/cdn/shop/products/BT-79_1_360x.jpg?v=1671172882, https://frenchcrown.in/cdn/shop/products/BT-79_1_800x.jpg?v=1671172882, https://frenchcrown.in/cdn/shop/products/BT-79_2_800x.jpg?v=1671172887, https://frenchcrown.in/cdn/shop/products/BT-79_4_800x.jpg?v=1671172884, https://frenchcrown.in/cdn/shop/products/BT-79_5_800x.jpg?v=1671172883, https://frenchcrown.in/cdn/shop/products/BT-79_6_800x.jpg?v=1671172884, https://frenchcrown.in/cdn/shop/products/BT-79_7_800x.jpg?v=1671172882, https://frenchcrown.in/cdn/shop/products/BT-79_8_800x.jpg?v=1671173316, https://frenchcrown.in/cdn/shop/products/BT-79_9_800x.jpg?v=1671173316, https://frenchcrown.in/cdn/shop/products/BT-79_10_800x.jpg?v=1671173316",Select Size,28|30|32|34|36|38|40|42,"Add a vibe of sophistication to your look by wearing this reversible belt from French Crown. It is
graced up with a shiny metallic silver frame buckle which moves back and forth. Tuck in your shirt
and buckle up to make your appearance look more appealing.",1671172882
Jade Black Leather Free Lightweight Handcrafted Belt,"2,197",Frenchcrown," Story Make a distinct style statement by buckling up this stylish casual belt from French Crown.
This leather-free belt comes with a metallic frame style black buckle closure and is sure to last
for a long time. This belt is all you need to elevate your smart casual ensemble.",Men’s,Men’s Belts,"https://frenchcrown.in/cdn/shop/products/BT-98_1_360x.jpg?v=1671619532, https://frenchcrown.in/cdn/shop/products/BT-98_1_800x.jpg?v=1671619532, https://frenchcrown.in/cdn/shop/products/BT-98_2_800x.jpg?v=1671619529, https://frenchcrown.in/cdn/shop/products/BT-98_4_800x.jpg?v=1671619915, https://frenchcrown.in/cdn/shop/products/BT-98_5_800x.jpg?v=1671619915, https://frenchcrown.in/cdn/shop/products/BT-98_6_800x.jpg?v=1671619915, https://frenchcrown.in/cdn/shop/products/BT-98_7_800x.jpg?v=1671619915",Select Size,28|30|32|34|36|38|40|42,"Make a distinct style statement by buckling up this stylish casual belt from French Crown. This
leather-free belt comes with a metallic frame style black buckle closure and is sure to last for a
long time. This belt is all you need to elevate your smart casual ensemble.",1671619532
Blue with Metallic Buckle Leather Free Lightweight Handcrafted Belt,"1,897",Frenchcrown," Story Casual and wider than the traditional men's belts, this newest blue belt from the house of
French Crown is secured by a shiny metallic buckle. Buckle up at any premium occasion, and don't
forget to tuck in your shirt to show off your stylish ensemble.",Men’s,Men’s Belts,"https://frenchcrown.in/cdn/shop/products/BT-104_1_360x.jpg?v=1671687840, https://frenchcrown.in/cdn/shop/products/BT-104_1_800x.jpg?v=1671687840, https://frenchcrown.in/cdn/shop/products/BT-104_2_800x.jpg?v=1671687841, https://frenchcrown.in/cdn/shop/products/BT-104_3_800x.jpg?v=1671687840, https://frenchcrown.in/cdn/shop/products/BT-104_4_800x.jpg?v=1671687882, https://frenchcrown.in/cdn/shop/products/BT-104_5_800x.jpg?v=1671687882, https://frenchcrown.in/cdn/shop/products/BT-104_6_800x.jpg?v=1671687882, https://frenchcrown.in/cdn/shop/products/BT-104_7_800x.jpg?v=1671687882",Select Size,28|30|32|34|36|38|40|42,"Casual and wider than the traditional men's belts, this newest blue belt from the house of French
Crown is secured by a shiny metallic buckle. Buckle up at any premium occasion, and don't forget to
tuck in your shirt to show off your stylish ensemble.",1671687840
Dark Brown Leather Free Lightweight Handcrafted Belt,"1,697",Frenchcrown," Story Make a distinct style statement by buckling up this stylish casual belt from French Crown.
This leather-free belt comes with a metallic frame style black buckle closure and is sure to last
for a long time. This belt is all you need to elevate your smart casual ensemble.",Men’s,Men’s Belts,"https://frenchcrown.in/cdn/shop/products/BT-100_1_360x.jpg?v=1671619537, https://frenchcrown.in/cdn/shop/products/BT-100_1_800x.jpg?v=1671619537, https://frenchcrown.in/cdn/shop/products/BT-100_2_800x.jpg?v=1671619539, https://frenchcrown.in/cdn/shop/products/BT-100_4_800x.jpg?v=1671620198, https://frenchcrown.in/cdn/shop/products/BT-100_5_800x.jpg?v=1671620198, https://frenchcrown.in/cdn/shop/products/BT-100_6_800x.jpg?v=1671620198, https://frenchcrown.in/cdn/shop/products/BT-100_7_800x.jpg?v=1671620198",Select Size,28|30|32|34|36|38|40|42,"Make a distinct style statement by buckling up this stylish casual belt from French Crown. This
leather-free belt comes with a metallic frame style black buckle closure and is sure to last for a
long time. This belt is all you need to elevate your smart casual ensemble.",1671619537
Tan Brown with Jade Black Buckle Leather Free Lightweight Handcrafted Belt,"1,697",Frenchcrown," Story Make a distinct style statement by buckling up this stylish casual belt from French Crown.
This leather-free belt comes with a metallic frame style black buckle closure and is sure to last
for a long time. This belt is all you need to elevate your smart casual ensemble.",Men’s,Men’s Belts,"https://frenchcrown.in/cdn/shop/products/BT-101_1_360x.jpg?v=1671619541, https://frenchcrown.in/cdn/shop/products/BT-101_1_800x.jpg?v=1671619541, https://frenchcrown.in/cdn/shop/products/BT-101_2_800x.jpg?v=1671619542, https://frenchcrown.in/cdn/shop/products/BT-101_4_800x.jpg?v=1671619540, https://frenchcrown.in/cdn/shop/products/BT-101_5_800x.jpg?v=1671620490, https://frenchcrown.in/cdn/shop/products/BT-101_6_800x.jpg?v=1671620490, https://frenchcrown.in/cdn/shop/products/BT-101_7_800x.jpg?v=1671620490",Select Size,28|30|32|34|36|38|40|42,"Make a distinct style statement by buckling up this stylish casual belt from French Crown. This
leather-free belt comes with a metallic frame style black buckle closure and is sure to last for a
long time. This belt is all you need to elevate your smart casual ensemble.",1671619541
Jade Black with Metallic Buckle Leather FreeLightweight Handcrafted Belt,"1,897",Frenchcrown," Story Make a distinct style statement by buckling up this stylish casual belt from French Crown.
This leather-free belt comes with a metallic frame style buckle closure and is sure to last for a
long time. This belt is all you need to elevate your smart casual ensemble.",Men’s,Men’s Belts,"https://frenchcrown.in/cdn/shop/products/BT-102_1_360x.jpg?v=1671688074, https://frenchcrown.in/cdn/shop/products/BT-102_1_800x.jpg?v=1671688074, https://frenchcrown.in/cdn/shop/products/BT-102_2_800x.jpg?v=1671688076, https://frenchcrown.in/cdn/shop/products/BT-102_4_800x.jpg?v=1671688074, https://frenchcrown.in/cdn/shop/products/BT-102_5_800x.jpg?v=1671688073, https://frenchcrown.in/cdn/shop/products/BT-102_6_800x.jpg?v=1671688075, https://frenchcrown.in/cdn/shop/products/BT-102_7_800x.jpg?v=1671688076",Select Size,28|30|32|34|36|38|40|42,"Make a distinct style statement by buckling up this stylish casual belt from French Crown. This
leather-free belt comes with a metallic frame style buckle closure and is sure to last for a long
time. This belt is all you need to elevate your smart casual ensemble.",1671688074
Jade Black Leather Free Lightweight Handcrafted Belt,"1,697",Frenchcrown," Story Make a distinct style statement by buckling up this stylish casual belt from French Crown.
This leather-free belt comes with a metallic frame style black buckle closure and is sure to last
for a long time. This belt is all you need to elevate your smart casual ensemble.",Men’s,Men’s Belts,"https://frenchcrown.in/cdn/shop/products/BT-103_1_360x.jpg?v=1671619548, https://frenchcrown.in/cdn/shop/products/BT-103_1_800x.jpg?v=1671619548, https://frenchcrown.in/cdn/shop/products/BT-103_2_800x.jpg?v=1671619549, https://frenchcrown.in/cdn/shop/products/BT-103_4_800x.jpg?v=1671620203, https://frenchcrown.in/cdn/shop/products/BT-103_5_800x.jpg?v=1671620203, https://frenchcrown.in/cdn/shop/products/BT-103_6_800x.jpg?v=1671620203, https://frenchcrown.in/cdn/shop/products/BT-103_7_800x.jpg?v=1671620203",Select Size,28|30|32|34|36|38|40|42,"Make a distinct style statement by buckling up this stylish casual belt from French Crown. This
leather-free belt comes with a metallic frame style black buckle closure and is sure to last for a
long time. This belt is all you need to elevate your smart casual ensemble.",1671619548
Blue with Black Buckle Leather Free Lightweight Handcrafted Belt,"1,697",Frenchcrown," Story Casual and wider than the traditional men's belts, this newest blue belt from the house of
French Crown is secured by a shiny black buckle. Buckle up at any premium occasion, and don't forget
to tuck in your shirt to show off your stylish ensemble.",Men’s,Men’s Belts,"https://frenchcrown.in/cdn/shop/products/BT-106_1_360x.jpg?v=1671688438, https://frenchcrown.in/cdn/shop/products/BT-106_1_800x.jpg?v=1671688438, https://frenchcrown.in/cdn/shop/products/BT-106_2_800x.jpg?v=1671688442, https://frenchcrown.in/cdn/shop/products/BT-106_4_800x.jpg?v=1671688437, https://frenchcrown.in/cdn/shop/products/BT-106_5_800x.jpg?v=1671688438, https://frenchcrown.in/cdn/shop/products/BT-106_6_800x.jpg?v=1671688439, https://frenchcrown.in/cdn/shop/products/BT-106_7_800x.jpg?v=1671688457",Select Size,28|30|32|34|36|38|40|42,"Casual and wider than the traditional men's belts, this newest blue belt from the house of French
Crown is secured by a shiny black buckle. Buckle up at any premium occasion, and don't forget to
tuck in your shirt to show off your stylish ensemble.",1671688438
Designer Buckle Matte Finish with Jade Black and Brown Leather Free Handcrafted Reversible Belt,"2,097",Frenchcrown," Story With this classic belt, you effortlessly get an elegant ensemble. It is made of a non-leather
material and has a lustrous appearance. The beautiful textures make it stand out in a good way. The
designer matte clasp completes the design, giving it a refined and urbane touch.",Men’s,Men’s Belts,"https://frenchcrown.in/cdn/shop/products/BT-88_1_360x.jpg?v=1671172965, https://frenchcrown.in/cdn/shop/products/BT-88_1_800x.jpg?v=1671172965, https://frenchcrown.in/cdn/shop/products/BT-88_4_800x.jpg?v=1672289571, https://frenchcrown.in/cdn/shop/products/BT-88_5_800x.jpg?v=1671173935, https://frenchcrown.in/cdn/shop/products/BT-88_6_800x.jpg?v=1671173935, https://frenchcrown.in/cdn/shop/products/BT-88_7_800x.jpg?v=1671173935, https://frenchcrown.in/cdn/shop/products/BT-88_8_800x.jpg?v=1671173935, https://frenchcrown.in/cdn/shop/products/BT-88_9_800x.jpg?v=1671173935, https://frenchcrown.in/cdn/shop/products/BT-88_10_800x.jpg?v=1671173941",Select Size,28|30|32|34|36|38|40|42,"With this classic belt, you effortlessly get an elegant ensemble. It is made of a non-leather
material and has a lustrous appearance. The beautiful textures make it stand out in a good way. The
designer matte clasp completes the design, giving it a refined and urbane touch.",1671172965
