ID,Title,Brand,Price,Category,Subcategory,Total Price,Sale Price,Description,Ingredients & How to use,Photo_Links
46076189,Atulya activated organic bamboo charcoal foaming face wash - 150gm,Atulya,399,SKIN CARE,FACE WASH,799,"This item: atulya activated organic bamboo charcoal foaming face wash - 150gm
Sale price: 219
Atulya aloe vera foaming face wash with built-in silicone brush - 150ml
Sale price: 219
Atulya vitamin c foaming face wash with silicone brush - 150ml
Sale price: 219
Atulya rose lip balm for hydrating lips - 5gm
Sale price: 142
","Atulya activated organic bamboo charcoal foaming face wash gently exfoliates your skin and pulls out dirt, pollutants, and bacteria. also, it controls the excess production of oil that helps you to achieve a flawless complexion and fight acne. this foaming face wash with a built-in silicone brush deeply cleanses your skin, leaving it fresh and hydrated. 

this foaming face wash helps to minimize skin damage that is caused due to excessive exposure to pollution and sunlight. 
it gently removes dirt, toxins, impurities, and blackheads from the skin.

regular use of this face wash kills acne-causing bacteria that clog pores.

it controls the excess production of oil without drying or irritating the skin.

free from harsh chemicals like paraben, sulphate, and silicone, this face wash suits all skin types.","Bamboo
  Charcoal
1- Squeeze the small amount of face wash to produce lather
2- Apply to face & neck
3- Maggage in a circular motion to wash out any contaminants
4- Rinse with water. Pat with a soft towel to dry","https://myatulya.com/cdn/shop/files/Activated-Bamboo-Charcol-Face-Wash-A_-Content-New-1080-by-1080.jpg?v=1690960283&width=1080, https://myatulya.com/cdn/shop/files/ActivatedBambooCharcolFaceWashA_ContentNew-02.jpg?v=1690960283&width=1080, https://myatulya.com/cdn/shop/files/ActivatedBambooCharcolFaceWashA_ContentNew-03.jpg?v=1690960283&width=1080, https://myatulya.com/cdn/shop/files/ActivatedBambooCharcolFaceWashA_ContentNew-04.jpg?v=1690960283&width=1080"
20986925,Atulya haldi & chandan foaming face wash with built-in silicone brush - 150ml,Atulya,399,SKIN CARE,FACE WASH,916,"This item: atulya haldi & chandan foaming face wash with built-in silicone brush - 150ml
Sale price: 259
Atulya papaya foaming face wash with built-in silicone brush - 150ml
Sale price: 219
Atulya saffron & honey face wash with built-in silicone brush - 150ml
Sale price: 219
Atulya vitamin c foaming face wash with silicone brush - 150ml
Sale price: 219
","Atulya haldi & chandan foaming face wash is infused with ayurvedic goodness. it efficiently removes impurities, dust, and debris from the skin while leaving it fresh and rejuvenated. regular use of this foaming face wash makes your skin healthy and glowing.

this foaming face wash has haldi (turmeric) that helps reduce blemishes and rejuvenates the skin via brightening, healing, and antioxidant abilities. 
with chandan (sandalwood), this face wash helps reduce skin inflammation and restore the skin's natural radiance.
this face wash helps to brighten the skin and lighten the dark by reducing tanning & pigmentation.
it comes with a built-in silicone brush that gently cleanses the skin.
free from harsh chemicals like paraben, sulphate, and silicone, this face wash suits all skin types.","Chandan
  / haldi
1- Squeeze the small amount of face wash to produce lather
2- Apply to face & neck
3- Maggage in a circular motion to wash out any contaminants
4- Rinse with water. Pat with a soft towel to dry","https://myatulya.com/cdn/shop/files/Artboard1copy84.jpg?v=1701858421&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_12ee0be3-eb8b-4393-b021-4c42f37aef33.jpg?v=1704523465&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_55cd74b2-20fc-4f3f-af47-5ec9afedc8f3.jpg?v=1704523465&width=1080"
99692193,Atulya vitamin c foaming face wash with silicone brush - 150ml,Atulya,399,SKIN CARE,FACE WASH,"1,006","This item: atulya vitamin c foaming face wash with silicone brush - 150ml
Sale price: 219
Atulya activated organic bamboo charcoal foaming face wash - 150gm
Sale price: 219
Atulya vitamin c face serum 30ml
Sale price: 349
Atulya aloe vera foaming face wash with built-in silicone brush - 150ml
Sale price: 219
","Atulya vitamin c face wash deeply cleanses your skin and gives it a healthy glow. vitamin c calms the stressed skin and reduces the stress on the skin caused due to pollution, uv radiation, or smoking. also, it increases collagen formation in the skin, making it shiny and glowing. 

it has vitamin c that protects the skin from free radical damage, evens skin tone, and reduces pigmentation and dark spots.
this face wash helps reduce the visibility of blemishes, scars, and dark spots.
it helps treat pimples by controlling the excess production of oil.
this face wash hydrates your skin and controls premature aging.
free from harsh chemicals like paraben, sulphate, and silicone, this face wash suits all skin types.","Lemon /
  Grap Fruit
1- Squeeze the small amount of face wash to produce lather
2- Apply to face & neck
3- Maggage in a circular motion to wash out any contaminants
4- Rinse with water. Pat with a soft towel to dry","https://myatulya.com/cdn/shop/files/AT-80.jpg?v=1690546686&width=1080, https://myatulya.com/cdn/shop/files/Vitamin-CFaceWashNewA_Content-AT-02.jpg?v=1690546686&width=1080, https://myatulya.com/cdn/shop/files/Vitamin-CFaceWashNewA_Content-AT-03.jpg?v=1690546686&width=1080, https://myatulya.com/cdn/shop/files/Vitamin-CFaceWashNewA_Content-AT-05.jpg?v=1690546687&width=1080"
17260947,Atulya rice water foaming face wash with silicone brush - 150ml,Atulya,399,SKIN CARE,FACE WASH,916,"This item: atulya rice water foaming face wash with silicone brush - 150ml
Sale price: 259
Atulya vitamin c foaming face wash with silicone brush - 150ml
Sale price: 219
Atulya activated organic bamboo charcoal foaming face wash - 150gm
Sale price: 219
Atulya papaya foaming face wash with built-in silicone brush - 150ml
Sale price: 219
","Atulya rice water face wash is a rich face cleanser that naturally exfoliates and brightens the skin. with 100% natural components, this face wash removes dirt and debris from the skin. it has non-drying composition and a quick-to-rinse formula that leaves skin feeling fresh, nourished, and moisturized without over-drying it. 

this face wash brightens the skin, leaving it fresh and hydrated.
it has a quick-rinsing composition that keeps skin nourished and fresh without drying it.
it softens, moisturizes, soothes, nourishes, and smoothens the skin.
it helps fight early signs of ageing like fine lines and wrinkles.
free from harsh chemicals like paraben, sulphate, and silicone, this face wash suits all skin types.","Rice
  water/ Aloe Vera
1- Squeeze the small amount of face wash to produce lather
2- Apply to face & neck
3- Maggage in a circular motion to wash out any contaminants
4- Rinse with water. Pat with a soft towel to dry","https://myatulya.com/cdn/shop/files/Artboard1copy89.jpg?v=1701859939&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_211ce6d7-80ce-4d7f-832f-71dfdd5f06a1.jpg?v=1704524208&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_f19a59fe-e078-4606-a94e-a0b64c8f2e7d.jpg?v=1704524208&width=1080"
96545867,Atulya orange peel foaming face wash with silicone brush - 150ml,Atulya,399,SKIN CARE,FACE WASH,916,"This item: atulya orange peel foaming face wash with silicone brush - 150ml
Sale price: 259
Atulya activated organic bamboo charcoal foaming face wash - 150gm
Sale price: 219
Atulya aloe vera foaming face wash with built-in silicone brush - 150ml
Sale price: 219
Atulya vitamin c foaming face wash with silicone brush - 150ml
Sale price: 219
","Atulya orange peel face wash is packed with a fresh infusion of antioxidant-rich ingredients like orange peel, sandalwood extracts, and moisturizing coconut water. this natural ingredient gently cleans the skin by controlling excess sebum production and extracts pollutants. it keeps your skin fresh and hydrated for a long time.  

rich in antioxidants, this face wash keeps your skin fresh and hydrated for a long time.
it helps improve your skin’s elasticity, controls early signs of aging, and makes your skin look younger.
this face helps reduce tanning, and pigmentation and makes skin tone even.
it gently nourishes your skin and retains moisture for a long time.
free from harsh chemicals like paraben, sulphate, and silicone, this face wash suits all skin types.","Orange
  Peel / Aloe Vera
1- Squeeze the small amount of face wash to produce lather
2- Apply to face & neck
3- Maggage in a circular motion to wash out any contaminants
4- Rinse with water. Pat with a soft towel to dry","https://myatulya.com/cdn/shop/files/OrangePeelFoamingFaceWashA_Content-AT-01.jpg?v=1690605189&width=1080, https://myatulya.com/cdn/shop/files/OrangePeelFoamingFaceWashA_Content-AT-02.jpg?v=1690605190&width=1080, https://myatulya.com/cdn/shop/files/OrangePeelFoamingFaceWashA_Content-AT-03.jpg?v=1690605190&width=1080, https://myatulya.com/cdn/shop/files/OrangePeelFoamingFaceWashA_Content-AT-04.jpg?v=1690605190&width=1080"
18946209,Atulya aloe vera foaming face wash with built-in silicone brush - 150ml,Atulya,399,SKIN CARE,FACE WASH,916,"This item: atulya aloe vera foaming face wash with built-in silicone brush - 150ml
Sale price: 219
Atulya activated organic bamboo charcoal foaming face wash - 150gm
Sale price: 219
Atulya vitamin c foaming face wash with silicone brush - 150ml
Sale price: 219
Atulya cucumber foaming face wash with built-in silicone brush - 150ml
Sale price: 259
","Atulya aloe vera foaming face wash gives the skin the gift of gentle and wholesome cleansing. the face wash helps to soothe sore skin and maintain the skin's moisture barrier. it helps cleanse, tone, hydrate, and soothe the skin. it comes with a built-in silicone brush that gently cleanses and exfoliates the skin. 

made using aloe vera extract, this foaming face wash helps to hydrate and nourish your skin.
it revitalizes dry skin and enhances suppleness and radiance.
it helps to enhance the look and texture of skin by making it soft and healthy.
this foaming face wash comes with a built-in silicone brush that deeply cleanses your skin.
free from harsh chemicals like paraben, sulphate, and silicone, this face wash suits all skin types.","Ale Vera
  / Reetha
1- Squeeze the small amount of face wash to produce lather
2- Apply to face & neck
3- Maggage in a circular motion to wash out any contaminants
4- Rinse with water. Pat with a soft towel to dry","https://myatulya.com/cdn/shop/files/Artboard1copy83.jpg?v=1701860211&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_81d58e8a-b636-4429-86ec-2c32cc2536d8.jpg?v=1704519275&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_732d13d3-9cee-49df-96f8-7f42adc52096.jpg?v=1704519275&width=1080"
04075369,Atulya papaya foaming face wash with built-in silicone brush - 150ml,Atulya,399,SKIN CARE,FACE WASH,956,"This item: atulya papaya foaming face wash with built-in silicone brush - 150ml
Sale price: 219
Atulya haldi & chandan foaming face wash with built-in silicone brush - 150ml
Sale price: 259
Atulya rice water foaming face wash with silicone brush - 150ml
Sale price: 259
Atulya aloe vera foaming face wash with built-in silicone brush - 150ml
Sale price: 219
","Papaya /
  aloe vera","Papaya /
  Aloe Vera
1- Squeeze the small amount of face wash to produce lather
2- Apply to face & neck
3- Maggage in a circular motion to wash out any contaminants
4- Rinse with water. Pat with a soft towel to dry","https://myatulya.com/cdn/shop/files/PapayaFoamingFaceWashA_Content-AT-01.jpg?v=1690606516&width=1080, https://myatulya.com/cdn/shop/files/PapayaFoamingFaceWashA_Content-AT-02.jpg?v=1704524039&width=1080, https://myatulya.com/cdn/shop/files/PapayaFoamingFaceWashA_Content-AT-03.jpg?v=1704524039&width=1080"
19611148,Atulya tea tree & neem foaming face wash - 150ml,Atulya,399,SKIN CARE,FACE WASH,"1,021","This item: atulya tea tree & neem foaming face wash - 150ml
Sale price: 219
Atulya saffron & honey face wash with built-in silicone brush - 150ml
Sale price: 219
Atulya hibiscus & black seed hair shampoo - 300ml
Sale price: 324
Atulya rice water foaming face wash with silicone brush - 150ml
Sale price: 259
","Atulya tea tree & neem face wash will help you achieve acne-free skin. tea tree and neem extracts have both been shown to enhance the appearance of the skin by treating acne and pimples, controlling excess oil, and soothing redness, and irritation. 

this face wash reduces the appearance of pimples, acne, and zits while maintaining skin's elasticity.
it reduces excess production of oil and soothes irritated and inflamed skin.
this face wash helps to prevent acne, pimples, and other skin problems.
rich in antioxidants, this face wash helps to restore skin that has been harmed by pollution.
free from harsh chemicals like paraben, sulphate, and silicone, this face wash suits all skin types.","Tea Tree
  / Neem
1- Squeeze the small amount of face wash to produce lather
2- Apply to face & neck
3- Maggage in a circular motion to wash out any contaminants
4- Rinse with water. Pat with a soft towel to dry","https://myatulya.com/cdn/shop/files/TeaTree_NeemFoamingFaceWashA_Content-AT-01.jpg?v=1690607057&width=1080, https://myatulya.com/cdn/shop/files/TeaTree_NeemFoamingFaceWashA_Content-AT-02.jpg?v=1690607056&width=1080, https://myatulya.com/cdn/shop/files/TeaTree_NeemFoamingFaceWashA_Content-AT-03.jpg?v=1690607056&width=1080, https://myatulya.com/cdn/shop/files/TeaTree_NeemFoamingFaceWashA_Content-AT-04.jpg?v=1690607057&width=1080"
63119096,Atulya saffron & honey face wash with built-in silicone brush - 150ml,Atulya,399,SKIN CARE,FACE WASH,916,"This item: atulya saffron & honey face wash with built-in silicone brush - 150ml
Sale price: 219
Atulya activated organic bamboo charcoal foaming face wash - 150gm
Sale price: 219
Atulya haldi & chandan foaming face wash with built-in silicone brush - 150ml
Sale price: 259
Atulya tea tree & neem foaming face wash - 150ml
Sale price: 219
","Atulya saffron & honey foaming face wash brings you the combination of these two powerful components that provides endless benefits to your skin. saffron provides your skin with the radiance that everyone desires while honey acts as a natural moisturizer and treats dull and damaged skin.

this foaming face wash helps lighten dark spots, evens out skin tone, and improves skin texture.
it reduces the visibility of pigmentation, dark spots, and other skin blemishes.
this face wash naturally exfoliates the skin to remove dead cells and moisturizes the skin.
it comes with a built-in silicone brush that gently cleanses the skin.
free from harsh chemicals like paraben, sulphate, and silicone, this face wash suits all skin types.","Saffron
  / honey
1- Squeeze the small amount of face wash to produce lather
2- Apply to face & neck
3- Maggage in a circular motion to wash out any contaminants
4- Rinse with water. Pat with a soft towel to dry","https://myatulya.com/cdn/shop/files/Artboard1copy90.jpg?v=1701858991&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_9b655765-279a-4783-aece-5e07357c3def.jpg?v=1701858990&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_dd5922a3-a1e7-42c6-ae3d-806e6219c7ac.jpg?v=1701858992&width=1080, https://myatulya.com/cdn/shop/files/Artboard4_580d8b03-f7ca-486b-96f1-a2e3d8729593.jpg?v=1701858990&width=1080"
60483543,Atulya vedic ubtan foaming face wash with an inbuilt brush 150ml,Atulya,399,SKIN CARE,FACE WASH,"1,086","This item: atulya vedic ubtan foaming face wash with an inbuilt brush 150ml
Sale price: 219
Atulya madagascar vanilla hair shampo - 300ml
Sale price: 324
Atulya madagascar vanilla hair conditioner - 300ml
Sale price: 324
Atulya activated organic bamboo charcoal foaming face wash - 150gm
Sale price: 219
","Bring life to your dull and tanned skin with vedic ubtan foaming face wash. power packed with potent ingredients like turmeric and saffron, this cleanser rejuvenates your skin, making it feel fresh and bright. it unclogs open pores, removes blackheads, fights free radicals, reduces premature signs of ageing & sun tan, regulates sebum production, adds radiance, and brightens skin. free from all harmful chemicals, silicones, paraben, sulphate & synthetic colors, this atulya vedic ubtan foaming face wash is suitable for all skin types.","Green
  Tea / Aloe Vera / Turmeric
1- Squeeze the small amount of face wash to produce lather
2- Apply to face & neck
3- Maggage in a circular motion to wash out any contaminants
4- Rinse with water. Pat with a soft towel to dry","https://myatulya.com/cdn/shop/files/VedicUbtanFaceWashA_Content-AT-01.jpg?v=1690609840&width=1080, https://myatulya.com/cdn/shop/files/VedicUbtanFaceWashA_Content-AT-02.jpg?v=1690609840&width=1080, https://myatulya.com/cdn/shop/files/VedicUbtanFaceWashA_Content-AT-03.jpg?v=1690609839&width=1080, https://myatulya.com/cdn/shop/files/VedicUbtanFaceWashA_Content-AT-05.jpg?v=1690609841&width=1080"
