Product ID,Title,Price,Description,Image URLs
C54LXW3K,Camveda Hawan Samagri 2Kg(500gX4) | Made 100% Natural Herbs | Pack of 4,340.00,"Totally made up of natural herbs, 100 % natural jadi butis, 100 % natural fragrances in this
Samagri. Havan Samagri is used for every type of Havan like - Annaprashanam (Baby's first feeding of
rice) , Ayushya Homam , Gruhapravesham, Karvachauth (Suhag Vrath), Marriage Ceremony, Mrithyunjaya
Homam, Mundan Puja, Namakaranam, bhumi pujan, bahi pujan, lagan (Marriage), Navagraha Homam, Punyaha
Vachanam, Satya Narayana Puja, Yagya, Seemantham, Shanthi Path, Havan, Srirama / Sri Venkateswara
Kalyana Utsavam, Shivji puja, durgastami, navratra pujan, durga puja, guru purnima, Mahalaxmi pujan,
etc
","https://www.camveda.com/cdn/shop/files/Logo_Gold_Camveda_New-01.png, https://www.camveda.com/cdn/shop/products/Offer-19.png, https://www.camveda.com/cdn/shop/products/Offer-19.png"
2G2FSOPL,Camveda Pure Bhimseni Camphor/Kapoor | 500g,899.00,"Camveda Pure Bhimseni Camphor/Kapur is highly effective in medical treatments. It can cure pain,
swelling, irritation, anxiety and stress. The natural properties of Camveda Bhimseni Camphor
(Kapoor/Kapur) make it suitable for consumption in small quantities by people, except children and
pregnant women.
Use: Camphor for medical cure, Camphor for pooja, Camphor for Artis, Camphor for daily use.
","https://www.camveda.com/cdn/shop/files/Logo_Gold_Camveda_New-01.png, https://www.camveda.com/cdn/shop/files/500gms-01.png, https://www.camveda.com/cdn/shop/files/500gms-01.png"
HK84BIL5,Camveda Pure Bhimseni Camphor/Kapoor | 250g,490.00,"Introducing the essence of purity: Camveda Pure Bhimseni Camphor, an embodiment of tranquility and
sanctity.
Sourced from the rare Bhimseni variety, this camphor stands as a testament to unparalleled quality
and potency. Imbued with a fragrance that is both soothing and refreshing, each grain of Camveda
Pure Bhimseni Camphor emanates an aura of divine purity, captivating your senses and elevating your
surroundings.
Crafted through a meticulous process to retain its natural essence, this camphor embodies a
tradition deeply rooted in spirituality and cleansing rituals. Its versatile uses extend beyond mere
fragrance - it is a symbol of sanctity, revered for its ability to purify spaces, invigorate
meditative practices, and infuse moments with a sense of serenity.
Unveil the essence of serenity and elevate your rituals with Camveda Pure Bhimseni Camphor. Embrace
the divine aroma and embrace a world where purity and tranquility converge in perfect harmony.
","https://www.camveda.com/cdn/shop/files/Logo_Gold_Camveda_New-01.png, https://www.camveda.com/cdn/shop/files/250gms-01.png, https://www.camveda.com/cdn/shop/files/250gms-01.png"
EMFO1N0P,Camveda Pure Bhimseni Camphor/Kapoor | 100g,249.00,"Introducing the essence of purity: Camveda Pure Bhimseni Camphor, an embodiment of tranquility and
sanctity.
Sourced from the rare Bhimseni variety, this camphor stands as a testament to unparalleled quality
and potency. Imbued with a fragrance that is both soothing and refreshing, each grain of Camveda
Pure Bhimseni Camphor emanates an aura of divine purity, captivating your senses and elevating your
surroundings.
Crafted through a meticulous process to retain its natural essence, this camphor embodies a
tradition deeply rooted in spirituality and cleansing rituals. Its versatile uses extend beyond mere
fragrance - it is a symbol of sanctity, revered for its ability to purify spaces, invigorate
meditative practices, and infuse moments with a sense of serenity.
Unveil the essence of serenity and elevate your rituals with Camveda Pure Bhimseni Camphor. Embrace
the divine aroma and embrace a world where purity and tranquility converge in perfect harmony.
","https://www.camveda.com/cdn/shop/files/Logo_Gold_Camveda_New-01.png, https://www.camveda.com/cdn/shop/files/5.10.150gmCV-08.png, https://www.camveda.com/cdn/shop/files/5.10.150gmCV-08.png"
WP6M0LYI,Camveda Pure Camphor Tablets | 250g,425.00,"Introducing the Camveda Pure Camphor Round Tablet - your trusted companion for a serene and
refreshing ambiance.
Crafted from the finest quality camphor, these round tablets emanate a pure and invigorating
fragrance that revitalizes your surroundings. Each tablet is meticulously created to ensure a slow
and steady release of aromatic goodness, leaving your space imbued with a sense of tranquility and
purity.
The Camveda Pure Camphor Round Tablet is more than just a fragrance; it's a symbol of tradition,
known for its cleansing properties that have been revered for centuries. Whether used in religious
rituals, meditation practices, or simply to create a peaceful atmosphere, these tablets are your
gateway to a serene and harmonious environment.
Experience the calming essence of Camveda Pure Camphor Round Tablets and transform any space into a
haven of purity and calm. Elevate your moments, elevate your space, with the timeless essence of
Camveda.

","https://www.camveda.com/cdn/shop/files/Logo_Gold_Camveda_New-01.png, https://www.camveda.com/cdn/shop/files/5.10.1250gmCV-01.png, https://www.camveda.com/cdn/shop/files/5.10.1250gmCV-01.png"
XOQLUB24,Camveda Pure Camphor Tablets | 100g,199.00,"Introducing the Camveda Pure Camphor Round Tablet - your trusted companion for a serene and refreshing ambiance.Crafted from the finest quality camphor, these round tablets emanate a pure and invigorating fragrance that revitalizes your surroundings. Each tablet is meticulously created to ensure a slow and steady release of aromatic goodness, leaving your space imbued with a sense of tranquility and purity.The Camveda Pure Camphor Round Tablet is more than just a fragrance; it's a symbol of tradition, known for its cleansing properties that have been revered for centuries. Whether used in religious rituals, meditation practices, or simply to create a peaceful atmosphere, these tablets are your gateway to a serene and harmonious environment.Experience the calming essence of Camveda Pure Camphor Round Tablets and transform any space into a haven of purity and calm. Elevate your moments, elevate your space, with the timeless essence of Camveda.Key Highlights:
100% Pure CamphorRevitalizes your surroundings, mind & bodyNo Chemicals AddedNon-Toxic fumesSafe for children and pets
","https://www.camveda.com/cdn/shop/files/Logo_Gold_Camveda_New-01.png, https://www.camveda.com/cdn/shop/files/5.10.150gmCV-09_7385fe04-f2f2-4a08-b097-9ae3379e3569.png, https://www.camveda.com/cdn/shop/files/5.10.150gmCV-09_7385fe04-f2f2-4a08-b097-9ae3379e3569.png"
4E05I5D6,Camveda Pure Camphor Tablets | 500g,760.00,"Camveda's Pure Camphor Tablets offer exceptional aromatic and healing properties, promoting relaxation of the mind and body. Made entirely from 100% natural ingredients, these tablets contain no added chemicals, ensuring safety for both kids and pets.Ideal for various purposes, Pure Kapoor or Camphor is deeply rooted in Indian religious customs such as Aartis, Hawans, and Pujas. Additionally, it serves in healing practices, aromatherapy, rejuvenation, and various Ayurvedic applications.

100% Pure CamphorRevitalizes your surroundings, mind & bodyNon-Toxic fumesSafe for children and pets
","https://www.camveda.com/cdn/shop/files/Logo_Gold_Camveda_New-01.png, https://www.camveda.com/cdn/shop/files/5.10.1500gmCV-01.png, https://www.camveda.com/cdn/shop/files/5.10.1500gmCV-01.png"
7GEEQSXI,Camveda Pure Camphor Tablets | 100g (Pouch),195.00,"Camveda's Pure Camphor Tablets offer exceptional aromatic and healing properties, promoting relaxation of the mind and body. Made entirely from 100% natural ingredients, these tablets contain no added chemicals, ensuring safety for both kids and pets.Ideal for various purposes, Pure Kapoor or Camphor is deeply rooted in Indian religious customs such as Aartis, Hawans, and Pujas. Additionally, it serves in healing practices, aromatherapy, rejuvenation, and various Ayurvedic applications.100% Pure CamphorRevitalizes your surroundings, mind & bodyNon-Toxic fumesSafe for children and pets
Camveda's Pure Camphor Tablets offer exceptional aromatic and healing properties, promoting relaxation of the mind and body. Made entirely from 100% natural ingredients, these tablets contain no added chemicals, ensuring safety for both kids and pets.Ideal for various purposes, Pure Kapoor or Camphor is deeply rooted in Indian religious customs such as Aartis, Hawans, and Pujas. Additionally, it serves in healing practices, aromatherapy, rejuvenation, and various Ayurvedic applications.

100% Pure CamphorRevitalizes your surroundings, mind & bodyNon-Toxic fumesSafe for children and pets

","https://www.camveda.com/cdn/shop/files/Logo_Gold_Camveda_New-01.png, https://www.camveda.com/cdn/shop/files/5.10.1100gmCV-09_315a300c-5cbe-400c-94a9-3e92268bb0cb.png, https://www.camveda.com/cdn/shop/files/5.10.1100gmCV-09_315a300c-5cbe-400c-94a9-3e92268bb0cb.png"
IIXEPDVR,Camveda Camphor- 45 GM Wax Paper Covered Square Tablets,199.00,"Pure Camphor Tablets from Camveda with exceptional aromatic and medicinal properties, which calm the mind and relax the body. 100% natural, with no added chemicals, and is totally safe for Kids and Pets.
Use of Pure Karpoora or Camphor is deeply integrated with Indian Religious Customs & Rituals, Aartis, Hawans, Pujas as well as Healing, Aromatherapy, Rejuvenation, Ayurvedic & Medicinal applications.

100% Pure CamphorRevitalizes your surroundings, mind & bodyNo Chemicals AddedNon-Toxic fumesSafe for children and pets
","https://www.camveda.com/cdn/shop/files/Logo_Gold_Camveda_New-01.png, https://www.camveda.com/cdn/shop/files/5.10.145gmCV-09_740ff904-7d7c-494e-98ad-09ac3a052f32.png, https://www.camveda.com/cdn/shop/files/5.10.145gmCV-09_740ff904-7d7c-494e-98ad-09ac3a052f32.png"
JTLJC0OH,Camveda Pure Camphor Tablets | 500g (Pouch),730.00,"Camveda's Pure Camphor Tablets offer exceptional aromatic and healing properties, promoting relaxation of the mind and body. Made entirely from 100% natural ingredients, these tablets contain no added chemicals, ensuring safety for both kids and pets.Ideal for various purposes, Pure Kapoor or Camphor is deeply rooted in Indian religious customs such as Aartis, Hawans, and Pujas. Additionally, it serves in healing practices, aromatherapy, rejuvenation, and various Ayurvedic applications.
Camveda's Pure Camphor Tablets offer exceptional aromatic and healing properties, promoting relaxation of the mind and body. Made entirely from 100% natural ingredients, these tablets contain no added chemicals, ensuring safety for both kids and pets.Ideal for various purposes, Pure Kapoor or Camphor is deeply rooted in Indian religious customs such as Aartis, Hawans, and Pujas. Additionally, it serves in healing practices, aromatherapy, rejuvenation, and various Ayurvedic applications.

100% Pure CamphorRevitalizes your surroundings, mind & bodyNo Chemicals AddedNon-Toxic fumesSafe for children and pets
","https://www.camveda.com/cdn/shop/files/Logo_Gold_Camveda_New-01.png, https://www.camveda.com/cdn/shop/files/5.10.1100gmCV-08.png, https://www.camveda.com/cdn/shop/files/5.10.1100gmCV-08.png"
