title,price,brand,story_description,category,sub_category,image_urls,size_title,size,description,id
Dark Brown Ultra Slim Vegan Leather Push Button Handcrafted Card Holder,547,Frenchcrown," Story This bi-fold Card Holder is a perfect pick for those looking for a compact, stylish, and luxe
Card Holders. The all-over grainy textured finish with engraved branding on the front lends a classy
appeal.6 card holders, 2 ID card holders.",Men’s,Men’s Wallets,"https://frenchcrown.in/cdn/shop/products/WT13_1_360x.jpg?v=1656505539, https://frenchcrown.in/cdn/shop/products/WT13_1_800x.jpg?v=1656505539, https://frenchcrown.in/cdn/shop/products/WT13_2_800x.jpg?v=1640324418, https://frenchcrown.in/cdn/shop/products/WT13_3_800x.jpg?v=1640324417, https://frenchcrown.in/cdn/shop/products/WT13_4_800x.jpg?v=1640324417, https://frenchcrown.in/cdn/shop/products/WT13_5_800x.jpg?v=1640324418, https://frenchcrown.in/cdn/shop/products/WT13_6_800x.jpg?v=1640324417, https://frenchcrown.in/cdn/shop/products/WT13_7_800x.jpg?v=1640324418, https://frenchcrown.in/cdn/shop/products/WT13_8_800x.jpg?v=1640324417",Select Size,,"This bi-fold Card Holder is a perfect pick for those looking for a compact, stylish, and luxe Card
Holders. The all-over grainy textured finish with engraved branding on the front lends a classy
appeal.6 card holders, 2 ID card holders.",1656505539
Pack Of 1 Dark Brown Wallet And 1 Brown Belt,"1,347",Frenchcrown," Story Brown Vegan Leather Handcrafted Belt Premium vegan leather Belt with Subtle sheen that adds
elegance to your style statement. If you are committed to protecting animal life and dignity, go for
vegan leather only. Skilled craftsmanship and timeless style define this Brown Vegan Leather Belt.
With clean and sober Pattern, this belt is an elegant way to complete any outfit. Handcrafted from
Vegan leather and stylishly shaped, this vegan men’s belt will make your daytime accessorizing
easier and your everyday life a lot lighter! It can be worn with Formal Pant. 2. Dark Brown Ultra
Slim Vegan Leather Push Button Handcrafted Card Holder This bi-fold Card Holder is a perfect pick
for those looking for a compact, stylish, and luxe Card Holders. The all-over grainy textured finish
with engraved branding on the front lends a classy appeal.6 card holders, 2 ID card holders.",Men’s,Men’s Wallets,"https://frenchcrown.in/cdn/shop/products/WB-13-06_1_360x.jpg?v=1656505847, https://frenchcrown.in/cdn/shop/products/WB-13-06_1_800x.jpg?v=1656505847, https://frenchcrown.in/cdn/shop/products/WB-13-06_2_800x.jpg?v=1641990480, https://frenchcrown.in/cdn/shop/products/WB-13-06_3_800x.jpg?v=1651660025, https://frenchcrown.in/cdn/shop/products/WB-13-06_4_800x.jpg?v=1651660025, https://frenchcrown.in/cdn/shop/products/WB-13-06_5_800x.jpg?v=1651660025, https://frenchcrown.in/cdn/shop/products/WB-13-06_6_800x.jpg?v=1651660025, https://frenchcrown.in/cdn/shop/products/WB-13-06_7_800x.jpg?v=1651660025, https://frenchcrown.in/cdn/shop/products/WB-13-06_8_800x.jpg?v=1651660025, https://frenchcrown.in/cdn/shop/products/WB-13-06_9_800x.jpg?v=1651660025, https://frenchcrown.in/cdn/shop/products/WB-13-06_10_800x.jpg?v=1651660025, https://frenchcrown.in/cdn/shop/products/WB-13-06_11_800x.jpg?v=1651660025, https://frenchcrown.in/cdn/shop/products/WB-13-06_12_800x.jpg?v=1651660025, https://frenchcrown.in/cdn/shop/products/WB-13-06_13_800x.jpg?v=1651660025, https://frenchcrown.in/cdn/shop/products/WB-13-06_14_800x.jpg?v=1651660025",Select Size,28|30|32|34|36|38|40|42,"Brown Vegan Leather Handcrafted BeltPremium vegan leather Belt with Subtle sheen that adds elegance
to your style statement. If you are committed to protecting animal life and dignity, go for vegan
leather only. Skilled craftsmanship and timeless style define thisBrown Vegan Leather Belt.With
clean and sober Pattern, this belt is an elegant way to complete any outfit. Handcrafted from Vegan
leather and stylishly shaped, this vegan men’s belt will make your daytime accessorizing easier and
your everyday life a lot lighter! It can be worn with Formal Pant.2.Dark Brown Ultra Slim Vegan
Leather Push Button Handcrafted Card HolderThis bi-fold Card Holder is a perfect pick for those
looking for a compact, stylish, and luxe Card Holders. The all-over grainy textured finish with
engraved branding on the front lends a classy appeal.6 card holders, 2 ID card holders.",1656505847
Tan with Black Vegan Leather Handcrafted Wallet and Card Holder Set,"1,347",Frenchcrown," Story Keep your monetary essentials in place and safe with this men\'s bi-fold wallet from French
crown. Designed with perfection, this wallet ensures easy and quick access to your stuff, whereas
the vegan leather make ensures high quality. Exuding a textured pattern, it is detailed with a
spacious compartment and multiple slots to accommodate cash and cards in a safe manner.2 main
compartments, 9 card holders, 1 Coin Pocket and 1 Id card Holder.",Men’s,Men’s Wallets,"https://frenchcrown.in/cdn/shop/products/WT25_1_360x.jpg?v=1656505682, https://frenchcrown.in/cdn/shop/products/WT25_1_800x.jpg?v=1656505682, https://frenchcrown.in/cdn/shop/products/WT25_2_800x.jpg?v=1640324591, https://frenchcrown.in/cdn/shop/products/WT25_3_800x.jpg?v=1640324591, https://frenchcrown.in/cdn/shop/products/WT25_4_800x.jpg?v=1640324591, https://frenchcrown.in/cdn/shop/products/WT25_5_800x.jpg?v=1640324590, https://frenchcrown.in/cdn/shop/products/WT25_6_800x.jpg?v=1640324591, https://frenchcrown.in/cdn/shop/products/WT25_7_800x.jpg?v=1640324592, https://frenchcrown.in/cdn/shop/products/WT25_8_800x.jpg?v=1640324592, https://frenchcrown.in/cdn/shop/products/WT25_9_800x.jpg?v=1640324592, https://frenchcrown.in/cdn/shop/products/WT25_10_800x.jpg?v=1640324592, https://frenchcrown.in/cdn/shop/products/WT25_11_800x.jpg?v=1640324593",Select Size,,"Keep your monetary essentials in place and safe with this men\'s bi-fold wallet from French crown.
Designed with perfection, this wallet ensures easy and quick access to your stuff, whereas the vegan
leather make ensures high quality. Exuding a textured pattern, it is detailed with a spacious
compartment and multiple slots to accommodate cash and cards in a safe manner.2 main compartments, 9
card holders, 1 Coin Pocket and 1 Id card Holder.",1656505682
Pack Of 1 Tan With Black  Wallet And 1 Dark Brown Belt,"1,297",Frenchcrown," Story Dark Brown Vegan Leather Lightweight Belt Skilled craftsmanship and timeless style define
this Dark Brown Vegan Leather Belt. With clean, sober lines and a square Italian silvertone buckle,
this belt is an elegant way to complete any outfit. Handcrafted from Faux and stylishly shaped, this
vegan men’s belt will make your daytime accessorizing easier and your everyday life a lot lighter!
.It can be worn with Formal Pant for business or because of bigger handmade stitches you can wear it
casually with jeans also. 2. Tan with Black Vegan Leather Handcrafted Wallet and Card Holder Set
Keep your monetary essentials in place and safe with this men\'s bi-fold wallet from French crown.
Designed with perfection, this wallet ensures easy and quick access to your stuff, whereas the vegan
leather make ensures high quality. Exuding a textured pattern, it is detailed with a spacious
compartment and multiple slots to accommodate cash and cards in a safe manner.2 main compartments, 9
card holders, 1 Coin Pocket and 1 Id card Holder.",Men’s,Men’s Wallets,"https://frenchcrown.in/cdn/shop/products/WB-25-02_1_360x.jpg?v=1656505858, https://frenchcrown.in/cdn/shop/products/WB-25-02_1_800x.jpg?v=1656505858, https://frenchcrown.in/cdn/shop/products/WB-25-02_2_800x.jpg?v=1641991132, https://frenchcrown.in/cdn/shop/products/WB-25-02_3_800x.jpg?v=1651660076, https://frenchcrown.in/cdn/shop/products/WB-25-02_5_800x.jpg?v=1651660076, https://frenchcrown.in/cdn/shop/products/WB-25-02_6_800x.jpg?v=1651660076, https://frenchcrown.in/cdn/shop/products/WB-25-02_7_800x.jpg?v=1651660076, https://frenchcrown.in/cdn/shop/products/WB-25-02_9_800x.jpg?v=1651660076, https://frenchcrown.in/cdn/shop/products/WB-25-02_10_800x.jpg?v=1651660076, https://frenchcrown.in/cdn/shop/products/WB-25-02_11_800x.jpg?v=1651660076, https://frenchcrown.in/cdn/shop/products/WB-25-02_12_800x.jpg?v=1651660076, https://frenchcrown.in/cdn/shop/products/WB-25-02_13_800x.jpg?v=1651660076, https://frenchcrown.in/cdn/shop/products/WB-25-02_14_800x.jpg?v=1651660076, https://frenchcrown.in/cdn/shop/products/WB-25-02_15_800x.jpg?v=1651660076, https://frenchcrown.in/cdn/shop/products/WB-25-02_16_800x.jpg?v=1651660076, https://frenchcrown.in/cdn/shop/products/WB-25-02_17_800x.jpg?v=1651660076",Select Size,28|30|32|34|36|38|40|42,"Dark Brown Vegan Leather Lightweight BeltSkilled craftsmanship and timeless style define this
DarkBrown Vegan Leather Belt.With clean, sober lines and a square Italian silvertone buckle, this
belt is an elegant way to complete any outfit. Handcrafted from Faux and stylishly shaped, this
vegan men’s belt will make your daytime accessorizing easier and your everyday life a lot
lighter! .It can be worn with Formal Pant for business or because of bigger handmade stitches you
can wear it casually with jeans also.2.Tan with Black Vegan Leather Handcrafted Wallet and Card
Holder SetKeep your monetary essentials in place and safe with this men\'s bi-fold wallet from
French crown. Designed with perfection, this wallet ensures easy and quick access to your stuff,
whereas the vegan leather make ensures high quality. Exuding a textured pattern, it is detailed with
a spacious compartment and multiple slots to accommodate cash and cards in a safe manner.2 main
compartments, 9 card holders, 1 Coin Pocket and 1 Id card Holder.",1656505858
Jade Black Vegan Leather Handcrafted Wallet,"1,247",Frenchcrown," Story Do you think wallets are meant to be in just Horizontal Construction? Break the myth with
this Vertical bifold wallet with Zipped Coin pocket. The multiple partitions with coin pocket make
it a great vegan leather good to have this season and feel special every day.2 main compartments, 6
card holders, 1 Zipped Coin Pocket.",Men’s,Men’s Wallets,"https://frenchcrown.in/cdn/shop/products/WT12_1_360x.jpg?v=1656505584, https://frenchcrown.in/cdn/shop/products/WT12_1_800x.jpg?v=1656505584, https://frenchcrown.in/cdn/shop/products/WT12_2_800x.jpg?v=1640323932, https://frenchcrown.in/cdn/shop/products/WT12_3_800x.jpg?v=1640323933, https://frenchcrown.in/cdn/shop/products/WT12_4_800x.jpg?v=1640323931, https://frenchcrown.in/cdn/shop/products/WT12_5_800x.jpg?v=1640323933, https://frenchcrown.in/cdn/shop/products/WT12_6_800x.jpg?v=1640323932, https://frenchcrown.in/cdn/shop/products/WT12_7_800x.jpg?v=1640323933, https://frenchcrown.in/cdn/shop/products/WT12_9_800x.jpg?v=1640323934, https://frenchcrown.in/cdn/shop/products/WT12_8_800x.jpg?v=1640323934",Select Size,,"Do you think wallets are meant to be in just Horizontal Construction? Break the myth with this
Vertical bifold wallet with Zipped Coin pocket. The multiple partitions with coin pocket make it a
great vegan leather good to have this season and feel special every day.2 main compartments, 6 card
holders, 1 Zipped Coin Pocket.",1656505584
Pack Of 1 Jade Black Wallet And 1 Jade Black Belt,"1,497",Frenchcrown," Story Jade Black Triangle Textured Vegan Leather Handcrafted Belt Premium vegan leather Belt with
Triangle Texture that adds elegance to your style statement. If you are committed to protecting
animal life and dignity, go for vegan leather only. Skilled craftsmanship and timeless style define
this Black Vegan Leather Belt. With clean and sober Pattern, this belt is an elegant way to complete
any outfit. Handcrafted from Vegan leather and stylishly shaped, this vegan men’s belt will make
your daytime accessorizing easier and your everyday life a lot lighter! It can be worn with Formal
Pant. 2. Jade Black Vegan Leather Handcrafted Wallet Do you think wallets are meant to be in just
Horizontal Construction? Break the myth with this Vertical bifold wallet with Zipped Coin pocket.
The multiple partitions with coin pocket make it a great vegan leather good to have this season and
feel special every day.2 main compartments, 6 card holders, 1 Zipped Coin Pocket.",Men’s,Men’s Wallets,"https://frenchcrown.in/cdn/shop/products/WB-12-13_1_360x.jpg?v=1656505849, https://frenchcrown.in/cdn/shop/products/WB-12-13_1_800x.jpg?v=1656505849, https://frenchcrown.in/cdn/shop/products/WB-12-13_2_800x.jpg?v=1641989948, https://frenchcrown.in/cdn/shop/products/WB-12-13_3_800x.jpg?v=1651660230, https://frenchcrown.in/cdn/shop/products/WB-12-13_4_800x.jpg?v=1651660230, https://frenchcrown.in/cdn/shop/products/WB-12-13_5_800x.jpg?v=1651660230, https://frenchcrown.in/cdn/shop/products/WB-12-13_6_800x.jpg?v=1651660230, https://frenchcrown.in/cdn/shop/products/WB-12-13_8_800x.jpg?v=1651660230, https://frenchcrown.in/cdn/shop/products/WB-12-13_10_800x.jpg?v=1651660230, https://frenchcrown.in/cdn/shop/products/WB-12-13_12_800x.jpg?v=1651660230, https://frenchcrown.in/cdn/shop/products/WB-12-13_13_800x.jpg?v=1651660230, https://frenchcrown.in/cdn/shop/products/WB-12-13_14_800x.jpg?v=1651660230, https://frenchcrown.in/cdn/shop/products/WB-12-13_15_800x.jpg?v=1651660230",Select Size,28|30|32|34|36|38|40|42,"Jade Black Triangle Textured Vegan Leather Handcrafted BeltPremium vegan leather Belt with Triangle
Texture that adds elegance to your style statement. If you are committed to protecting animal life
and dignity, go for vegan leather only. Skilled craftsmanship and timeless style define thisBlack
Vegan Leather Belt.With clean and sober Pattern, this belt is an elegant way to complete any outfit.
Handcrafted from Vegan leather and stylishly shaped, this vegan men’s belt will make your daytime
accessorizing easier and your everyday life a lot lighter! It can be worn with Formal Pant.2. Jade
Black Vegan Leather Handcrafted WalletDo you think wallets are meant to be in just Horizontal
Construction? Break the myth with this Vertical bifold wallet with Zipped Coin pocket. The multiple
partitions with coin pocket make it a great vegan leather good to have this season and feel special
every day.2 main compartments, 6 card holders, 1 Zipped Coin Pocket.",1656505849
Brown Vegan Leather Handcrafted Wallet,"1,347",Frenchcrown," Story Do you think wallets are meant to be in just Horizontal Construction? Break the myth with
this Vertical bifold wallet with Zipped Coin pocket. The multiple partitions with coin pocket make
it a great vegan leather good to have this season and feel special every day.2 main compartments, 6
card holders, 1 Zipped Coin Pocket.",Men’s,Men’s Wallets,"https://frenchcrown.in/cdn/shop/products/WT10_1_360x.jpg?v=1656505505, https://frenchcrown.in/cdn/shop/products/WT10_1_800x.jpg?v=1656505505, https://frenchcrown.in/cdn/shop/products/WT10_2_800x.jpg?v=1640320636, https://frenchcrown.in/cdn/shop/products/WT10_3_800x.jpg?v=1640320635, https://frenchcrown.in/cdn/shop/products/WT10_4_800x.jpg?v=1640320635, https://frenchcrown.in/cdn/shop/products/WT10_5_800x.jpg?v=1640320637, https://frenchcrown.in/cdn/shop/products/WT10_6_800x.jpg?v=1640320636, https://frenchcrown.in/cdn/shop/products/WT10_7_800x.jpg?v=1640320637, https://frenchcrown.in/cdn/shop/products/WT10_8_800x.jpg?v=1640320638, https://frenchcrown.in/cdn/shop/products/WT10_9_800x.jpg?v=1640320636",Select Size,,"Do you think wallets are meant to be in just Horizontal Construction? Break the myth with this
Vertical bifold wallet with Zipped Coin pocket. The multiple partitions with coin pocket make it a
great vegan leather good to have this season and feel special every day.2 main compartments, 6 card
holders, 1 Zipped Coin Pocket.",1656505505
Pack Of 1 Brown Wallet And 1 Tan Belt,"1,497",Frenchcrown," Story Tan Textured Vegan Leather Handcrafted BeltPremium vegan leather Belt with Subtle Texture
that adds elegance to your style statement. If you are committed to protecting animal life and
dignity, go for vegan leather only. Skilled craftsmanship and timeless style define this Tan Vegan
Leather Belt. With clean and sober Pattern, this belt is an elegant way to complete any outfit.
Handcrafted from Vegan leather and stylishly shaped, this vegan men’s belt will make your daytime
accessorizing easier and your everyday life a lot lighter! It can be worn with Formal Pant for
business or because of handmade stitches and texture you can wear it casually with jeans also. 2.
Brown Vegan Leather Handcrafted Wallet Do you think wallets are meant to be in just Horizontal
Construction? Break the myth with this Vertical bifold wallet with Zipped Coin pocket. The multiple
partitions with coin pocket make it a great vegan leather good to have this season and feel special
every day.2 main compartments, 6 card holders, 1 Zipped Coin Pocket.",Men’s,Men’s Wallets,"https://frenchcrown.in/cdn/shop/products/WB-10-17_1_360x.jpg?v=1656505844, https://frenchcrown.in/cdn/shop/products/WB-10-17_1_800x.jpg?v=1656505844, https://frenchcrown.in/cdn/shop/products/WB-10-17_2_800x.jpg?v=1641989975, https://frenchcrown.in/cdn/shop/products/WB-10-17_3_800x.jpg?v=1651660227, https://frenchcrown.in/cdn/shop/products/WB-10-17_4_800x.jpg?v=1651660227, https://frenchcrown.in/cdn/shop/products/WB-10-17_5_800x.jpg?v=1651660227, https://frenchcrown.in/cdn/shop/products/WB-10-17_8_800x.jpg?v=1651660227, https://frenchcrown.in/cdn/shop/products/WB-10-17_9_800x.jpg?v=1651660227, https://frenchcrown.in/cdn/shop/products/WB-10-17_10_800x.jpg?v=1651660227, https://frenchcrown.in/cdn/shop/products/WB-10-17_11_800x.jpg?v=1651660227, https://frenchcrown.in/cdn/shop/products/WB-10-17_12_800x.jpg?v=1651660227, https://frenchcrown.in/cdn/shop/products/WB-10-17_13_800x.jpg?v=1651660227, https://frenchcrown.in/cdn/shop/products/WB-10-17_14_800x.jpg?v=1651660227, https://frenchcrown.in/cdn/shop/products/WB-10-17_15_800x.jpg?v=1651660227",Select Size,28|30|32|34|36|38|40|42,"Tan Textured Vegan Leather Handcrafted BeltPremium vegan leather Belt with Subtle Texture that adds
elegance to your style statement. If you are committed to protecting animal life and dignity, go for
vegan leather only. Skilled craftsmanship and timeless style define thisTan Vegan Leather Belt.With
clean and sober Pattern, this belt is an elegant way to complete any outfit. Handcrafted from Vegan
leather and stylishly shaped, this vegan men’s belt will make your daytime accessorizing easier and
your everyday life a lot lighter! It can be worn with Formal Pant for business or because of
handmade stitches and texture you can wear it casually with jeans also.2.Brown Vegan Leather
Handcrafted WalletDo you think wallets are meant to be in just Horizontal Construction? Break the
myth with this Vertical bifold wallet with Zipped Coin pocket. The multiple partitions with coin
pocket make it a great vegan leather good to have this season and feel special every day.2 main
compartments, 6 card holders, 1 Zipped Coin Pocket.",1656505844
Tan with Brown Vegan Leather Handcrafted Wallet and Card Holder Set,"1,547",Frenchcrown," Story Keep your monetary essentials in place and safe with this men\'s bi-fold wallet from French
crown. Designed with perfection, this wallet ensures easy and quick access to your stuff, whereas
the vegan leather make ensures high quality. Exuding a textured pattern, it is detailed with a
spacious compartment and multiple slots to accommodate cash and cards in a safe manner.2 main
compartments, 9 card holders, 1 Coin Pocket and 1 Id card Holder.",Men’s,Men’s Wallets,"https://frenchcrown.in/cdn/shop/products/WT26_1_360x.jpg?v=1656505682, https://frenchcrown.in/cdn/shop/products/WT26_1_800x.jpg?v=1656505682, https://frenchcrown.in/cdn/shop/products/WT26_2_800x.jpg?v=1640324599, https://frenchcrown.in/cdn/shop/products/WT26_3_800x.jpg?v=1640324599, https://frenchcrown.in/cdn/shop/products/WT26_4_800x.jpg?v=1640324597, https://frenchcrown.in/cdn/shop/products/WT26_5_800x.jpg?v=1640324599, https://frenchcrown.in/cdn/shop/products/WT26_6_800x.jpg?v=1640324598, https://frenchcrown.in/cdn/shop/products/WT26_7_800x.jpg?v=1640324598, https://frenchcrown.in/cdn/shop/products/WT26_8_800x.jpg?v=1640324597, https://frenchcrown.in/cdn/shop/products/WT26_9_800x.jpg?v=1640324598, https://frenchcrown.in/cdn/shop/products/WT26_10_800x.jpg?v=1640324598, https://frenchcrown.in/cdn/shop/products/WT26_11_800x.jpg?v=1640324597",Select Size,,"Keep your monetary essentials in place and safe with this men\'s bi-fold wallet from French crown.
Designed with perfection, this wallet ensures easy and quick access to your stuff, whereas the vegan
leather make ensures high quality. Exuding a textured pattern, it is detailed with a spacious
compartment and multiple slots to accommodate cash and cards in a safe manner.2 main compartments, 9
card holders, 1 Coin Pocket and 1 Id card Holder.",1656505682
Pack Of 1 Tan With Brown Wallet And 1 Tan Belt,"1,297",Frenchcrown," Story Tan Vegan Leather Handcrafted Belt Skilled craftsmanship and timeless style define this Brown
Vegan Leather Belt. With clean, sober lines and a square Italian silvertone buckle, this belt is an
elegant way to complete any outfit. Handcrafted from Faux and stylishly shaped, this vegan men’s
belt will make your daytime accessorizing easier and your everyday life a lot lighter! .It can be
worn with Formal Pant for business or because of bigger handmade stitches you can wear it casually
with jeans also. 2. Tan with Brown Vegan Leather Handcrafted Wallet and Card Holder Set Keep your
monetary essentials in place and safe with this men\'s bi-fold wallet from French crown. Designed
with perfection, this wallet ensures easy and quick access to your stuff, whereas the vegan leather
make ensures high quality. Exuding a textured pattern, it is detailed with a spacious compartment
and multiple slots to accommodate cash and cards in a safe manner.2 main compartments, 9 card
holders, 1 Coin Pocket and 1 Id card Holder.",Men’s,Men’s Wallets,"https://frenchcrown.in/cdn/shop/products/WB-26-01_1_360x.jpg?v=1656505859, https://frenchcrown.in/cdn/shop/products/WB-26-01_1_800x.jpg?v=1656505859, https://frenchcrown.in/cdn/shop/products/WB-26-01_3_800x.jpg?v=1641991153, https://frenchcrown.in/cdn/shop/products/WB-26-01_4_800x.jpg?v=1651660072, https://frenchcrown.in/cdn/shop/products/WB-26-01_5_800x.jpg?v=1651660072, https://frenchcrown.in/cdn/shop/products/WB-26-01_6_800x.jpg?v=1651660072, https://frenchcrown.in/cdn/shop/products/WB-26-01_7_800x.jpg?v=1651660072, https://frenchcrown.in/cdn/shop/products/WB-26-01_8_800x.jpg?v=1651660072, https://frenchcrown.in/cdn/shop/products/WB-26-01_11_800x.jpg?v=1651660072, https://frenchcrown.in/cdn/shop/products/WB-26-01_12_800x.jpg?v=1651660072, https://frenchcrown.in/cdn/shop/products/WB-26-01_14_800x.jpg?v=1651660072, https://frenchcrown.in/cdn/shop/products/WB-26-01_16_800x.jpg?v=1651660072, https://frenchcrown.in/cdn/shop/products/WB-26-01_17_800x.jpg?v=1651660072",Select Size,28|30|32|34|36|38|40|42,"Tan Vegan Leather Handcrafted BeltSkilled craftsmanship and timeless style define thisBrown Vegan
Leather Belt.With clean, sober lines and a square Italian silvertone buckle, this belt is an elegant
way to complete any outfit. Handcrafted from Faux and stylishly shaped, this vegan men’s belt will
make your daytime accessorizing easier and your everyday life a lot lighter! .It can be worn with
Formal Pant for business or because of bigger handmade stitches you can wear it casually with jeans
also.2.Tan with Brown Vegan Leather Handcrafted Wallet and Card Holder SetKeep your monetary
essentials in place and safe with this men\'s bi-fold wallet from French crown. Designed with
perfection, this wallet ensures easy and quick access to your stuff, whereas the vegan leather make
ensures high quality. Exuding a textured pattern, it is detailed with a spacious compartment and
multiple slots to accommodate cash and cards in a safe manner.2 main compartments, 9 card holders, 1
Coin Pocket and 1 Id card Holder.",1656505859
