Title,Category,Subcategory,Price,Description,Description_All,Main_Image_URL,All_Image_URLs,Product_ID
Frankincense Resin in Tin Jar,Home Fragrance, Resin Grain,275.00,"Frankincense Resin in Tin Jar
Frankincense has been used for centuries. Frankincense when burned releases powerful vibrations and drive out negativity.  Egyptians burned this resin to honor Ra. You can burn Frankincense to induce visions and aid in meditation and to attract luck, spiritual growth and protection. Frankincense and the oil produced from it has been known for its healing powers. These superb aromatic resins and bundles are produced naturally by trees and plants, and may be burned and compounded for incense, ritual, medicine, or perfumery.  No incense stick can match the deep, mysterious fragrances.","Content
60 g.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/r/e/res-fr_1_1.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/r/e/res-fr_1_1.jpg,1692337865225
Myrrh Resin in Tin Jar,Home Fragrance, Resin Grain,375.00,"Myrrh Resin in Tin Jar
Myrrh is an aromatic blessing from the dry, African earth. Myrrh itself is sweet-smelling, antiseptic, anti-inflammatory and relaxing, and is often used to cleanse spaces of negative energies. Myrrh is said to be one of the key ingredients in the mythical Egyptian perfume Kyphi. You can burn myrrh to induce visions and aid in meditation and to attract luck, spiritual growth and protection.","Content
60 g.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/r/e/res-my_1.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/r/e/res-my_1.jpg,1692337870003
Benzoin Resin in Tin Jar,Home Fragrance, Resin Grain,275.00,"Benzoin Resin in Tin Jar
Benzoin Resin is a natural gum resin from species of the Styrax  tree, native to Southeast Asia. The resin is collected from cuts in the bark of the tree. You can burn benzoin to induce visions and aid in meditation and to attract luck, spiritual growth and protection.","Content
75 g.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/r/e/res-bn_1.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/r/e/res-bn_1.jpg,1692337875452
Gum Copal Resin in Tin Jar,Home Fragrance, Resin Grain,275.00,"Gum Copal Resin in Tin Jar
Gum Copal, also known as manila copal, is a resin produced by the sap of the forest tree. You can burn Gum Copal to induce visions and aid in meditation and to attract luck, spiritual growth and protection.
Gum Copal and the oil produced from it has been known for its healing powers.
These superb aromatic resins and bundles are produced naturally by trees and plants, and may be burned and compounded for incense, ritual, medicine, or perfumery. No incense stick can match the deep, mysterious fragrances.","Content
60 g.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/r/e/res-gc_2.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/r/e/res-gc_2.jpg,1692337880952
Energizing Camphor Resin in Tin Jar,Home Fragrance, Resin Grain,325.00,"Energizing Camphor Resin in Tin Jar
Camphor (Kapur in India) is obtained from the leaves of the camphor tree. An oil is extracted from the leaves of the Camphor tree. The oil is distilled to form small crystal ,called Camphor.
Camphor is of medical importance and used in Ayurveda for balancing the Kapha dosha.
Camphor is highly effective for meditation, enlightenment, bringing deep tranquility and relaxation.","Content
30 g.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/r/e/res-cam_1.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/r/e/res-cam_1.jpg,1692337886491
Royal Oud Resin in Tin Jar,Home Fragrance, Resin Grain,275.00,"Royal Oud Resin in Tin Jar
Agarwood, also known as Royal Oud, is a rare. Royal Oud is known for its high cleansing abilities. This Resin comes in little wood chips. Oud is highly effective for meditation, enlightenment, bringing deep tranquility and relaxation.
Agarwood is often associated with its ability to bring about calmness in the nervous system and its ability to cultivate focus and alertness when used.","Content
25 g.
",https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/r/e/res-oo.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/r/e/res-oo.jpg,1692337892068
Copper Spoon & Tong Set for Resins,Home Fragrance, Resin Grain,425.00,,,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/c/s/cspntong.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/c/s/cspntong.jpg,1692337898653
"Brass Charcoal Burner 2.5""",Home Fragrance, Resin Grain,595.00,,,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/b/ibb751.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/b/ibb751.jpg,1692337904900
Brass Star Moon Charcoal Burner with Wooden Handle,Home Fragrance, Resin Grain,"1,250.00",,,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/b/ibbswo31_1.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/i/b/ibbswo31_1.jpg,1692337910424
Laser Cut Antique Incense Tower,Home Fragrance, Resin Grain,550.00,,,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/z/z/zzibw1002_1.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/z/z/zzibw1002_1.jpg,1692337915819
"Hexagon Laser-Cut Metal Charcoal Burner with Wooden Base 8.75""",Home Fragrance, Resin Grain,"1,350.00",,,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/z/z/zzibw1003_1.jpg,https://www.songofindia.co.in/pub/media/catalog/product/cache/9de28376cf0a90a24fc8d32559def8dd/z/z/zzibw1003_1.jpg,1692337922408
