title,price,story_description,category,sub_category,image_urls,size_title,size,description,id
Bronco Gray and White Plaid Double Breasted Blazer,"5,297"," Story Elevate your fashion game with our Bronco Gray and White Plaid Double-Breasted blazer. This
captivating blazer exudes confidence, boasting a double-breasted design with a sleek single-button
fastening. The plaid checkered pattern adds a touch of sophistication, making it a versatile choice
for both formal occasions and stylish gatherings. Make a statement with this impeccable ensemble.",Men’s,Men’s New Blazers / Trench Coats,"https://frenchcrown.in/cdn/shop/files/BL2708-DB2_1_360x.jpg?v=1687948817, https://frenchcrown.in/cdn/shop/files/BL2708-DB2_1_800x.jpg?v=1687948817, https://frenchcrown.in/cdn/shop/files/BL2708-DB2_2_800x.jpg?v=1687948817, https://frenchcrown.in/cdn/shop/files/BL2708-DB2_4_800x.jpg?v=1687948814, https://frenchcrown.in/cdn/shop/files/BL2708-DB2_5_800x.jpg?v=1687948818, https://frenchcrown.in/cdn/shop/files/BL2708-DB2_6_800x.jpg?v=1687948815, https://frenchcrown.in/cdn/shop/files/BL2708-DB2_7_800x.jpg?v=1687948816, https://frenchcrown.in/cdn/shop/files/BL2708-DB2_8_800x.jpg?v=1687948819, https://frenchcrown.in/cdn/shop/files/BL2708-DB2_9_800x.jpg?v=1687948816, https://frenchcrown.in/cdn/shop/files/BL2708-DB2_10_800x.jpg?v=1687948815, https://frenchcrown.in/cdn/shop/files/BL2708-DB2_11_800x.jpg?v=1687948819, https://frenchcrown.in/cdn/shop/files/BL2708-DB2_12_800x.jpg?v=1687948814, https://frenchcrown.in/cdn/shop/files/BL2708-DB2_13_800x.jpg?v=1687948814",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Elevate your fashion game with our Bronco Gray and White Plaid Double-Breasted blazer. This
captivating blazer exudes confidence, boasting a double-breasted design with a sleek single-button
fastening. The plaid checkered pattern adds a touch of sophistication, making it a versatile choice
for both formal occasions and stylish gatherings. Make a statement with this impeccable ensemble.",1687948817
Sisal Light Gray Stretchable Bandhgala Premium Cotton Blazer,"5,997"," Story Step into elegance and style with our Sisal light gray Bandhgala Premium Cotton Stretchable
Blazer. This sophisticated ensemble combines traditional Indian aesthetics with contemporary
fashion. Crafted from premium cotton, it offers a comfortable and breathable fit. The bandhgala,
with its intricately designed mandarin collar and metallic button detailing, adds a touch of regal
charm. Make a statement at any occasion with this truly unique and fashionable piece.",Men’s,Men’s New Blazers / Trench Coats,"https://frenchcrown.in/cdn/shop/files/BL2679-BG_1_360x.jpg?v=1687499448, https://frenchcrown.in/cdn/shop/files/BL2679-BG_1_800x.jpg?v=1687499448, https://frenchcrown.in/cdn/shop/files/BL2679-BG_2_800x.jpg?v=1687499448, https://frenchcrown.in/cdn/shop/files/BL2679-BG_4_ea089b7e-a5d6-46cf-9baa-7fa2a2a1ff55_800x.jpg?v=1687499448, https://frenchcrown.in/cdn/shop/files/BL2679-BG_5_11cd2071-e911-478d-957b-2fd99cfb15a0_800x.jpg?v=1687499448, https://frenchcrown.in/cdn/shop/files/BL2679-BG_6_959dd3cc-59ba-4e54-b921-14f756ad1294_800x.jpg?v=1687499448, https://frenchcrown.in/cdn/shop/files/BL2679-BG_7_ee80998b-9d38-4164-a305-98884d31cdc5_800x.jpg?v=1687499448, https://frenchcrown.in/cdn/shop/products/BL2679-BG_4_800x.jpg?v=1687499448, https://frenchcrown.in/cdn/shop/products/BL2679-BG_5_800x.jpg?v=1687499448, https://frenchcrown.in/cdn/shop/products/BL2679-BG_6_800x.jpg?v=1687499448, https://frenchcrown.in/cdn/shop/products/BL2679-BG_7_800x.jpg?v=1687499448, https://frenchcrown.in/cdn/shop/files/BL2679-BG_8_800x.jpg?v=1687499363",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Step into elegance and style with our Sisal light gray Bandhgala Premium Cotton Stretchable Blazer.
This sophisticated ensemble combines traditional Indian aesthetics with contemporary fashion.
Crafted from premium cotton, it offers a comfortable and breathable fit. The bandhgala, with its
intricately designed mandarin collar and metallic button detailing, adds a touch of regal charm.
Make a statement at any occasion with this truly unique and fashionable piece.",1687499448
Tuna Gray Plaid Single-Breasted Blazer,"5,997"," Story Channeling suave sophistication with a contemporary twist, this Tuna Gray Plaid Single
Breasted blazer is the epitome of modern style. Crafted with meticulous detail and a touch of
swagger, it effortlessly exudes confidence and charm. Elevate your fashion game and make a statement
that speaks volumes.",Men’s,Men’s New Blazers / Trench Coats,"https://frenchcrown.in/cdn/shop/files/BL2692-SB_1_360x.jpg?v=1687947929, https://frenchcrown.in/cdn/shop/files/BL2692-SB_1_800x.jpg?v=1687947929, https://frenchcrown.in/cdn/shop/files/BL2692-SB_2_800x.jpg?v=1687947927, https://frenchcrown.in/cdn/shop/files/BL2692-SB_3_7cd5b483-3e82-4c6a-a81d-d57ef895a375_800x.jpg?v=1687947925, https://frenchcrown.in/cdn/shop/files/BL2692-SB_4_800x.jpg?v=1687947926, https://frenchcrown.in/cdn/shop/files/BL2692-SB_5_800x.jpg?v=1687947927, https://frenchcrown.in/cdn/shop/files/BL2692-SB_6_800x.jpg?v=1687947928, https://frenchcrown.in/cdn/shop/files/BL2692-SB_7_800x.jpg?v=1687947925, https://frenchcrown.in/cdn/shop/files/BL2692-SB_8_800x.jpg?v=1687947931, https://frenchcrown.in/cdn/shop/files/BL2692-SB_9_800x.jpg?v=1687947930, https://frenchcrown.in/cdn/shop/files/BL2692-SB_10_800x.jpg?v=1687947928, https://frenchcrown.in/cdn/shop/files/BL2692-SB_11_800x.jpg?v=1687947926, https://frenchcrown.in/cdn/shop/files/BL2692-SB_12_800x.jpg?v=1687947928, https://frenchcrown.in/cdn/shop/files/BL2692-SB_13_800x.jpg?v=1687947931, https://frenchcrown.in/cdn/shop/files/BL2692-SB_14_800x.jpg?v=1687947929, https://frenchcrown.in/cdn/shop/files/BL2692-SB_15_800x.jpg?v=1687947930",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Channeling suave sophistication with a contemporary twist, this Tuna Gray Plaid Single Breasted
blazer is the epitome of modern style. Crafted with meticulous detail and a touch of swagger, it
effortlessly exudes confidence and charm. Elevate your fashion game and make a statement that speaks
volumes.",1687947929
Sisal Light Gray Stretchable Premium Cotton Blazer,"5,997"," Story The Sisal light gray Stretchable Premium Cotton Blazer is an absolute fashion essential
that's sure to capture attention. Crafted with the modern man in mind, this Blazer combines elegance
and style effortlessly. The sleek, regular fit, and single-breasted silhouette are guaranteed to
take your everyday shirt and Oxford ensemble to new heights. Embrace the trendiness of this
collection and let your fashion power shine through.",Men’s,Men’s New Blazers / Trench Coats,"https://frenchcrown.in/cdn/shop/files/BL2677-SB_1_360x.jpg?v=1687499396, https://frenchcrown.in/cdn/shop/files/BL2677-SB_1_800x.jpg?v=1687499396, https://frenchcrown.in/cdn/shop/files/BL2677-SB_2_800x.jpg?v=1687499396, https://frenchcrown.in/cdn/shop/files/BL2677-SB_4_d96b75a4-a814-4cb5-94a3-cd2d78fc8405_800x.jpg?v=1687499396, https://frenchcrown.in/cdn/shop/files/BL2677-SB_5_ab0c4758-363d-4e11-a107-b6faf74cdd8d_800x.jpg?v=1687499396, https://frenchcrown.in/cdn/shop/files/BL2677-SB_6_8eb8d474-bec4-41a9-ad02-325f72e67169_800x.jpg?v=1687499396, https://frenchcrown.in/cdn/shop/files/BL2677-SB_7_fc6ba73c-e425-4b3f-a8a8-7e4c15ab15bd_800x.jpg?v=1687499396, https://frenchcrown.in/cdn/shop/files/BL2677-SB_8_800x.jpg?v=1687499396, https://frenchcrown.in/cdn/shop/files/BL2677-SB_9_800x.jpg?v=1687499396, https://frenchcrown.in/cdn/shop/files/BL2677-SB_10_800x.jpg?v=1687499396, https://frenchcrown.in/cdn/shop/products/BL2677-SB_4_800x.jpg?v=1687499396, https://frenchcrown.in/cdn/shop/products/BL2677-SB_5_800x.jpg?v=1687499396, https://frenchcrown.in/cdn/shop/products/BL2677-SB_6_800x.jpg?v=1687499396, https://frenchcrown.in/cdn/shop/files/BL2677-SB_11_800x.jpg?v=1687499362",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"The Sisal light gray  Stretchable Premium Cotton Blazer is an absolute fashion essential that's sure
to capture attention. Crafted with the modern man in mind, this Blazer combines elegance and style
effortlessly. The sleek, regular fit, and single-breasted silhouette are guaranteed to take your
everyday shirt and Oxford ensemble to new heights. Embrace the trendiness of this collection and let
your fashion power shine through.",1687499396
Monsoon Steel Gray Plaid Double-Breasted Blazer,"4,897"," Story Elevate your fashion game with our Monsoon steel Gray Plaid Double-Breasted Blazer. This
captivating Blazer exudes confidence, boasting a double-breasted design with a sleek single-button
fastening. The subtle steel-gray plaid pattern adds a touch of sophistication, making it a versatile
choice for both formal occasions and stylish gatherings. Make a statement with this impeccable
ensemble.",Men’s,Men’s New Blazers / Trench Coats,"https://frenchcrown.in/cdn/shop/files/BL2693-DB2_1_360x.jpg?v=1687948496, https://frenchcrown.in/cdn/shop/files/BL2693-DB2_1_800x.jpg?v=1687948496, https://frenchcrown.in/cdn/shop/files/BL2693-DB2_2_800x.jpg?v=1687948496, https://frenchcrown.in/cdn/shop/files/BL2693-DB2_4_800x.jpg?v=1687948494, https://frenchcrown.in/cdn/shop/files/BL2693-DB2_5_800x.jpg?v=1687948494, https://frenchcrown.in/cdn/shop/files/BL2693-DB2_6_800x.jpg?v=1687948495, https://frenchcrown.in/cdn/shop/files/BL2693-DB2_7_800x.jpg?v=1687948495, https://frenchcrown.in/cdn/shop/files/BL2693-DB2_8_800x.jpg?v=1687948493, https://frenchcrown.in/cdn/shop/files/BL2693-DB2_9_800x.jpg?v=1687948493, https://frenchcrown.in/cdn/shop/files/BL2693-DB2_10_800x.jpg?v=1687948497, https://frenchcrown.in/cdn/shop/files/BL2693-DB2_11_800x.jpg?v=1687948495, https://frenchcrown.in/cdn/shop/files/BL2693-DB2_12_800x.jpg?v=1687948492, https://frenchcrown.in/cdn/shop/files/BL2693-DB2_13_800x.jpg?v=1687948492, https://frenchcrown.in/cdn/shop/files/BL2693-DB2_14_800x.jpg?v=1687948493, https://frenchcrown.in/cdn/shop/files/BL2693-DB2_15_800x.jpg?v=1687948491",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Elevate your fashion game with our Monsoon steel Gray Plaid Double-Breasted Blazer. This captivating
Blazer exudes confidence, boasting a double-breasted design with a sleek single-button fastening.
The subtle steel-gray plaid pattern adds a touch of sophistication, making it a versatile choice for
both formal occasions and stylish gatherings. Make a statement with this impeccable ensemble.",1687948496
Sisal Light Gray Stretchable Double Breasted Premium Cotton Blazer,"5,997"," Story Unleash your sartorial prowess with our Sisal Light Gray Stretchable Double Breasted Premium
Cotton Blazer. Meticulously crafted from exquisite cotton fabric, this Blazer effortlessly blends
refined elegance with contemporary charm. The distinctive shade of light gray exudes an aura of
confidence and individuality. Elevate your style game and set your own fashion trends with this
extraordinary masterpiece.",Men’s,Men’s New Blazers / Trench Coats,"https://frenchcrown.in/cdn/shop/files/BL2678-DB_1_360x.jpg?v=1687499427, https://frenchcrown.in/cdn/shop/files/BL2678-DB_1_800x.jpg?v=1687499427, https://frenchcrown.in/cdn/shop/files/BL2678-DB_2_800x.jpg?v=1687499427, https://frenchcrown.in/cdn/shop/files/BL2678-DB_4_8e1790c4-69df-478e-b1d9-1e4dd4ad790d_800x.jpg?v=1687499427, https://frenchcrown.in/cdn/shop/files/BL2678-DB_5_1ea53808-84b2-4f40-96b1-166c7f2f8557_800x.jpg?v=1687499427, https://frenchcrown.in/cdn/shop/files/BL2678-DB_6_d62d1f7e-fe07-44c9-9ad7-579111f16376_800x.jpg?v=1687499427, https://frenchcrown.in/cdn/shop/files/BL2678-DB_7_f7f7ce99-90a5-4a9d-80d7-26305fa7a924_800x.jpg?v=1687499427, https://frenchcrown.in/cdn/shop/files/BL2678-DB_8_800x.jpg?v=1687499427, https://frenchcrown.in/cdn/shop/files/BL2678-DB_9_800x.jpg?v=1687499427, https://frenchcrown.in/cdn/shop/files/BL2678-DB_10_800x.jpg?v=1687499427, https://frenchcrown.in/cdn/shop/files/BL2678-DB_11_800x.jpg?v=1687499427, https://frenchcrown.in/cdn/shop/files/BL2678-DB_12_800x.jpg?v=1687499427, https://frenchcrown.in/cdn/shop/files/BL2678-DB_13_800x.jpg?v=1687499427, https://frenchcrown.in/cdn/shop/files/BL2678-DB_14_800x.jpg?v=1687499427, https://frenchcrown.in/cdn/shop/files/BL2678-DB_15_800x.jpg?v=1687499427, https://frenchcrown.in/cdn/shop/products/BL2678-DB_4_800x.jpg?v=1687499427, https://frenchcrown.in/cdn/shop/products/BL2678-DB_5_800x.jpg?v=1687499427, https://frenchcrown.in/cdn/shop/products/BL2678-DB_6_800x.jpg?v=1687499427, https://frenchcrown.in/cdn/shop/files/BL2678-DB_16_800x.jpg?v=1687499364",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Unleash your sartorial prowess with our Sisal Light Gray Stretchable Double Breasted Premium Cotton
Blazer. Meticulously crafted from exquisite cotton fabric, this Blazer effortlessly blends refined
elegance with contemporary charm. The distinctive shade of light gray exudes an aura of confidence
and individuality. Elevate your style game and set your own fashion trends with this extraordinary
masterpiece.",1687499427
Pale Spring Cream Double-Breasted Sports Blazer,"5,297"," Story Embrace elegance this season with our Pale Spring Cream Double-Breasted Sports blazer. This
solid blazer exudes sophistication and its impeccable design boasts a double-breasted closure and a
sleek peak lapel, elevating your style to new heights. The soft cream hue adds a touch of
refinement, perfect for formal occasions and stylish soirées. Elevate your sartorial game with this
timeless ensemble.",Men’s,Men’s New Blazers / Trench Coats,"https://frenchcrown.in/cdn/shop/files/BL2694-DB-PP_1_360x.jpg?v=1687947943, https://frenchcrown.in/cdn/shop/files/BL2694-DB-PP_1_800x.jpg?v=1687947943, https://frenchcrown.in/cdn/shop/files/BL2694-DB-PP_2_800x.jpg?v=1687947948, https://frenchcrown.in/cdn/shop/files/BL2694-DB-PP_4_800x.jpg?v=1687947948, https://frenchcrown.in/cdn/shop/files/BL2694-DB-PP_5_800x.jpg?v=1687947945, https://frenchcrown.in/cdn/shop/files/BL2694-DB-PP_6_800x.jpg?v=1687947949, https://frenchcrown.in/cdn/shop/files/BL2694-DB-PP_7_800x.jpg?v=1687947944, https://frenchcrown.in/cdn/shop/files/BL2694-DB-PP_8_800x.jpg?v=1687947943, https://frenchcrown.in/cdn/shop/files/BL2694-DB-PP_9_800x.jpg?v=1687947944, https://frenchcrown.in/cdn/shop/files/BL2694-DB-PP_10_800x.jpg?v=1687947946, https://frenchcrown.in/cdn/shop/files/BL2694-DB-PP_11_800x.jpg?v=1687947946, https://frenchcrown.in/cdn/shop/files/BL2694-DB-PP_12_800x.jpg?v=1687947945, https://frenchcrown.in/cdn/shop/files/BL2694-DB-PP_13_800x.jpg?v=1687947949, https://frenchcrown.in/cdn/shop/files/BL2694-DB-PP_14_800x.jpg?v=1687947945, https://frenchcrown.in/cdn/shop/files/BL2694-DB-PP_15_800x.jpg?v=1687947947",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Embrace elegance this season with our Pale Spring Cream Double-Breasted Sports blazer. This solid
blazer exudes sophistication and its impeccable design boasts a double-breasted closure and a sleek
peak lapel, elevating your style to new heights. The soft cream hue adds a touch of refinement,
perfect for formal occasions and stylish soirées. Elevate your sartorial game with this timeless
ensemble.",1687947943
Sisal Light Gray Cross Placket Bandhgala Premium Cotton Stretchable Blazer,"5,997"," Story Make a statement with the Sisal light Gray Cross Buttoned Bandhgala Premium Cotton
Stretchable Blazer. Its cross buttoned design sets you apart from the crowd, adding a touch of
uniqueness to your ensemble. Made from premium cotton, The cross buttoned design creates a visually
striking look, making it a perfect choice for those who want to make a fashionable statement. With
its exquisite craftsmanship and luxurious shade of gray, this Blazer is an absolute must-have for
any stylish gentleman aiming to leave a lasting impression at any upcoming wedding.",Men’s,Men’s New Blazers / Trench Coats,"https://frenchcrown.in/cdn/shop/files/BL2680-CBG_1_360x.jpg?v=1687499467, https://frenchcrown.in/cdn/shop/files/BL2680-CBG_1_800x.jpg?v=1687499467, https://frenchcrown.in/cdn/shop/files/BL2680-CBG_2_800x.jpg?v=1687499467, https://frenchcrown.in/cdn/shop/files/BL2680-CBG_4_187ab518-598c-43ab-a17c-f776b3a320cb_800x.jpg?v=1687499467, https://frenchcrown.in/cdn/shop/files/BL2680-CBG_5_6954e03f-44c1-4ece-8f09-f55c7bd77f19_800x.jpg?v=1687499467, https://frenchcrown.in/cdn/shop/files/BL2680-CBG_6_f7f98c51-59f8-4758-9a2e-ef1f82d2217b_800x.jpg?v=1687499467, https://frenchcrown.in/cdn/shop/files/BL2680-CBG_7_b70016a3-1b42-4398-9404-5049431b84bd_800x.jpg?v=1687499467, https://frenchcrown.in/cdn/shop/files/BL2680-CBG_8_800x.jpg?v=1687499467, https://frenchcrown.in/cdn/shop/files/BL2680-CBG_9_800x.jpg?v=1687499467, https://frenchcrown.in/cdn/shop/files/BL2680-CBG_10_800x.jpg?v=1687499467, https://frenchcrown.in/cdn/shop/files/BL2680-CBG_11_800x.jpg?v=1687499467, https://frenchcrown.in/cdn/shop/products/BL2680-CBG_4_800x.jpg?v=1687499467, https://frenchcrown.in/cdn/shop/products/BL2680-CBG_5_800x.jpg?v=1687499467, https://frenchcrown.in/cdn/shop/products/BL2680-CBG_6_800x.jpg?v=1687499467, https://frenchcrown.in/cdn/shop/products/BL2680-CBG_7_800x.jpg?v=1687499467, https://frenchcrown.in/cdn/shop/files/BL2680-CBG_12_800x.jpg?v=1687499362",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Make a statement with the Sisal light Gray Cross Buttoned Bandhgala Premium Cotton Stretchable
Blazer. Its cross buttoned design sets you apart from the crowd, adding a touch of uniqueness to
your ensemble. Made from premium cotton, The cross buttoned design creates a visually striking look,
making it a perfect choice for those who want to make a fashionable statement. With its exquisite
craftsmanship and luxurious shade of gray, this Blazer is an absolute must-have for any stylish
gentleman aiming to leave a lasting impression at any upcoming wedding.",1687499467
Nutmeg Red Tweed Single Breasted Blazer,"7,197"," Story Add a touch of warmth and style to your wardrobe with our Nutmeg Red Tweed Single-Breasted
blazer. This exquisite blazer blends classic tailoring with a modern twist, featuring a
single-breasted design and a rich red tweed fabric blended with top-notch durable fabric. Perfect
for making a statement at special events or adding flair to your everyday attire.",Men’s,Men’s New Blazers / Trench Coats,"https://frenchcrown.in/cdn/shop/files/BL2695-SB-GB_1_360x.jpg?v=1687947943, https://frenchcrown.in/cdn/shop/files/BL2695-SB-GB_1_800x.jpg?v=1687947943, https://frenchcrown.in/cdn/shop/files/BL2695-SB-GB_2_800x.jpg?v=1687947945, https://frenchcrown.in/cdn/shop/files/BL2695-SB-GB_4_800x.jpg?v=1687948519, https://frenchcrown.in/cdn/shop/files/BL2695-SB-GB_5_800x.jpg?v=1687948519, https://frenchcrown.in/cdn/shop/files/BL2695-SB-GB_6_800x.jpg?v=1687948519, https://frenchcrown.in/cdn/shop/files/BL2695-SB-GB_7_800x.jpg?v=1687948519, https://frenchcrown.in/cdn/shop/files/BL2695-SB-GB_8_800x.jpg?v=1687948519, https://frenchcrown.in/cdn/shop/files/BL2695-SB-GB_9_800x.jpg?v=1687948518, https://frenchcrown.in/cdn/shop/files/BL2695-SB-GB_10_800x.jpg?v=1687948518, https://frenchcrown.in/cdn/shop/files/BL2695-SB-GB_11_800x.jpg?v=1687948518, https://frenchcrown.in/cdn/shop/files/BL2695-SB-GB_12_800x.jpg?v=1687948518, https://frenchcrown.in/cdn/shop/files/BL2695-SB-GB_13_800x.jpg?v=1687948518",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Add a touch of warmth and style to your wardrobe with our Nutmeg Red Tweed Single-Breasted blazer.
This exquisite blazer blends classic tailoring with a modern twist, featuring a single-breasted
design and a rich red tweed fabric blended with top-notch durable fabric. Perfect for making a
statement at special events or adding flair to your everyday attire.",1687947943
Jade Black Solid Stretchable Premium Cotton Double Breasted Blazer,"5,997"," Story All men love Black! Dapper sophistication meets timeless elegance with our Jade Black Solid
Premium Cotton Double Breasted blazer. Crafted from pure cotton fabric, this blazer exudes
confidence and style. Make a lasting impression at any formal occasion with its double-breasted
design and impeccable tailoring. Elevate your wardrobe with this sartorial masterpiece.",Men’s,Men’s New Blazers / Trench Coats,"https://frenchcrown.in/cdn/shop/files/BL2623-DB_1_360x.jpg?v=1687494644, https://frenchcrown.in/cdn/shop/files/BL2623-DB_1_800x.jpg?v=1687494644, https://frenchcrown.in/cdn/shop/files/BL2623-DB_2_800x.jpg?v=1687494644, https://frenchcrown.in/cdn/shop/files/BL2623-DB_4_c2c0b7d5-d1eb-4e36-967a-cc87d87867d4_800x.jpg?v=1687494644, https://frenchcrown.in/cdn/shop/files/BL2623-DB_5_87d6c1b8-e41a-449d-82b8-f8734d0c2a0c_800x.jpg?v=1687494644, https://frenchcrown.in/cdn/shop/files/BL2623-DB_6_f21d09b7-ea4e-44f5-a4d5-ea17e5439c3d_800x.jpg?v=1687494644, https://frenchcrown.in/cdn/shop/files/BL2623-DB_7_800x.jpg?v=1687494644, https://frenchcrown.in/cdn/shop/files/BL2623-DB_8_800x.jpg?v=1687494644, https://frenchcrown.in/cdn/shop/files/BL2623-DB_9_800x.jpg?v=1687494644, https://frenchcrown.in/cdn/shop/files/BL2623-DB_10_800x.jpg?v=1687494644, https://frenchcrown.in/cdn/shop/files/BL2623-DB_11_800x.jpg?v=1687494644, https://frenchcrown.in/cdn/shop/files/BL2623-DB_12_800x.jpg?v=1687494644, https://frenchcrown.in/cdn/shop/files/BL2623-DB_14_800x.jpg?v=1687494644, https://frenchcrown.in/cdn/shop/files/BL2623-DB_15_800x.jpg?v=1687494644, https://frenchcrown.in/cdn/shop/files/BL2623-DB_16_800x.jpg?v=1687494644, https://frenchcrown.in/cdn/shop/files/BL2623-DB_17_800x.jpg?v=1687494644, https://frenchcrown.in/cdn/shop/files/BL2623-DB_18_800x.jpg?v=1687494644, https://frenchcrown.in/cdn/shop/files/BL2623-DB_19_800x.jpg?v=1687494644, https://frenchcrown.in/cdn/shop/files/BL2623-DB_20_800x.jpg?v=1687494644, https://frenchcrown.in/cdn/shop/files/BL2623-DB_21_800x.jpg?v=1687494644, https://frenchcrown.in/cdn/shop/files/BL2623-DB_22_800x.jpg?v=1687494644, https://frenchcrown.in/cdn/shop/files/BL2623-DB_23_800x.jpg?v=1687494644, https://frenchcrown.in/cdn/shop/products/BL2623-DB_4_800x.jpg?v=1687494644, https://frenchcrown.in/cdn/shop/products/BL2623-DB_5_800x.jpg?v=1687494644, https://frenchcrown.in/cdn/shop/products/BL2623-DB_6_800x.jpg?v=1687494644, https://frenchcrown.in/cdn/shop/files/BL2623-DB_24_800x.jpg?v=1687494566",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"All men love Black! Dapper sophistication meets timeless elegance with our Jade Black Solid Premium
Cotton Double Breasted blazer. Crafted from pure cotton fabric, this blazer exudes confidence and
style. Make a lasting impression at any formal occasion with its double-breasted design and
impeccable tailoring. Elevate your wardrobe with this sartorial masterpiece.",1687494644
