Title,Cost,Description,Photos,Brand,Сategory,id
"Aqua Sport Perfume (EDP) for Men, 50 ml, A Long-Lasting Fragrance with the Freshness and Soothing Scent of Mystical woods/ Zesty", 559.00,"Timeless Aqua Sport is a men's fragrance designed to evoke a sense of rugged masculinity and confidence.
Combines the freshness of grapefruit and lemon with the sweetness of black currant.
Perfect for those looking to add an enigmatic quality to their personal style.
Elegant and sophisticated scent that appeals to a wide range of men.
Available in a variety of sizes for convenient use and travel.
A great gift idea for any man who wants to elevate his personal style.","https://bryanandcandy.com/cdn/shop/products/AquaSport_2_50ml_1024x.jpg?v=1673958821
https://bryanandcandy.com/cdn/shop/products/AquaSport_3_50ml_1024x.jpg?v=1673958821
https://bryanandcandy.com/cdn/shop/products/AquaSport_4_50ml_1024x.jpg?v=1673958821",Bryan & Candy,Man's Perfume,1545269298
"Inspire Perfume (EDP) for Men - 50ml, Men’s Long Lasting Fragrance with a Fruity Spike and Earthy notes of Cedar and Vetiver", 559.00,"Inspire for men is an intriguing mix of French Bergamot and crunchy apple that accords a fruity spike.
The magical confluence of fragrant cinnamon, luscious vanilla and creamy sandal gives a phenomenal impetus to the woody base of cedar and earthy vetiver.","https://bryanandcandy.com/cdn/shop/products/Inspire_2_50ml_1024x.jpg?v=1673960561
https://bryanandcandy.com/cdn/shop/products/Inspire_3_50ml_1024x.jpg?v=1673960561
https://bryanandcandy.com/cdn/shop/products/Inspire_4_50ml_1024x.jpg?v=1673960561",Bryan & Candy,Man's Perfume,9943918567
"Triumph Perfume (EDP) for Men - 50ml, Long Lasting Fragrance with a Fruity appeal and exotic notes of patchouli and lavendar", 559.00,"A perfect balance of juicy pear and sweet pineapple with spicy cardamom makes it arduously aromatic and woody making it a perfect jewel to be adorned by those men who have triumphed in life’s tenacious battles. 
The vibrancy of lavender augmented by geranium’s green facet and powdery iris add a touch of intrigue to the blend. His humble heart will adore the soft tones of vanilla smeared in a base of exotic patchouli and everlasting silage.
50 ML Pack","https://bryanandcandy.com/cdn/shop/products/Triumph_2_1024x.jpg?v=1673958992
https://bryanandcandy.com/cdn/shop/products/Triumph_3_1024x.jpg?v=1673958992
https://bryanandcandy.com/cdn/shop/products/Triumph_4_1024x.jpg?v=1673958992",Bryan & Candy,Man's Perfume,0867148339
"Magnate Perfume (EDP) for Men - 50ml : A Long-Lasting and Rejuvenating Fragrance of Success , Smoky, Spicy and Woody notes of Cedar and Sandalwood", 559.00,"Magnate- only worthy of those who strive for success and perfection.
A riot of sense-awakening fragrances like the lively pink pepper, sparkling bergamot, and elemi mingled together with opulent Taif rose.
Just like the synchrony of his large heart and sharp mind, the aromatic lavender, exotic woody notes of patchouli and vetiver create a symphony with the woody blend of cedar and creamy sandalwood to give him an edge over others.","https://bryanandcandy.com/cdn/shop/products/Magnate_2_1024x.jpg?v=1673959037
https://bryanandcandy.com/cdn/shop/products/Magnate_3_1024x.jpg?v=1673959037
https://bryanandcandy.com/cdn/shop/products/Magnate_4_1024x.jpg?v=1673959037",Bryan & Candy,Man's Perfume,5672142744
"Allure: 30ml Pack of Long-lasting, Fresh & Soothing Perfume (EDP) Fragrance for Men with a winning streak", 245.00,"30ml bottle of Bryan & Candy Allure Men's Eau De Parfum
Long-lasting fresh and soothing fragrance
Perfect balance of fresh and relaxing notes
Suitable for any occasion, casual or formal
High-quality men's fragrance
Indulge in luxury with Bryan & Candy Allure.","https://bryanandcandy.com/cdn/shop/products/Allure_30ml_2_1024x.jpg?v=1676965148
https://bryanandcandy.com/cdn/shop/products/Allure_30ml_4_1024x.jpg?v=1676965148
https://bryanandcandy.com/cdn/shop/products/Allure_30ml_3_1024x.jpg?v=1676965148",Bryan & Candy,Man's Perfume,4179423323
Elegance Perfume (EDP) for Men: 30 ml Fragrance that defines Timeless Elegance., 245.00,"Bryan & Candy Elegance Eau De Parfum for Men is a fragrance that exudes timeless elegance.
Its unique blend of scents create a long-lasting, fresh, and soothing aroma that is perfect for any occasion.
Packaged in a convenient and portable 30ml bottle, perfect for everyday wear.
Ideal for men who want to exude sophistication and poise.
Suitable for business meeting and night out with friends
Perfect for men who wants to smell good all day and all occasions
A great gift idea for any man who wants to elevate his personal style.
Long-lasting and suitable for both day and night wear.
Elegant and sophisticated scent that appeals to a wide range of men.","https://bryanandcandy.com/cdn/shop/products/Elegance_30ml_2_1024x.jpg?v=1676965218
https://bryanandcandy.com/cdn/shop/products/Elegance_30ml_4_1024x.jpg?v=1676965218
https://bryanandcandy.com/cdn/shop/products/Elegance_30ml_3_1024x.jpg?v=1676965218",Bryan & Candy,Man's Perfume,4539316734
Ignite 30ml Perfume (EDP) for Men with Long-lasting Fresh and Soothing Fragrance, 245.00,"Introducing Bryan and Candy Ignite Eau de Parfum, a luxurious fragrance for men
Packaged in a convenient 30ml bottle, perfect for on-the-go
Long-lasting fresh and soothing fragrance
Carefully selected blend of notes for a unique and invigorating scent
Made with cruelty-free ingredients, no animal testing involved.","https://bryanandcandy.com/cdn/shop/products/Ignite_30ml_2_1024x.jpg?v=1676965310
https://bryanandcandy.com/cdn/shop/products/Ignite_30ml_4_1024x.jpg?v=1676965310
https://bryanandcandy.com/cdn/shop/products/Ignite_30ml_3_1024x.jpg?v=1676965310",Bryan & Candy,Man's Perfume,1463041783
"Intense Perfume (EDP) for Men : A 30ml Pack of Long-lasting, Rejuvenating Fragrance", 245.00,"30ml bottle of Bryan & Candy Intense Men's Eau De Parfum
Long-lasting fresh and soothing fragrance
Perfect balance of fresh and relaxing notes
Suitable for any occasion, casual or formal
High-quality men's fragrance
Experience the intensity of luxury with Bryan & Candy Intense.","https://bryanandcandy.com/cdn/shop/products/Intense_30ml_2_1024x.jpg?v=1676965349
https://bryanandcandy.com/cdn/shop/products/Intense_30ml_4_1024x.jpg?v=1676965349
https://bryanandcandy.com/cdn/shop/products/Intense_30ml_3_1024x.jpg?v=1676965349",Bryan & Candy,Man's Perfume,7152422454
"Long-Lasting Men's Perfume Collection - Perfume (EDP) Set of 4 (30ml each), Curated For the Man of Today", 980.00,"Introducing Luxurious Men Perfumes Set of 4 - 30ml Each
All The Variants are carefully crafted to evoke specific moods and emotions
Long Lasting Experience upto 12 hours
All Perfumes are Cruelty Free and Vegan","https://bryanandcandy.com/cdn/shop/products/02_30ml_packof4_1024x.jpg?v=1674069795
https://bryanandcandy.com/cdn/shop/products/03_30ml_packof4_1024x.jpg?v=1674069795
https://bryanandcandy.com/cdn/shop/products/04_30ml_packof4_1024x.jpg?v=1674069795",Bryan & Candy,Man's Perfume,5086302681
Men's Perfume (EDP) Discovery Set, 420.00,"Bryan & Candy Men's Discovery Set Perfume is a collection of four distinct and unique fragrances: Inspire, Magnate, Triumph, and Aqua Sport.
Each fragrance comes in a compact 8ml bottle, making it easy to carry and use on-the-go.
The perfumes are all eau de parfum (EDP), which means they have a higher concentration of fragrance oils and are longer lasting compared to eau de toilette (EDT) or cologne.
The fragrances in this set are carefully curated and crafted to offer a range of scents that suit different moods and occasions.
The soothing fragrances are designed to evoke a sense of confidence and sophistication in the wearer, making them perfect for the man of today.
The Bryan & Candy Men's Discovery Set Perfume offers a great opportunity to sample and discover new fragrances, or to gift to someone special who enjoys quality and long-lasting perfumes.","https://bryanandcandy.com/cdn/shop/products/Discovery_Set_Him_08_1024x.jpg?v=1676982470
https://bryanandcandy.com/cdn/shop/products/Discovery_Set_Him_02_1024x.jpg?v=1676982470
https://bryanandcandy.com/cdn/shop/products/Discovery_Set_Him_04_1024x.jpg?v=1676982470",Bryan & Candy,Man's Perfume,8833013143
