title,price,story_description,category,sub_category,image_urls,size_title,size,description,id
Tuna Blue Premium Cotton Pants,"2,997"," Story French Crown pants are the epitome of style and sophistication, exuding elegance and class
with every stitch and detail. Pay attention to these exquisitely crafted Tuna Blue Pants. These
pants are the perfect statement piece for your next formal event. With their contemporary design
featuring slanted side pockets and a sleek silhouette, they exude sophistication and elegance.
Expertly tailored with precision, these pants are a must-have to upgrade your formal wardrobe. The
premium cotton fabric gives it a soft and breathable texture, making them a must-have for any
fashion-forward individual looking to make a statement on their next formal occasion.",Men’s Pants,Men’s Cotton Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2439_1_360x.jpg?v=1679487622, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2439_1_800x.jpg?v=1679487622, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2439_2_800x.jpg?v=1679487623, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2439_4_800x.jpg?v=1679487623, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2439_5_800x.jpg?v=1679487622, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2439_6_800x.jpg?v=1679487623, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/formal_21347400-8110-4fb9-bc5e-fa39fdf515b3_800x.jpg?v=1679550239",Select Size,28|30|32|34|36|38|40|42|44,"French Crown pants are the epitome of style and sophistication, exuding elegance and class with
every stitch and detail. Pay attention to these exquisitely crafted Tuna Blue Pants. These pants are
the perfect statement piece for your next formal event. With their contemporary design featuring
slanted side pockets and a sleek silhouette, they exude sophistication and elegance. Expertly
tailored with precision, these pants are a must-have to upgrade your formal wardrobe. The premium
cotton fabric gives it a soft and breathable texture, making them a must-have for any fashion-
forward individual looking to make a statement on their next formal occasion.",1679487622
Tuna Blue Premium Cotton Pants,"2,997"," Story French Crown pants are the epitome of style and sophistication, exuding elegance and class
with every stitch and detail. Pay attention to these exquisitely crafted Tuna Blue Pants. These
pants are the perfect statement piece for your next formal event. With their contemporary design
featuring slanted side pockets and a sleek silhouette, they exude sophistication and elegance.
Expertly tailored with precision, these pants are a must-have to upgrade your formal wardrobe. The
premium cotton fabric gives it a soft and breathable texture, making them a must-have for any
fashion-forward individual looking to make a statement on their next formal occasion.",Men’s Pants,Men’s Cotton Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2439_1_360x.jpg?v=1679487622, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2439_1_800x.jpg?v=1679487622, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2439_2_800x.jpg?v=1679487623, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2439_4_800x.jpg?v=1679487623, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2439_5_800x.jpg?v=1679487622, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2439_6_800x.jpg?v=1679487623, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/formal_21347400-8110-4fb9-bc5e-fa39fdf515b3_800x.jpg?v=1679550239",Select Size,28|30|32|34|36|38|40|42|44,"French Crown pants are the epitome of style and sophistication, exuding elegance and class with
every stitch and detail. Pay attention to these exquisitely crafted Tuna Blue Pants. These pants are
the perfect statement piece for your next formal event. With their contemporary design featuring
slanted side pockets and a sleek silhouette, they exude sophistication and elegance. Expertly
tailored with precision, these pants are a must-have to upgrade your formal wardrobe. The premium
cotton fabric gives it a soft and breathable texture, making them a must-have for any fashion-
forward individual looking to make a statement on their next formal occasion.",1679487622
Ironside Gray Stretchable Premium Cotton Pant,"2,597"," Story Revamp your fashion collection with our Ironside Gray Stretchable Premium Cotton Pant!
Crafted with utmost precision, this pants offer the perfect balance of comfort and style. The
stretchable fabric ensures a flawless fit, while the cream shade exudes sophistication. Complete
with practical pockets, they're ideal for both formal and casual occasions. Upgrade your wardrobe
today!",Men’s Pants,Men’s Cotton Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2682_1_360x.jpg?v=1685959752, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2682_1_800x.jpg?v=1685959752, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2682_2_800x.jpg?v=1685959753, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2682_4_800x.jpg?v=1685959752, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2682_5_800x.jpg?v=1685959751, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2682_6_800x.jpg?v=1685959752, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2682_7_800x.jpg?v=1685959753, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/formal_b036a66c-a690-4cca-ab80-f4108e5c5a98_800x.jpg?v=1686897660",Select Size,28|30|32|34|36|38|40|42|44,"Revamp your fashion collection with our Ironside Gray Stretchable Premium Cotton Pant! Crafted with
utmost precision, this pants offer the perfect balance of comfort and style. The stretchable fabric
ensures a flawless fit, while the cream shade exudes sophistication. Complete with practical
pockets, they're ideal for both formal and casual occasions. Upgrade your wardrobe today!",1685959752
Ironside Gray Stretchable Premium Cotton Pant,"2,597"," Story Revamp your fashion collection with our Ironside Gray Stretchable Premium Cotton Pant!
Crafted with utmost precision, this pants offer the perfect balance of comfort and style. The
stretchable fabric ensures a flawless fit, while the cream shade exudes sophistication. Complete
with practical pockets, they're ideal for both formal and casual occasions. Upgrade your wardrobe
today!",Men’s Pants,Men’s Cotton Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2682_1_360x.jpg?v=1685959752, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2682_1_800x.jpg?v=1685959752, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2682_2_800x.jpg?v=1685959753, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2682_4_800x.jpg?v=1685959752, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2682_5_800x.jpg?v=1685959751, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2682_6_800x.jpg?v=1685959752, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/T2682_7_800x.jpg?v=1685959753, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/formal_b036a66c-a690-4cca-ab80-f4108e5c5a98_800x.jpg?v=1686897660",Select Size,28|30|32|34|36|38|40|42|44,"Revamp your fashion collection with our Ironside Gray Stretchable Premium Cotton Pant! Crafted with
utmost precision, this pants offer the perfect balance of comfort and style. The stretchable fabric
ensures a flawless fit, while the cream shade exudes sophistication. Complete with practical
pockets, they're ideal for both formal and casual occasions. Upgrade your wardrobe today!",1685959752
Timber Sea Blue Solid Premium Cotton Pant,"2,597"," Story Get ready to slay in style with our Timber Blue Premium Pants! Featuring sleek slanted side
pockets, these pants effortlessly blend comfort and elegance. Perfect for any formal occasion,
they're a must-have addition to your wardrobe. Grab it now and elevate your fashion game!",Men’s Pants,Men’s Cotton Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2637_1_360x.jpg?v=1685343694, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2637_1_800x.jpg?v=1685343694, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2637_2_800x.jpg?v=1685343694, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2637_4_800x.jpg?v=1685343694, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2637_5_800x.jpg?v=1685343694, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2637_6_800x.jpg?v=1685343694, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/P3_4e556b2b-f561-402d-9903-e28b67aabace_800x.jpg?v=1685428871",Select Size,28|30|32|34|36|38|40|42|44,"Get ready to slay in style with our Timber Blue Premium Pants! Featuring sleek slanted side pockets,
these pants effortlessly blend comfort and elegance. Perfect for any formal occasion, they're a
must-have addition to your wardrobe. Grab it now and elevate your fashion game!",1685343694
Timber Sea Blue Solid Premium Cotton Pant,"2,597"," Story Get ready to slay in style with our Timber Blue Premium Pants! Featuring sleek slanted side
pockets, these pants effortlessly blend comfort and elegance. Perfect for any formal occasion,
they're a must-have addition to your wardrobe. Grab it now and elevate your fashion game!",Men’s Pants,Men’s Cotton Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2637_1_360x.jpg?v=1685343694, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2637_1_800x.jpg?v=1685343694, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2637_2_800x.jpg?v=1685343694, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2637_4_800x.jpg?v=1685343694, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2637_5_800x.jpg?v=1685343694, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2637_6_800x.jpg?v=1685343694, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/P3_4e556b2b-f561-402d-9903-e28b67aabace_800x.jpg?v=1685428871",Select Size,28|30|32|34|36|38|40|42|44,"Get ready to slay in style with our Timber Blue Premium Pants! Featuring sleek slanted side pockets,
these pants effortlessly blend comfort and elegance. Perfect for any formal occasion, they're a
must-have addition to your wardrobe. Grab it now and elevate your fashion game!",1685343694
Merino Cream Stretchable Premium Cotton Pant,"2,597"," Story Revamp your fashion collection with our Merino Cream Stretchable Premium Cotton Pant! Crafted
with utmost precision, this pants offer the perfect balance of comfort and style. The stretchable
fabric ensures a flawless fit, while the cream shade exudes sophistication. Complete with practical
pockets, they're ideal for both formal and casual occasions. Upgrade your wardrobe today!",Men’s Pants,Men’s Cotton Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2687_1_360x.jpg?v=1685704489, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2687_1_800x.jpg?v=1685704489, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2687_2_800x.jpg?v=1685704489, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2687_4_800x.jpg?v=1685704489, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2687_5_800x.jpg?v=1685704489, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2687_6_800x.jpg?v=1685704489, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2687_7_800x.jpg?v=1685704489, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/formal_434f482f-995c-4857-80b1-089cc693319f_800x.jpg?v=1686897659",Select Size,28|30|32|34|36|38|40|42|44,"Revamp your fashion collection with our Merino Cream Stretchable Premium Cotton Pant! Crafted with
utmost precision, this pants offer the perfect balance of comfort and style. The stretchable fabric
ensures a flawless fit, while the cream shade exudes sophistication. Complete with practical
pockets, they're ideal for both formal and casual occasions. Upgrade your wardrobe today!",1685704489
Merino Cream Stretchable Premium Cotton Pant,"2,597"," Story Revamp your fashion collection with our Merino Cream Stretchable Premium Cotton Pant! Crafted
with utmost precision, this pants offer the perfect balance of comfort and style. The stretchable
fabric ensures a flawless fit, while the cream shade exudes sophistication. Complete with practical
pockets, they're ideal for both formal and casual occasions. Upgrade your wardrobe today!",Men’s Pants,Men’s Cotton Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2687_1_360x.jpg?v=1685704489, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2687_1_800x.jpg?v=1685704489, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2687_2_800x.jpg?v=1685704489, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2687_4_800x.jpg?v=1685704489, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2687_5_800x.jpg?v=1685704489, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2687_6_800x.jpg?v=1685704489, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T-2687_7_800x.jpg?v=1685704489, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/formal_434f482f-995c-4857-80b1-089cc693319f_800x.jpg?v=1686897659",Select Size,28|30|32|34|36|38|40|42|44,"Revamp your fashion collection with our Merino Cream Stretchable Premium Cotton Pant! Crafted with
utmost precision, this pants offer the perfect balance of comfort and style. The stretchable fabric
ensures a flawless fit, while the cream shade exudes sophistication. Complete with practical
pockets, they're ideal for both formal and casual occasions. Upgrade your wardrobe today!",1685704489
Thunder Navy Blue Premium Cotton Pants,"3,197"," Story These Thunder Black Pants are a stylish and comfortable piece of clothing. They feature a
solid black pattern, creating a captivating look that is sure to turn heads. Made from wool-rich
material, these pants are lightweight, breathable, and durable, making them ideal for a variety of
occasions, from the formal boardroom to casual outings.",Men’s Pants,Men’s Cotton Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2509_1_360x.jpg?v=1680179503, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2509_1_800x.jpg?v=1680179503, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2509_2_800x.jpg?v=1680179503, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2509_4_800x.jpg?v=1680179503, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2509_5_800x.jpg?v=1680179503, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2509_6_800x.jpg?v=1680179503, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/formal_6d60c1b2-127e-49fa-9a33-eaec2f94771e_800x.jpg?v=1680841693",Select Size,28|30|32|34|36|38|40|42|44,"These Thunder Black Pants are a stylish and comfortable piece of clothing. They feature a solid
black pattern, creating a captivating look that is sure to turn heads. Made from wool-rich material,
these pants are lightweight, breathable, and durable, making them ideal for a variety of occasions,
from the formal boardroom to casual outings.",1680179503
Thunder Navy Blue Premium Cotton Pants,"3,197"," Story These Thunder Black Pants are a stylish and comfortable piece of clothing. They feature a
solid black pattern, creating a captivating look that is sure to turn heads. Made from wool-rich
material, these pants are lightweight, breathable, and durable, making them ideal for a variety of
occasions, from the formal boardroom to casual outings.",Men’s Pants,Men’s Cotton Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2509_1_360x.jpg?v=1680179503, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2509_1_800x.jpg?v=1680179503, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2509_2_800x.jpg?v=1680179503, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2509_4_800x.jpg?v=1680179503, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2509_5_800x.jpg?v=1680179503, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2509_6_800x.jpg?v=1680179503, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/formal_6d60c1b2-127e-49fa-9a33-eaec2f94771e_800x.jpg?v=1680841693",Select Size,28|30|32|34|36|38|40|42|44,"These Thunder Black Pants are a stylish and comfortable piece of clothing. They feature a solid
black pattern, creating a captivating look that is sure to turn heads. Made from wool-rich material,
these pants are lightweight, breathable, and durable, making them ideal for a variety of occasions,
from the formal boardroom to casual outings.",1680179503
