title,price,story_description,category,sub_category,image_urls,size_title,size,description,id
Iridium Gray Wool Rich Pants,"3,597"," Story Make a statement with these Iridium Gray Wool Rich Pants. Featuring a solid gray pattern,
these pants are both stylish and versatile. The slanted side pockets add a touch of practicality,
while the flat front offers a sleek and streamlined look. Whether dressed up or down, these pants
are sure to turn heads and elevate any outfit.",Men’s Pants,Men’s Wool Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2529_1_360x.jpg?v=1680763485, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2529_1_800x.jpg?v=1680763485, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2529_2_800x.jpg?v=1680763485, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2529_4_800x.jpg?v=1680763485, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2529_5_800x.jpg?v=1680763485, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2529_6_800x.jpg?v=1680763485, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/formal_62da02f3-6124-4571-bc16-668d845f9427_800x.jpg?v=1680841609",Select Size,28|30|32|34|36|38|40|42|44,"Make a statement with these Iridium Gray Wool Rich Pants. Featuring a solid gray pattern, these
pants are both stylish and versatile. The slanted side pockets add a touch of practicality, while
the flat front offers a sleek and streamlined look. Whether dressed up or down, these pants are sure
to turn heads and elevate any outfit.",1680763485
Iridium Gray Wool Rich Pants,"3,597"," Story Make a statement with these Iridium Gray Wool Rich Pants. Featuring a solid gray pattern,
these pants are both stylish and versatile. The slanted side pockets add a touch of practicality,
while the flat front offers a sleek and streamlined look. Whether dressed up or down, these pants
are sure to turn heads and elevate any outfit.",Men’s Pants,Men’s Wool Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2529_1_360x.jpg?v=1680763485, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2529_1_800x.jpg?v=1680763485, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2529_2_800x.jpg?v=1680763485, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2529_4_800x.jpg?v=1680763485, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2529_5_800x.jpg?v=1680763485, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2529_6_800x.jpg?v=1680763485, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/formal_62da02f3-6124-4571-bc16-668d845f9427_800x.jpg?v=1680841609",Select Size,28|30|32|34|36|38|40|42|44,"Make a statement with these Iridium Gray Wool Rich Pants. Featuring a solid gray pattern, these
pants are both stylish and versatile. The slanted side pockets add a touch of practicality, while
the flat front offers a sleek and streamlined look. Whether dressed up or down, these pants are sure
to turn heads and elevate any outfit.",1680763485
Cape Palliser Brown Wool Rich Pants,"3,597"," Story Make a statement with these Cape Palliser Brown Wool Rich Pants. Featuring a solid brown
pattern, these pants are both stylish and versatile. The slanted side pockets add a touch of
practicality, while the flat front offers a sleek and streamlined look. Whether dressed up or down,
these pants are sure to turn heads and elevate any outfit.",Men’s Pants,Men’s Wool Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2530_1_360x.jpg?v=1680763505, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2530_1_800x.jpg?v=1680763505, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2530_2_800x.jpg?v=1680763505, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2530_4_800x.jpg?v=1680763505, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2530_5_800x.jpg?v=1680763505, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2530_6_800x.jpg?v=1680763505, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/formal_bfa64973-98a6-459a-a689-1133887035ad_800x.jpg?v=1680841605",Select Size,28|30|32|34|36|38|40|42|44,"Make a statement with these Cape Palliser Brown Wool Rich Pants. Featuring a solid brown pattern,
these pants are both stylish and versatile. The slanted side pockets add a touch of practicality,
while the flat front offers a sleek and streamlined look. Whether dressed up or down, these pants
are sure to turn heads and elevate any outfit.",1680763505
Cape Palliser Brown Wool Rich Pants,"3,597"," Story Make a statement with these Cape Palliser Brown Wool Rich Pants. Featuring a solid brown
pattern, these pants are both stylish and versatile. The slanted side pockets add a touch of
practicality, while the flat front offers a sleek and streamlined look. Whether dressed up or down,
these pants are sure to turn heads and elevate any outfit.",Men’s Pants,Men’s Wool Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2530_1_360x.jpg?v=1680763505, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2530_1_800x.jpg?v=1680763505, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2530_2_800x.jpg?v=1680763505, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2530_4_800x.jpg?v=1680763505, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2530_5_800x.jpg?v=1680763505, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2530_6_800x.jpg?v=1680763505, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/formal_bfa64973-98a6-459a-a689-1133887035ad_800x.jpg?v=1680841605",Select Size,28|30|32|34|36|38|40|42|44,"Make a statement with these Cape Palliser Brown Wool Rich Pants. Featuring a solid brown pattern,
these pants are both stylish and versatile. The slanted side pockets add a touch of practicality,
while the flat front offers a sleek and streamlined look. Whether dressed up or down, these pants
are sure to turn heads and elevate any outfit.",1680763505
Cordovan Red Wool Rich Pant,"3,197"," Story Step up your style game with this stunning Cordovan Red Wool Rich Bandhgala Designer Pant.
Crafted using wool rich fabric and designed to perfection, this bandhgala Pant is ideal for weddings
and other premium occasions. The belt closure with four flap pockets adds a touch of elegance to the
overall design, while the collar and sleek silhouette give a contemporary twist to this classic
ethnic outfit. Stand out from the crowd and make a statement with this trendy bandhgala Pant.",Men’s Pants,Men’s Wool Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2533_1_360x.jpg?v=1680763569, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2533_1_800x.jpg?v=1680763569, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2533_2_800x.jpg?v=1680763569, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2533_4_800x.jpg?v=1680763569, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2533_5_800x.jpg?v=1680763569, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2533_6_800x.jpg?v=1680763569, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/formal_45e0773b-6651-4c84-9273-fd96902e69d2_800x.jpg?v=1680841595",Select Size,28|30|32|34|36|38|40|42|44,"Step up your style game with this stunning Cordovan Red Wool Rich Bandhgala Designer Pant. Crafted
using wool rich fabric and designed to perfection, this bandhgala Pant is ideal for weddings and
other premium occasions. The belt closure with four flap pockets adds a touch of elegance to the
overall design, while the collar and sleek silhouette give a contemporary twist to this classic
ethnic outfit. Stand out from the crowd and make a statement with this trendy bandhgala Pant.",1680763569
Cordovan Red Wool Rich Pant,"3,197"," Story Step up your style game with this stunning Cordovan Red Wool Rich Bandhgala Designer Pant.
Crafted using wool rich fabric and designed to perfection, this bandhgala Pant is ideal for weddings
and other premium occasions. The belt closure with four flap pockets adds a touch of elegance to the
overall design, while the collar and sleek silhouette give a contemporary twist to this classic
ethnic outfit. Stand out from the crowd and make a statement with this trendy bandhgala Pant.",Men’s Pants,Men’s Wool Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2533_1_360x.jpg?v=1680763569, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2533_1_800x.jpg?v=1680763569, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2533_2_800x.jpg?v=1680763569, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2533_4_800x.jpg?v=1680763569, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2533_5_800x.jpg?v=1680763569, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2533_6_800x.jpg?v=1680763569, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/formal_45e0773b-6651-4c84-9273-fd96902e69d2_800x.jpg?v=1680841595",Select Size,28|30|32|34|36|38|40|42|44,"Step up your style game with this stunning Cordovan Red Wool Rich Bandhgala Designer Pant. Crafted
using wool rich fabric and designed to perfection, this bandhgala Pant is ideal for weddings and
other premium occasions. The belt closure with four flap pockets adds a touch of elegance to the
overall design, while the collar and sleek silhouette give a contemporary twist to this classic
ethnic outfit. Stand out from the crowd and make a statement with this trendy bandhgala Pant.",1680763569
Byzantium Wool Rich Pants,"2,597"," Story Elevate your wardrobe with our latest must-have addition - solid pants! These pants are the
epitome of modern style and sophistication, with a wool rich fabric that feels as good as it looks.
The slanted side pockets are a stylish detail that not only adds a touch of edge, but also offers
practicality for carrying your essentials. The sleek and streamlined design of these pants make them
perfect for dressing up for a formal event or dressing down for a semi formal outing.",Men’s Pants,Men’s Wool Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2519_1_360x.jpg?v=1680179681, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2519_1_800x.jpg?v=1680179681, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2519_2_800x.jpg?v=1680179681, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2519_4_800x.jpg?v=1680179681, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2519_5_800x.jpg?v=1680179681, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2519_6_800x.jpg?v=1680179681, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/formal_6d4a1af3-9a5c-415e-860f-2bd7a90c2903_800x.jpg?v=1680841624",Select Size,28|30|32|34|36|38|40|42|44,"Elevate your wardrobe with our latest must-have addition - solid pants! These pants are the epitome
of modern style and sophistication, with a wool rich fabric that feels as good as it looks. The
slanted side pockets are a stylish detail that not only adds a touch of edge, but also offers
practicality for carrying your essentials. The sleek and streamlined design of these pants make them
perfect for dressing up for a formal event or dressing down for a semi formal outing.",1680179681
Byzantium Wool Rich Pants,"2,597"," Story Elevate your wardrobe with our latest must-have addition - solid pants! These pants are the
epitome of modern style and sophistication, with a wool rich fabric that feels as good as it looks.
The slanted side pockets are a stylish detail that not only adds a touch of edge, but also offers
practicality for carrying your essentials. The sleek and streamlined design of these pants make them
perfect for dressing up for a formal event or dressing down for a semi formal outing.",Men’s Pants,Men’s Wool Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2519_1_360x.jpg?v=1680179681, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2519_1_800x.jpg?v=1680179681, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2519_2_800x.jpg?v=1680179681, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2519_4_800x.jpg?v=1680179681, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2519_5_800x.jpg?v=1680179681, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/T2519_6_800x.jpg?v=1680179681, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/formal_6d4a1af3-9a5c-415e-860f-2bd7a90c2903_800x.jpg?v=1680841624",Select Size,28|30|32|34|36|38|40|42|44,"Elevate your wardrobe with our latest must-have addition - solid pants! These pants are the epitome
of modern style and sophistication, with a wool rich fabric that feels as good as it looks. The
slanted side pockets are a stylish detail that not only adds a touch of edge, but also offers
practicality for carrying your essentials. The sleek and streamlined design of these pants make them
perfect for dressing up for a formal event or dressing down for a semi formal outing.",1680179681
Feroda Gray Wool Rich Pants,"2,597"," Story These Feroda Gray Pants are a stylish and comfortable piece of clothing. They feature a solid
gray pattern, creating a captivating look that is sure to turn heads. Made from wool-rich material,
these pants are lightweight, breathable, and durable, making them ideal for a variety of occasions,
from the formal boardroom to casual outings.",Men’s Pants,Men’s Wool Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/products/1_0e3e918a-385d-48af-9ce1-9db71112bf3a_360x.jpg?v=1680179465, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/1_0e3e918a-385d-48af-9ce1-9db71112bf3a_800x.jpg?v=1680179465, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/2_9d467a2a-e9e7-443b-9a65-62eab1208f2c_800x.jpg?v=1680179465, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/4_c42e641f-5d10-4f44-8c4f-48d723cbe0e1_800x.jpg?v=1680179465, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/5_713bded2-4318-4279-8dfb-40ab3d60b689_800x.jpg?v=1680179465, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/6_8f9766bc-3638-46ce-992f-bc576d4c84b6_800x.jpg?v=1680179465, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/formal_b4537f69-e389-4d96-828b-197a200a698d_800x.jpg?v=1680841699",Select Size,28|30|32|34|36|38|40|42|44,"These Feroda Gray Pants are a stylish and comfortable piece of clothing. They feature a solid gray
pattern, creating a captivating look that is sure to turn heads. Made from wool-rich material, these
pants are lightweight, breathable, and durable, making them ideal for a variety of occasions, from
the formal boardroom to casual outings.",1680179465
Feroda Gray Wool Rich Pants,"2,597"," Story These Feroda Gray Pants are a stylish and comfortable piece of clothing. They feature a solid
gray pattern, creating a captivating look that is sure to turn heads. Made from wool-rich material,
these pants are lightweight, breathable, and durable, making them ideal for a variety of occasions,
from the formal boardroom to casual outings.",Men’s Pants,Men’s Wool Pants,"https://cdn.shopify.com/s/files/1/0094/6326/7379/products/1_0e3e918a-385d-48af-9ce1-9db71112bf3a_360x.jpg?v=1680179465, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/1_0e3e918a-385d-48af-9ce1-9db71112bf3a_800x.jpg?v=1680179465, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/2_9d467a2a-e9e7-443b-9a65-62eab1208f2c_800x.jpg?v=1680179465, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/4_c42e641f-5d10-4f44-8c4f-48d723cbe0e1_800x.jpg?v=1680179465, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/5_713bded2-4318-4279-8dfb-40ab3d60b689_800x.jpg?v=1680179465, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/6_8f9766bc-3638-46ce-992f-bc576d4c84b6_800x.jpg?v=1680179465, https://cdn.shopify.com/s/files/1/0094/6326/7379/products/formal_b4537f69-e389-4d96-828b-197a200a698d_800x.jpg?v=1680841699",Select Size,28|30|32|34|36|38|40|42|44,"These Feroda Gray Pants are a stylish and comfortable piece of clothing. They feature a solid gray
pattern, creating a captivating look that is sure to turn heads. Made from wool-rich material, these
pants are lightweight, breathable, and durable, making them ideal for a variety of occasions, from
the formal boardroom to casual outings.",1680179465
