ID,Title,Brand,Price,Category,Subcategory,Total Price,Sale Price,Description,Ingredients & How to use,Photo_Links
42312099,Atulya keratin & wheat protein shampoo - 300ml,Atulya,499,HAIR CARE,SHAMPOO,"1,326","This item: atulya keratin & wheat protein shampoo - 300ml
Sale price: 349
Atulya keratin & wheat protein conditioner - 300ml
Sale price: 324
Atulya hibiscus & black seed hair shampoo - 300ml
Sale price: 324
Atulya hibiscus & black seed hair oil - 200ml
Sale price: 329
","Atulya keratin & wheat protein shampoo thoroughly cleans and nourishes your scalp. this hair cleanser enhances the manageability of the hair, making them soft and nourished. it makes your hair soft and healthy. both keratin and wheat protein tame frizzy hair, nourishes scalp and protects hair.

it protects hair from damage and replenishes the protein that acts as an anti-breakage mechanism for hair.

it provides adequate nutrients to the scalp and hair that makes them healthy and manageable.

this shampoo deeply cleanses the hair while nourishing and hydrating each strand.

it tames frizzy hair, making them tangle-free, soft, and smooth.

free from harsh chemicals like paraben, sulphate, and silicone, this shampoo suits all hair types.","Veg
  Keratin / Wheat
1- Take the required amount of shampoo, dilute it with some water and apply evenly to your scalp
2- Gently massage your scalp using fingertips to create a rich lather.
3- Rinse well with normal water. For best results use Keratin & Wheat Protein Hair conditioner","https://myatulya.com/cdn/shop/files/Keratin_wheatProteinShampooNewA_Content-06-01.jpg?v=1697177469&width=1080, https://myatulya.com/cdn/shop/files/Keratin_wheatProteinShampooNewA_Content-06-02.jpg?v=1697177468&width=1080, https://myatulya.com/cdn/shop/files/Keratin_wheatProteinShampooNewA_Content-06-03.jpg?v=1697177470&width=1080, https://myatulya.com/cdn/shop/files/Keratin_wheatProteinShampooNewA_Content-06-04.jpg?v=1697177469&width=1080"
66814230,Atulya amla & bhringraj shampoo - 300ml,Atulya,499,HAIR CARE,SHAMPOO,"1,361","This item: atulya amla & bhringraj shampoo - 300ml
Sale price: 324
Atulya amla & bhringraj conditioner - 300ml
Sale price: 324
Atulya amla & bhringraj hair oil - 200ml
Sale price: 389
Atulya hibiscus & black seed hair shampoo - 300ml
Sale price: 324
","Atulya amla & bhringraj shampoo is filled with the goodness of ayurvedic herbs and natural oils which provide all the nourishment to follicles and scalp which helps control hair fall and breakage. also, this hair cleanser boosts blood circulation that promotes hair growth.

it effectively works to reduce hair damage and make the hair stronger from root to tip.

this hair cleanser penetrates deeply within the roots and stimulates the hair follicles.

it gently cleanses your hair and scalps resulting in strengthening the roots.

this shampoo with natural ingredients helps control dandruff and calms irritated scalp.

free from harsh chemicals like paraben, sulphate, and silicone, this shampoo suits all hair types.","Amla /
  Bhringraj
1- Take the required amount of shampoo, dilute it with some water and apply evenl to your scalp
2- Gently massage your scalp using fingertips to create a rich lather.
3- Rinse well with normal water. For best results use Amla & Bhringraj Hair conditioner","https://myatulya.com/cdn/shop/files/Artboard1copy164.jpg?v=1701855833&width=1080, https://myatulya.com/cdn/shop/files/Artboard2_098b3a12-e7a5-4059-a89a-b469e762a332.jpg?v=1704519915&width=1080, https://myatulya.com/cdn/shop/files/Artboard3_1fd5e310-8924-415d-b9cc-a289cb3d6a3e.jpg?v=1704519915&width=1080"
53129143,Atulya onion & bhringraj hair shampoo - 300ml,Atulya,499,HAIR CARE,SHAMPOO,997,"This item: atulya onion & bhringraj hair shampoo - 300ml
Sale price: 324
Atulya amla & bhringraj conditioner - 300ml
Sale price: 324
Atulya keratin & wheat protein shampoo - 300ml
Sale price: 349
Atulya amla & bhringraj hair oil 30ml - freebie
Sale price: 0
","Atulya onion & bhringraj shampoo is made from natural and organic ingredients that help to restore damaged hair and avoid any heat and excessive styling effects. it makes your hair feel smooth and refreshed. this anti-dandruff shampoo controls dandruff, calms irritated scalp and reduces hair fall.

this hair shampoo improves hair health, revives thin & dull hair, and tames frizzy hair.

this hair shampoo prevents breakage, strengthens the roots, and thickens the strands.

rich in antioxidants, nutrients, and vitamin e, this hair shampoo helps to build a barrier that protects the strands and softens them.

this hair shampoo revives your hair, nourishes each strand, and stimulates hair growth.

free from harsh chemicals like paraben, sulphate and silicone, this shampoo suits all hair types.","Red
  Onion / Bhrinaraj
1- Take the required amount of shampoo, dilute it with some water and apply evenl to your scalp
2- Gently massage your scalp using fingertips to create a rich lather.
3- Rinse well with normal water. For best results use Onion & Bhringraj Hair conditioner","https://myatulya.com/cdn/shop/files/Onion_BhringrajShampooNewA_Content-08-01.jpg?v=1697179091&width=1080, https://myatulya.com/cdn/shop/files/Onion_BhringrajShampooNewA_Content-08-02.jpg?v=1704523914&width=1080, https://myatulya.com/cdn/shop/files/Onion_BhringrajShampooNewA_Content-08-03.jpg?v=1704523914&width=1080"
26764823,Atulya keratin & wheat protein shampoo + conditioner set (pack of 2),Atulya,998,HAIR CARE,SHAMPOO,"1,015","This item: atulya keratin & wheat protein shampoo + conditioner set (pack of 2)
Sale price: 549
Atulya amla & bhringraj hair oil 30ml - freebie
Sale price: 0
Atulya keratin & wheat protein conditioner - 300ml
Sale price: 324
Atulya beetroot lip balm - 5gm
Sale price: 142
","This combo pack contains two magical products picked out from the atulya's organic hair care range 
atulya keratin and wheat protein sahmpoo reverses the damage caused to your hair and infuses it with proteins to prevent further damage. atulya keratin and wheat protein conditioner smoothens your hair and makes it frizz free so that you can confidently manage your beautiful hair and stunning personality.","Wheat /
  Keratin
1- Take the required amount of shampoo, dilute it with some water and apply evenl to your scalp
2- Gently massage your scalp using fingertips to create a rich lather.
3- Rinse well with normal water. For best results use keratin &wheat protein Hair conditioner
4- After washing your hair with shampoo, take some conditioner into your palm and start applying to the length of your hair.
5- Leave it for 2-3 minutes. For desired results, gently comb your hair with a wide toothesd comb to spread the conditioner evenly.
6- Rinse your hair thoroughly with water.","https://myatulya.com/cdn/shop/files/Keratin_WheatProteinConditioner_ShampooCombooA_Content-AT-01.jpg?v=1690793756&width=1080, https://myatulya.com/cdn/shop/files/Keratin_WheatProteinConditioner_ShampooCombooA_Content-AT-02.jpg?v=1690793757&width=1080, https://myatulya.com/cdn/shop/files/Keratin_WheatProteinConditioner_ShampooCombooA_Content-AT-03.jpg?v=1690793756&width=1080, https://myatulya.com/cdn/shop/files/Keratin_WheatProteinConditioner_ShampooCombooA_Content-AT-05.jpg?v=1690793757&width=1080"
53552459,Atulya moroccan argan oil shampoo - 300ml,Atulya,499,HAIR CARE,SHAMPOO,"1,371","This item: atulya moroccan argan oil shampoo - 300ml
Sale price: 319
Atulya moroccan argan oil hair mask - 200gm
Sale price: 324
Atulya moroccan argan oil hair conditioner - 300m
Sale price: 299
Atulya moroccan argan hair oil - 200ml
Sale price: 429
","Atulya moroccan argan oil shampoo is infused with all-natural ingredients like moroccan argan oil and vitamin e that deeply nourishes hair. it's an amazing natural hair shampoo that deeply conditions, hydrates, and moisturizes hair, giving it a smooth silky texture and imparting beautiful shine.

this shampoo deeply cleanses the hair while hydrating and nourishing your hair follicles.

it has vitamin e that controls oil production and protects hair against damage.

with this shampoo, your hair becomes shinier, manageable, and frizz-free.

it repairs damaged hair while promoting hair growth and making them healthy.

free from harsh chemicals like paraben, sulphate, and silicone, this shampoo suits all hair types.","Argan
  Oil / Bhringraj Extracts
1- Take the required amount of shampoo, dilute it with some water and apply even to your scalp
2- Gently massage your scalp using fingertips to create a rich lather.
3- Rinse well with normal water. For best results use Hair conditioner","https://myatulya.com/cdn/shop/files/MoroccanArganOilShampooA_ContentNew-06-01.jpg?v=1697178718&width=1080, https://myatulya.com/cdn/shop/files/MoroccanArganOilShampooA_ContentNew-06-02.jpg?v=1697178718&width=1080, https://myatulya.com/cdn/shop/files/MoroccanArganOilShampooA_ContentNew-06-03.jpg?v=1697178717&width=1080, https://myatulya.com/cdn/shop/files/MoroccanArganOilShampooA_ContentNew-06-04.jpg?v=1697178716&width=1080"
96575449,Atulya neem & sage shampoo - sulphate & parabens free(100% natural),Atulya,499,HAIR CARE,SHAMPOO,"1,316","This item: atulya neem & sage shampoo - sulphate & parabens free(100% natural)
Sale price: 324
Atulya keratin & wheat protein shampoo - 300ml
Sale price: 349
Atulya moroccan argan oil shampoo - 300ml
Sale price: 319
Atulya neem & sage conditioner - silicones, parabens, mineral oil free (100% natural)
Sale price: 324
","Atulya neem & sage shampoo has neem's specific medicinal benefit and anti-fungal properties that help remove dandruff, control flake appearance, and reduce inflammation of the scalp. why it's good to use:

it extracts impurities from the pores of the scalp and gives a soothing sensation that leaves you feeling clean and fresh.
to help curb fall and breakage of hair, it strengthens your hair from the roots to the tips.
it thoroughly cleanses the hair, removes the dryness, and restores the shine and luster of natural hair.","Neem /
  Sage
1- Take the required amount of shampoo, dilute it with some water and apply evenl to your scalp
2- Gently massage your scalp using fingertips to create a rich lather.
3- Rinse well with normal water. For best results use Neem & Sage Hair conditioner","https://myatulya.com/cdn/shop/files/Neem_SagaShampooNewA_Content-08-01.jpg?v=1697178624&width=1080, https://myatulya.com/cdn/shop/files/Neem_SagaShampooNewA_Content-08-02.jpg?v=1697178625&width=1080, https://myatulya.com/cdn/shop/files/Neem_SagaShampooNewA_Content-08-03.jpg?v=1697178624&width=1080, https://myatulya.com/cdn/shop/files/Neem_SagaShampooNewA_Content-08-04.jpg?v=1697178627&width=1080"
67373484,Atulya onion & bhringraj shampoo + conditioner set (hair fall defence pack),Atulya,998,HAIR CARE,SHAMPOO,"1,631","This item: atulya onion & bhringraj shampoo + conditioner set (hair fall defence pack)
Sale price: 599
Atulya onion & bhringraj hair oil - 200ml
Sale price: 389
Atulya onion & bhringraj hair serum - 50ml
Sale price: 324
Atulya moroccan argan oil shampoo - 300ml
Sale price: 319
","This mystical combo for perfect hair is chosen from the striking range of atulya's hair care products
atulya onion and bhringraj shampoo is a unique formula aimed to strengthen hair and keep it healthy with the goodness of anti-bacterial and bio-active ingrediets known for their incredible hair care capabilities. atulya onion and bhringraj conditioner treats hair loss, breakage, and split ends, nourishing them deeply to impart an attractive shine, manageability and healthy growth to it.","Red
  Onion / Bhringraj
1- Take the required amount of shampoo, dilute it with some water and apply evenl to your scalp
2- Gently massage your scalp using fingertips to create a rich lather.
3- Rinse well with normal water. For best results use Amla & Bhringrj Hair conditioner
4- After washing your hair with shampoo, take some conditioner into your palm and start applying to the length of your hair.
5- Leave it for 2-3 minutes. For desired results, gently comb your hair with a wide toothesd comb to spread the conditioner evenly.
6- Rinse your hair thoroughly with water.","https://myatulya.com/cdn/shop/files/Onion_BhringrajShampoo_ConditionerCombooNewA_Content-AT-01.jpg?v=1690792727&width=1080, https://myatulya.com/cdn/shop/files/Onion_BhringrajShampoo_ConditionerCombooNewA_Content-AT-02.jpg?v=1690792728&width=1080, https://myatulya.com/cdn/shop/files/Onion_BhringrajShampoo_ConditionerCombooNewA_Content-AT-03.jpg?v=1690792727&width=1080, https://myatulya.com/cdn/shop/files/Onion_BhringrajShampoo_ConditionerCombooNewA_Content-AT-05.jpg?v=1690792728&width=1080"
36430905,Atulya vally rose hair shampoo - 300ml,Atulya,499,HAIR CARE,SHAMPOO,"1,275","This item: atulya vally rose hair shampoo - 300ml
Sale price: 299
Atulya valley rose hair mask - 200gm
Sale price: 324
Atulya valley rose conditioner 300ml
Sale price: 324
Atulya chandan haldi soap (pack of 4)
Sale price: 328
","Atulya valley rose shampoo gently cleanses ypur hair, making them shiny, voluminous, and healthy. it moisturizes and tones the scalp, adds shine to hair, and envelops hair in a subtle rose aroma thanks to the natural goodness of rose hydrosol and pro-vitamin b5.

this hair shampoo helps improve the texture and appearance of the hair while adding strength and moisture.

it repairs damaged hair strands, making them stronger and more luscious.

it repairs dull and damaged hair while making them bouncy and voluminous.

it helps control breakage by providing adequate nutrition to hair follicles.

free from harsh chemicals like paraben, sulphate, and silicone, this hair shampoo suits all hair types.","Valley
  Rose / Amla
1- Take the required amount of shampoo, dilute it with some water and apply evenl to your scalp
2- Gently massage your scalp using fingertips to create a rich lather.
3- Rinse well with normal water. For best results use valley rose Hair conditioner","https://myatulya.com/cdn/shop/files/ValleyRoseShampooA_ContentNew-01.jpg?v=1690872332&width=1080, https://myatulya.com/cdn/shop/files/ValleyRoseShampooA_ContentNew-02.jpg?v=1690872331&width=1080, https://myatulya.com/cdn/shop/files/ValleyRoseShampooA_ContentNew-03.jpg?v=1690872332&width=1080, https://myatulya.com/cdn/shop/files/ValleyRoseShampooA_ContentNew-04.jpg?v=1690872331&width=1080"
13473712,Atulya amla & bhringraj shampoo + conditioner (daily hair care pack),Atulya,998,HAIR CARE,SHAMPOO,"1,481","This item: atulya amla & bhringraj shampoo + conditioner (daily hair care pack)
Sale price: 549
Atulya amla & bhringraj hair oil - 200ml
Sale price: 389
Atulya silicone massage bath brush
Sale price: 194
Atulya vitamin c face serum 30ml
Sale price: 349
","This fantastic combo consists of two extraordinary products chosen from the exclusive range of atulya's hair care products 
 this amazing combo is one of the ultimate hair care solution formulated by atulya, which comprises of two remarkable ingredients which are amla & bhringraj. these ingredients are unique formula which aimed to strengthen hair and keep them strong. furthermore, nourishing hair combo is very effective in nature. in addition to this, the said product is helpful in many ways as they help in treating hair loss, breakage as well as split-ends. furthermore, it also gives shine to hair and improves the texture of the hair.","Amla
  Bhringraj
1- Take the required amount of shampoo, dilute it with some water and apply evenly to your scalp
2- Gently massage your scalp using fingertips to create a rich lather.
3- Rinse well with normal water. For best results use Amla & Bhringrj Hair conditioner
4- After washing your hair with shampoo, take some conditioner into your palm and start applying to the length of your hair.
5- Leave it for 2-3 minutes. For desired results, gently comb your hair with a wide toothesd comb to spread the conditioner evenly.
6- Rinse your hair thoroughly with water.","https://myatulya.com/cdn/shop/files/Amla_BhringrajConditioner_ShampooCombooA_ContentNew-01.jpg?v=1690869352&width=1080, https://myatulya.com/cdn/shop/files/Amla_BhringrajConditioner_ShampooCombooA_ContentNew-02.jpg?v=1690869351&width=1080, https://myatulya.com/cdn/shop/files/Amla_BhringrajConditioner_ShampooCombooA_ContentNew-03.jpg?v=1690869352&width=1080, https://myatulya.com/cdn/shop/files/Amla_BhringrajConditioner_ShampooCombooA_ContentNew-05.jpg?v=1690869352&width=1080"
77136208,Atulya plum hair shampoo - 300ml,Atulya,499,HAIR CARE,SHAMPOO,"1,156","This item: atulya plum hair shampoo - 300ml
Sale price: 274
Atulya plum hair conditioner - 300ml
Sale price: 299
Atulya madagascar vanilla hair conditioner - 300ml
Sale price: 324
Atulya tea tree anti acne facial mist toner
Sale price: 259
","Plum /
  neem oil","Plum /
  Neem Oil
1- Take the required amount of shampoo, dilute it with some water and apply evenl to your scalp
2- Gently massage your scalp using fingertips to create a rich lather.
3- Rinse well with normal water. For best results use Plum Hair conditioner","https://myatulya.com/cdn/shop/files/PlumShampooA_ContentNew-01.jpg?v=1690873375&width=1080, https://myatulya.com/cdn/shop/files/PlumShampooA_ContentNew-02.jpg?v=1690873374&width=1080, https://myatulya.com/cdn/shop/files/PlumShampooA_ContentNew-03.jpg?v=1690873374&width=1080, https://myatulya.com/cdn/shop/files/PlumShampooA_ContentNew-04.jpg?v=1690873375&width=1080"
