title,price,brand,story_description,category,sub_category,image_urls,size_title,size,description,id
Peach Colourful Flowers Print Premium Tencel Shirt,997,Frenchcrown," Story With its simple design featuring Colourful Flowers, this collared shirt creates the perfect
laid-back, beachy look. Unique Pech colour with our new regular fit for a classic feel with a more
modern edge. Made from soft-touch material that feels great on the skin, with an easy-iron finish so
all it needs is a quick press before you head out.",Men’s,Men’s Sale,"https://frenchcrown.in/cdn/shop/products/3043_1_360x.jpg?v=1634298564, https://frenchcrown.in/cdn/shop/products/3043_1_800x.jpg?v=1634298564, https://frenchcrown.in/cdn/shop/products/3043_2_800x.jpg?v=1634298564, https://frenchcrown.in/cdn/shop/products/3043_3_800x.jpg?v=1634298564, https://frenchcrown.in/cdn/shop/products/3043_4_800x.jpg?v=1634298564, https://frenchcrown.in/cdn/shop/products/3043_5_800x.jpg?v=1634298564, https://frenchcrown.in/cdn/shop/products/3043_6_800x.jpg?v=1634298564, https://frenchcrown.in/cdn/shop/products/3043_7_800x.jpg?v=1634298564",Select Size,38 / XS|39 / S|40 / M|42 / L|44 / XL|46 / XXL|48 / 3XL|50 / 4XL|52 / 5XL,"With its simple design featuring Colourful Flowers, this collared shirt creates the perfect laid-
back, beachy look. Unique Pech colour with our new regular fit for a classic feel with a more modern
edge. Made from soft-touch material that feels great on the skin, with an easy-iron finish so all it
needs is a quick press before you head out.",1634298564
Silver Chalice Gray African Tribal art Print Premium Tencel Beach Shirt,997,Frenchcrown," Story This unique casual shirt features a vibrant tribal print with a windowpane pattern in the
backdrop. This playful shirt is crafted in a comfortable standard fit with a classic collar and long
sleeves. It would look great with any denim and white sneakers.",Men’s,Men’s Sale,"https://frenchcrown.in/cdn/shop/products/4755-_2_360x.jpg?v=1656507941, https://frenchcrown.in/cdn/shop/products/4755-_2_800x.jpg?v=1656507941, https://frenchcrown.in/cdn/shop/products/4755-_3_800x.jpg?v=1653028508, https://frenchcrown.in/cdn/shop/products/4755-_1_800x.jpg?v=1653029193, https://frenchcrown.in/cdn/shop/products/4755-_4_800x.jpg?v=1653029193, https://frenchcrown.in/cdn/shop/products/4755-_5_800x.jpg?v=1653029193, https://frenchcrown.in/cdn/shop/products/4755-_6_800x.jpg?v=1653029193, https://frenchcrown.in/cdn/shop/products/4755-_7_800x.jpg?v=1653029193, https://frenchcrown.in/cdn/shop/products/4755-_9_800x.jpg?v=1652975170, https://frenchcrown.in/cdn/shop/products/ShirtCorel_9842bb52-4176-48fe-a57c-9c3147db6c2b_800x.jpg?v=1653025841",Select Size,38 / XS|39 / S|40 / M|42 / L|44 / XL|46 / XXL|48 / 3XL|50 / 4XL|52 / 5XL,"This unique casual shirt features a vibrant tribal print with a windowpane pattern in the backdrop.
This playful shirt is crafted in a comfortable standard fit with a classic collar and long sleeves.
It would look great with any denim and white sneakers.Tencel Fabric: It is a form of rayon. It consists of cellulose fibre, made from dissolving pulp and
then reconstituting it by dry jet wet spinning.  A sustainable fabric because it is made from
sustainable sources and therefore it is biodegradable. It can be blended with other fabrics.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
Tencel weave; Gentle on skin, Color retention, long lasting softness, Flexible Versatile
Medium weight fabric. Made for all climates.",1656507941
Brandy Beige Bugs and flowers Printed Super Soft Flannel Kurta Shirt,"4,397",Frenchcrown," Story With this printed flannel kurta shirt, you can achieve a contemporary smart-casual style.
Quirky print and a regular fit that is both comfortable and functional. For a casual style, the
stylish mandarin collar and coconut shell embellishments work great.",Men’s,Men’s Sale,"https://frenchcrown.in/cdn/shop/products/6457-KS_6_360x.jpg?v=1663778543, https://frenchcrown.in/cdn/shop/products/6457-KS_6_800x.jpg?v=1663778543, https://frenchcrown.in/cdn/shop/products/6457-KS_2_800x.jpg?v=1663778543, https://frenchcrown.in/cdn/shop/products/6457-KS_1_800x.jpg?v=1663998859, https://frenchcrown.in/cdn/shop/products/6457-KS_4_800x.jpg?v=1663998859, https://frenchcrown.in/cdn/shop/products/6457-KS_5_800x.jpg?v=1663998859, https://frenchcrown.in/cdn/shop/products/6457-KS_7_800x.jpg?v=1663998859, https://frenchcrown.in/cdn/shop/products/6457-KS_3_800x.jpg?v=1663998859, https://frenchcrown.in/cdn/shop/products/6457-KS_8_800x.jpg?v=1663998859",Select Size,38 / XS|39 / S|40 / M|42 / L|44 / XL|46 / XXL|48 / 3XL|50 / 4XL|52 / 5XL,"With this printed flannel kurta shirt, you can achieve a contemporary smart-casual style. Quirky
print and a regular fit that is both comfortable and functional. For a casual style, the stylish
mandarin collar and coconut shell embellishments work great.",1663778543
Bright White Floral Designed Jacquard Textured Premium Cotton Shirt,"2,997",Frenchcrown," Story Add this full-sleeved, traditional spread shirt to your formal collection to stand out in the
crowd. The premium Giza cotton shirt Display strongly sophisticated vibes with its beautiful texture
and is created to be comfortable in a regular fit. Pair it with black trousers and oxford shoes to
look your best.",Men’s,Men’s Sale,"https://frenchcrown.in/cdn/shop/products/7758-BLE_1_360x.jpg?v=1669375273, https://frenchcrown.in/cdn/shop/products/7758-BLE_1_800x.jpg?v=1669375273, https://frenchcrown.in/cdn/shop/products/7758-BLE_2_800x.jpg?v=1669375273, https://frenchcrown.in/cdn/shop/products/7758-BLE_4_800x.jpg?v=1669375272, https://frenchcrown.in/cdn/shop/products/7758-BLE_5_800x.jpg?v=1669375274, https://frenchcrown.in/cdn/shop/products/7758-BLE_6_800x.jpg?v=1669375275, https://frenchcrown.in/cdn/shop/products/7758-BLE_7_800x.jpg?v=1669375274, https://frenchcrown.in/cdn/shop/products/7758-BLE_8_800x.jpg?v=1669375273, https://frenchcrown.in/cdn/shop/products/ShirtCorel_15704372-9802-492d-87d0-c7e307e77ac3_800x.jpg?v=1669443438",Select Size,38 / XS|39 / S|40 / M|42 / L|44 / XL|46 / XXL|48 / 3XL|50 / 4XL|52 / 5XL,"Add this full-sleeved, traditional spread shirt to your formal collection to stand out in the crowd.
The premium Giza cotton shirt Display strongly sophisticated vibes with its beautiful texture and is
created to be comfortable in a regular fit. Pair it with black trousers and oxford shoes to look
your best.100 % Premium Giza Cotton:  Long staple, smother, resistant to pilling,  greater resistance to
abrasion and stretching, brighter and more precisely defined with a soft and silky texture and
considerable resistance over time.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
jacquard weave; Jacquard weave is created using a specific loom designed to produce patterned
fabrics. Using a mix of different weaves, the possibilities of patterns are endless. A simple
geometric pattern like a dot, or window pane, to a complex paisley can be created. Jacquards are
great way to add a very subtle pattern to your style. Jacquards can be made one color or a mix of
colors to create even more complex patterns. Often the back side of a jacquard is the mirror image
of the pattern. We suggest Jacquard shirts for: any occasion to promote your personal style!
Medium weight fabric. Made for all climates.",1669375273
Off White Vibrant Flora art Printed Luxurious Linen Shirt,"2,397",Frenchcrown," Story This shirt features full sleeves, and a mandarin collar. Tailored with top-notch airy and
breathable linen-cotton fabric to deliver excellent comfort pair this shirt with jeans and sneakers
for a comfortable look.",Men’s,Men’s Sale,"https://frenchcrown.in/cdn/shop/products/5409-M-BLK_6_360x.jpg?v=1663410142, https://frenchcrown.in/cdn/shop/products/5409-M-BLK_6_800x.jpg?v=1663410142, https://frenchcrown.in/cdn/shop/products/5409-M-BLK_2_800x.jpg?v=1663410149, https://frenchcrown.in/cdn/shop/products/5409-M-BLK_1_800x.jpg?v=1663410157, https://frenchcrown.in/cdn/shop/products/5409-M-BLK_4_800x.jpg?v=1663410163, https://frenchcrown.in/cdn/shop/products/5409-M-BLK_5_800x.jpg?v=1663410173, https://frenchcrown.in/cdn/shop/products/5409-M-BLK_7_800x.jpg?v=1663410185, https://frenchcrown.in/cdn/shop/products/5409-M-BLK_8_800x.jpg?v=1663410195, https://frenchcrown.in/cdn/shop/products/ShirtCorelM_a05f16c7-3d04-4c76-ac85-50694c3002b2_800x.jpg?v=1658915708",Select Size,38 / XS|39 / S|40 / M|42 / L|44 / XL|46 / XXL|48 / 3XL|50 / 4XL|52 / 5XL,"This shirt features full sleeves, and a mandarin collar. Tailored with top-notch airy and breathable
linen-cotton fabric to deliver excellent comfort pair this shirt with jeans and sneakers for a
comfortable look.",1663410142
Milky White and River Bed Smoke Printed Premium Cotton Shirt,"2,697",Frenchcrown," Story Upgrade your wardrobe with this Smoke Printed regular fit shirt from French Crown. Crafted
using the strongest weave, this shirt features a white spread collar, marble printed design and full
sleeves. Style it with jeans and sneakers for an amazing look!",Men’s,Men’s Sale,"https://frenchcrown.in/cdn/shop/products/5716-WCC_1_360x.jpg?v=1663419003, https://frenchcrown.in/cdn/shop/products/5716-WCC_1_800x.jpg?v=1663419003, https://frenchcrown.in/cdn/shop/products/5716-WCC_2_800x.jpg?v=1663419011, https://frenchcrown.in/cdn/shop/products/5716-WCC_4_800x.jpg?v=1663419019, https://frenchcrown.in/cdn/shop/products/5716-WCC_5_800x.jpg?v=1663419026, https://frenchcrown.in/cdn/shop/products/5716-WCC_6_800x.jpg?v=1663419032, https://frenchcrown.in/cdn/shop/products/5716-WCC_7_800x.jpg?v=1663419039, https://frenchcrown.in/cdn/shop/products/5716-WCC_9_800x.jpg?v=1663419057, https://frenchcrown.in/cdn/shop/products/ShirtCorel_1cef2f0e-7393-4648-957b-700a99091932_800x.jpg?v=1660364695",Select Size,38 / XS|39 / S|40 / M|42 / L|44 / XL|46 / XXL|48 / 3XL|50 / 4XL|52 / 5XL,"Upgrade your wardrobe with this Smoke Printed regular fit shirt from French Crown. Crafted using the
strongest weave, this shirt features a white spread collar, marble printed design and full sleeves.
Style it with jeans and sneakers for an amazing look!100 % Premium Giza Cotton:  Long staple, smother, resistant to pilling,  greater resistance to
abrasion and stretching, brighter and more precisely defined with a soft and silky texture and
considerable resistance over time.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
Premium mother-of-pearl buttonsPoplin weave:  wears smooth, a thin, soft, long-lasting fabric, known
for lightweight breathability.Medium weight fabric, Made for all climates.
Poplin weave:  wears smooth, a thin, soft, long-lasting fabric, known for lightweight breathability.
Medium weight fabric, Made for all climates.",1663419003
Bright White Damask Inspired Printed Twill Premium Cotton Kurta Shirt,"2,797",Frenchcrown," Story This damask inspired printed kurta shirt will be a unique addition to your casual collection.
It features a mandarin collar with full sleeves. A regular fit makes sure that you are comfortable
throughout the day. Pair it with any of your jeans and sandals for a laid-back look.",Men’s,Men’s Sale,"https://frenchcrown.in/cdn/shop/products/7026-KS_1_360x.jpg?v=1665664466, https://frenchcrown.in/cdn/shop/products/7026-KS_1_800x.jpg?v=1665664466, https://frenchcrown.in/cdn/shop/products/7026-KS_2_800x.jpg?v=1665664468, https://frenchcrown.in/cdn/shop/products/7026-KS_4_800x.jpg?v=1665664467, https://frenchcrown.in/cdn/shop/products/7026-KS_5_800x.jpg?v=1665664465, https://frenchcrown.in/cdn/shop/products/7026-KS_6_800x.jpg?v=1665664468, https://frenchcrown.in/cdn/shop/products/7026-KS_7_800x.jpg?v=1665664464, https://frenchcrown.in/cdn/shop/products/7026-KS_8_800x.jpg?v=1665664465, https://frenchcrown.in/cdn/shop/products/ShirtCorelKurta_3f17b937-9a40-4c18-bc59-c996fff44ede_800x.jpg?v=1665721373",Select Size,38 / XS|39 / S|40 / M|42 / L|44 / XL|46 / XXL|48 / 3XL|50 / 4XL|52 / 5XL,"This damask inspired printed kurta shirt will be a unique addition to your casual collection. It
features a mandarin collar with full sleeves. A regular fit makes sure that you are comfortable
throughout the day. Pair it with any of your jeans and sandals for a laid-back look.100 % Premium Giza Cotton:  Long staple, smother, resistant to pilling, greater resistance to
abrasion and stretching, brighter and more precisely defined with a soft and silky texture and
considerable resistance over time.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
Twill: Twill is made by weaving twin horizontal threads under and over vertical threads to create a
distinctive diagonal pattern. Twill fabric is soft and thick, resistant to creases and easy to iron.
It also drapes very well, producing a smart result.
Medium weight fabric. Made for all climates.",1665664466
Martinique Blue Jacquard Textured Premium Giza Cotton Shirt,997,Frenchcrown," Story This full-sleeved shirt with a crisp jacquard fabric from French Crown is a must-own piece
for any man. Fitting elegantly with both trousers and jeans, the presence of a dark-colored belt
will bring out the finery of the look. So grab this shirt to up your style quotient instantly.",Men’s,Men’s Sale,"https://frenchcrown.in/cdn/shop/products/4420-BLE_1_360x.jpg?v=1656507104, https://frenchcrown.in/cdn/shop/products/4420-BLE_1_800x.jpg?v=1656507104, https://frenchcrown.in/cdn/shop/products/4420-BLE_2_800x.jpg?v=1650363809, https://frenchcrown.in/cdn/shop/products/4420-BLE_3_800x.jpg?v=1651752680, https://frenchcrown.in/cdn/shop/products/4420-BLE_4_800x.jpg?v=1651752680, https://frenchcrown.in/cdn/shop/products/4420-BLE_5_800x.jpg?v=1651752680, https://frenchcrown.in/cdn/shop/products/4420-BLE_6_800x.jpg?v=1651752680, https://frenchcrown.in/cdn/shop/products/4420-BLE_7_800x.jpg?v=1651752680, https://frenchcrown.in/cdn/shop/products/4420-BLE_9_800x.jpg?v=1650363809, https://frenchcrown.in/cdn/shop/products/ShirtCorel_c9898eae-0ca6-4d21-bae4-7e4b6adfd157_800x.jpg?v=1650363809",Select Size,38 / XS|39 / S|40 / M|42 / L|44 / XL|46 / XXL|48 / 3XL|50 / 4XL|52 / 5XL,"This full-sleeved shirt with a crisp jacquard fabric from French Crown is a must-own piece for any
man. Fitting elegantly with both trousers and jeans, the presence of a dark-colored belt will bring
out the finery of the look. So grab this shirt to up your style quotient instantly.100 % Premium Giza Cotton:  Long staple, smother, resistant to pilling,  greater resistance to
abrasion and stretching, brighter and more precisely defined with a soft and silky texture and
considerable resistance over time.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
jacquard weave; Small geometric patterns, Resistant to creasing, Flexible Versatile
Medium weight fabric. Made for all climates.",1656507104
Comet Blue Jacquard Textured Premium Giza Cotton Shirt,"2,297",Frenchcrown," Story Choose an effortless style with this scroll printed shirt from French Crown. Tailored using a
breathable fabric, this shirt boasts a classy spread collar, and full sleeves. Tag this shirt with a
pair of formal trousers and monk for a complete attire.",Men’s,Men’s Sale,"https://frenchcrown.in/cdn/shop/products/7093-BLE_1_360x.jpg?v=1666262228, https://frenchcrown.in/cdn/shop/products/7093-BLE_1_800x.jpg?v=1666262228, https://frenchcrown.in/cdn/shop/products/7093-BLE_2_800x.jpg?v=1666262229, https://frenchcrown.in/cdn/shop/products/7093-BLE_4_800x.jpg?v=1666262231, https://frenchcrown.in/cdn/shop/products/7093-BLE_5_800x.jpg?v=1666262233, https://frenchcrown.in/cdn/shop/products/7093-BLE_6_800x.jpg?v=1666262230, https://frenchcrown.in/cdn/shop/products/7093-BLE_7_800x.jpg?v=1666262230, https://frenchcrown.in/cdn/shop/products/7093-BLE_8_800x.jpg?v=1666262422, https://frenchcrown.in/cdn/shop/products/ShirtCorel_6fb9eac5-9c19-4c35-a96e-3e27a13f3e32_800x.jpg?v=1666333333",Select Size,38 / XS|39 / S|40 / M|42 / L|44 / XL|46 / XXL|48 / 3XL|50 / 4XL|52 / 5XL,"Choose an effortless style with this scroll printed shirt from French Crown. Tailored using a
breathable fabric, this shirt boasts a classy spread collar, and full sleeves. Tag this shirt with a
pair of formal trousers and monk for a complete attire.100 % Premium Giza Cotton:  Long staple, smother, resistant to pilling,  greater resistance to
abrasion and stretching, brighter and more precisely defined with a soft and silky texture and
considerable resistance over time.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
jacquard weave; Jacquard weave is created using a specific loom designed to produce patterned
fabrics. Using a mix of different weaves, the possibilities of patterns are endless. A simple
geometric pattern like a dot, or window pane, to a complex paisley can be created. Jacquards are
great way to add a very subtle pattern to your style. Jacquards can be made one color or a mix of
colors to create even more complex patterns. Often the back side of a jacquard is the mirror image
of the pattern. We suggest Jacquard shirts for: any occasion to promote your personal style!
Medium weight fabric. Made for all climates.",1666262228
Dawn Orange Printed and Striped Premium Tencel Kurta Shirt,"1,597",Frenchcrown," Story Upgrade your smart casual Wardrobe with this dawn Orange printed and striped kurta shirt from
French Crown. Tailored with wood pulp fabric, this shirt features a mandarin collar, full sleeves,
and coconut shell buttons. Team it with a pair of jeans and sneakers, and accessorize with a
wayfarer and a stylish watch to complete the look.",Men’s,Men’s Sale,"https://frenchcrown.in/cdn/shop/products/5615-KS_6_360x.jpg?v=1663316521, https://frenchcrown.in/cdn/shop/products/5615-KS_6_800x.jpg?v=1663316521, https://frenchcrown.in/cdn/shop/products/5615-KS_2_800x.jpg?v=1663316532, https://frenchcrown.in/cdn/shop/products/5615-KS_1_800x.jpg?v=1663316539, https://frenchcrown.in/cdn/shop/products/5615-KS_4_800x.jpg?v=1663316545, https://frenchcrown.in/cdn/shop/products/5615-KS_5_800x.jpg?v=1663316552, https://frenchcrown.in/cdn/shop/products/5615-KS_7_800x.jpg?v=1663316559, https://frenchcrown.in/cdn/shop/products/5615-KS_8_800x.jpg?v=1663316565, https://frenchcrown.in/cdn/shop/products/ShirtCorelKurta_edadb1d4-4db8-4520-8329-07a8e3b0e5ff_800x.jpg?v=1659604278",Select Size,38 / XS|39 / S|40 / M|42 / L|44 / XL|46 / XXL|48 / 3XL|50 / 4XL|52 / 5XL,"Upgrade your smart casual Wardrobe with this dawn Orange printed and striped kurta shirt from French
Crown. Tailored with wood pulp fabric, this shirt features a mandarin collar, full sleeves, and
coconut shell buttons. Team it with a pair of jeans and sneakers, and accessorize with a wayfarer
and a stylish watch to complete the look.Tencel Fabric: It is a form of rayon. It consists of cellulose fibre, made from dissolving pulp and
then reconstituting it by dry jet wet spinning.  A sustainable fabric because it is made from
sustainable sources and therefore it is biodegradable. It can be blended with other fabrics.
Limited quantity, Seasonal collection. We change our fashion very frequently. Grab it before it
disappears
Tencel weave; Gentle on skin, Color retention, long lasting softness, Flexible Versatile
Medium weight fabric. Made for all climates.",1663316521
