title,price,story_description,category,sub_category,image_urls,size_title,size,description,id
Tundora Dark Gray Subtle Plaid Double-Breasted Blazer,"5,997"," Story Elevate your fashion game with our Tundora Dark Gray Double-Breasted blazer. This captivating
blazer exudes confidence, boasting a double-breasted design with a sleek dual-button fastening. The
subtle plaid pattern adds a touch of sophistication, making it a versatile choice for both formal
occasions and stylish gatherings. Make a statement with this impeccable ensemble.",Men’s,Men’s New Blazers / Trench Coats,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2723-DB_1_360x.jpg?v=1686557197, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2723-DB_1_800x.jpg?v=1686557197, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2723-DB_2_800x.jpg?v=1686557197, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2723-DB_4_800x.jpg?v=1687005513, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2723-DB_5_800x.jpg?v=1687005513, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2723-DB_6_800x.jpg?v=1687005513, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2723-DB_7_800x.jpg?v=1687005513, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2723-DB_8_800x.jpg?v=1687005513, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2723-DB_9_800x.jpg?v=1687005513, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/DB_5034ea1d-3ace-4f8b-9ab7-edd26752bf5c_800x.jpg?v=1687005513",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Elevate your fashion game with our Tundora Dark Gray Double-Breasted blazer. This captivating blazer
exudes confidence, boasting a double-breasted design with a sleek dual-button fastening. The subtle
plaid pattern adds a touch of sophistication, making it a versatile choice for both formal occasions
and stylish gatherings. Make a statement with this impeccable ensemble.",1686557197
Tundora Dark Gray Subtle Plaid Double-Breasted Blazer,"5,997"," Story Elevate your fashion game with our Tundora Dark Gray Double-Breasted blazer. This captivating
blazer exudes confidence, boasting a double-breasted design with a sleek dual-button fastening. The
subtle plaid pattern adds a touch of sophistication, making it a versatile choice for both formal
occasions and stylish gatherings. Make a statement with this impeccable ensemble.",Men’s,Men’s New Blazers / Trench Coats,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2723-DB_1_360x.jpg?v=1686557197, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2723-DB_1_800x.jpg?v=1686557197, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2723-DB_2_800x.jpg?v=1686557197, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2723-DB_4_800x.jpg?v=1687005513, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2723-DB_5_800x.jpg?v=1687005513, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2723-DB_6_800x.jpg?v=1687005513, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2723-DB_7_800x.jpg?v=1687005513, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2723-DB_8_800x.jpg?v=1687005513, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2723-DB_9_800x.jpg?v=1687005513, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/DB_5034ea1d-3ace-4f8b-9ab7-edd26752bf5c_800x.jpg?v=1687005513",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Elevate your fashion game with our Tundora Dark Gray Double-Breasted blazer. This captivating blazer
exudes confidence, boasting a double-breasted design with a sleek dual-button fastening. The subtle
plaid pattern adds a touch of sophistication, making it a versatile choice for both formal occasions
and stylish gatherings. Make a statement with this impeccable ensemble.",1686557197
Wine and Chestnut Brown Plaid Single Breasted Blazer,"5,997"," Story Channeling suave sophistication with a contemporary twist, this Wine and Chestnut Brown Plaid
Single Breasted blazer is the epitome of modern style. Crafted with meticulous detail and a touch of
swagger, it effortlessly exudes confidence and charm. Elevate your fashion game and make a statement
that speaks volumes.",Men’s,Men’s New Blazers / Trench Coats,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2722-SB_1_360x.jpg?v=1686557193, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2722-SB_1_800x.jpg?v=1686557193, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2722-SB_2_800x.jpg?v=1686557193, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2722-SB_3_800x.jpg?v=1687005523, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2722-SB_4_800x.jpg?v=1687005523, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2722-SB_5_800x.jpg?v=1687005523, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2722-SB_6_800x.jpg?v=1687005523, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2722-SB_7_800x.jpg?v=1687005523, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2722-SB_8_800x.jpg?v=1687005523, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/SB_bc90813c-bf21-4866-a2c4-501d8b054fe9_800x.jpg?v=1687005523",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Channeling suave sophistication with a contemporary twist, this Wine and Chestnut Brown Plaid Single
Breasted blazer is the epitome of modern style. Crafted with meticulous detail and a touch of
swagger, it effortlessly exudes confidence and charm. Elevate your fashion game and make a statement
that speaks volumes.",1686557193
Wine and Chestnut Brown Plaid Single Breasted Blazer,"5,997"," Story Channeling suave sophistication with a contemporary twist, this Wine and Chestnut Brown Plaid
Single Breasted blazer is the epitome of modern style. Crafted with meticulous detail and a touch of
swagger, it effortlessly exudes confidence and charm. Elevate your fashion game and make a statement
that speaks volumes.",Men’s,Men’s New Blazers / Trench Coats,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2722-SB_1_360x.jpg?v=1686557193, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2722-SB_1_800x.jpg?v=1686557193, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2722-SB_2_800x.jpg?v=1686557193, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2722-SB_3_800x.jpg?v=1687005523, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2722-SB_4_800x.jpg?v=1687005523, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2722-SB_5_800x.jpg?v=1687005523, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2722-SB_6_800x.jpg?v=1687005523, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2722-SB_7_800x.jpg?v=1687005523, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2722-SB_8_800x.jpg?v=1687005523, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/SB_bc90813c-bf21-4866-a2c4-501d8b054fe9_800x.jpg?v=1687005523",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Channeling suave sophistication with a contemporary twist, this Wine and Chestnut Brown Plaid Single
Breasted blazer is the epitome of modern style. Crafted with meticulous detail and a touch of
swagger, it effortlessly exudes confidence and charm. Elevate your fashion game and make a statement
that speaks volumes.",1686557193
Pinkish Maroon Dobby Textured Cross Buttoned Bandhgala Blazer,"5,997"," Story Elevate your fashion game with this stunning Pinkish Maroon Textured Cross Buttoned Bandhgala
blazer! The texture adds a subtle touch of sophistication to the rich maroon hue, making it a
perfect choice for those who love to experiment with style. The cross button design brings a
contemporary edge to the traditional bandhgala silhouette. Be the epitome of elegance and make heads
turn at any special occasion.",Men’s,Men’s New Blazers / Trench Coats,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2720_1_360x.jpg?v=1686556829, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2720_1_800x.jpg?v=1686556829, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2720_2_800x.jpg?v=1686556830, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2720_3_800x.jpg?v=1687005598, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2720_4_800x.jpg?v=1687005598, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2720_5_800x.jpg?v=1687005598, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2720_6_800x.jpg?v=1687005598, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2720_7_800x.jpg?v=1687005598, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2720_8_800x.jpg?v=1687005598, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2720_9_800x.jpg?v=1687005598, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/CBG-2_51b2aa71-77d8-454c-8f55-20390718a3e4_800x.jpg?v=1687005598",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Elevate your fashion game with this stunning Pinkish Maroon Textured Cross Buttoned Bandhgala
blazer! The texture adds a subtle touch of sophistication to the rich maroon hue, making it a
perfect choice for those who love to experiment with style. The cross button design brings a
contemporary edge to the traditional bandhgala silhouette. Be the epitome of elegance and make heads
turn at any special occasion.",1686556829
Pinkish Maroon Dobby Textured Cross Buttoned Bandhgala Blazer,"5,997"," Story Elevate your fashion game with this stunning Pinkish Maroon Textured Cross Buttoned Bandhgala
blazer! The texture adds a subtle touch of sophistication to the rich maroon hue, making it a
perfect choice for those who love to experiment with style. The cross button design brings a
contemporary edge to the traditional bandhgala silhouette. Be the epitome of elegance and make heads
turn at any special occasion.",Men’s,Men’s New Blazers / Trench Coats,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2720_1_360x.jpg?v=1686556829, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2720_1_800x.jpg?v=1686556829, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2720_2_800x.jpg?v=1686556830, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2720_3_800x.jpg?v=1687005598, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2720_4_800x.jpg?v=1687005598, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2720_5_800x.jpg?v=1687005598, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2720_6_800x.jpg?v=1687005598, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2720_7_800x.jpg?v=1687005598, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2720_8_800x.jpg?v=1687005598, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2720_9_800x.jpg?v=1687005598, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/CBG-2_51b2aa71-77d8-454c-8f55-20390718a3e4_800x.jpg?v=1687005598",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Elevate your fashion game with this stunning Pinkish Maroon Textured Cross Buttoned Bandhgala
blazer! The texture adds a subtle touch of sophistication to the rich maroon hue, making it a
perfect choice for those who love to experiment with style. The cross button design brings a
contemporary edge to the traditional bandhgala silhouette. Be the epitome of elegance and make heads
turn at any special occasion.",1686556829
Thatch Light Pink Cross Buttoned Bandhgala Blazer,"5,997"," Story Get ready to make a style statement with this exquisite Thatch Light Pink Cross Buttoned
Bandhgala blazer! This elegant ensemble features a classic bandhgala silhouette with a unique cross
button design, adding a contemporary twist to traditional attire. Crafted with precision, this
blazer is perfect for weddings and ceremonies, where you want to stand out. Embrace timeless fashion
with a touch of modern flair.",Men’s,Men’s New Blazers / Trench Coats,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2719-CBG_1_360x.jpg?v=1686556801, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2719-CBG_1_800x.jpg?v=1686556801, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2719-CBG_2_800x.jpg?v=1686556800, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2719-CBG_3_800x.jpg?v=1687005619, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2719-CBG_4_800x.jpg?v=1687005619, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2719-CBG_5_800x.jpg?v=1687005619, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2719-CBG_6_800x.jpg?v=1687005619, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/CBG_53ef0620-64c6-4678-8aac-1139139d84f8_800x.jpg?v=1687005619",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Get ready to make a style statement with this exquisite Thatch Light Pink Cross Buttoned Bandhgala
blazer! This elegant ensemble features a classic bandhgala silhouette with a unique cross button
design, adding a contemporary twist to traditional attire. Crafted with precision, this blazer is
perfect for weddings and ceremonies, where you want to stand out. Embrace timeless fashion with a
touch of modern flair.",1686556801
Thatch Light Pink Cross Buttoned Bandhgala Blazer,"5,997"," Story Get ready to make a style statement with this exquisite Thatch Light Pink Cross Buttoned
Bandhgala blazer! This elegant ensemble features a classic bandhgala silhouette with a unique cross
button design, adding a contemporary twist to traditional attire. Crafted with precision, this
blazer is perfect for weddings and ceremonies, where you want to stand out. Embrace timeless fashion
with a touch of modern flair.",Men’s,Men’s New Blazers / Trench Coats,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2719-CBG_1_360x.jpg?v=1686556801, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2719-CBG_1_800x.jpg?v=1686556801, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2719-CBG_2_800x.jpg?v=1686556800, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2719-CBG_3_800x.jpg?v=1687005619, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2719-CBG_4_800x.jpg?v=1687005619, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2719-CBG_5_800x.jpg?v=1687005619, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2719-CBG_6_800x.jpg?v=1687005619, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/CBG_53ef0620-64c6-4678-8aac-1139139d84f8_800x.jpg?v=1687005619",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Get ready to make a style statement with this exquisite Thatch Light Pink Cross Buttoned Bandhgala
blazer! This elegant ensemble features a classic bandhgala silhouette with a unique cross button
design, adding a contemporary twist to traditional attire. Crafted with precision, this blazer is
perfect for weddings and ceremonies, where you want to stand out. Embrace timeless fashion with a
touch of modern flair.",1686556801
Heathered Light Brown Cross Buttoned Bandhgala Blazer,"5,997"," Story Get ready to make a style statement with this exquisite Heathered Light Brown Cross Buttoned
Bandhgala blazer! This elegant ensemble features a classic bandhgala silhouette with a unique cross
button design, adding a contemporary twist to traditional attire. Crafted with precision, this
blazer is perfect for weddings and ceremonies, where you want to stand out. Embrace timeless fashion
with a touch of modern flair.",Men’s,Men’s New Blazers / Trench Coats,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2718-CBG2_1_360x.jpg?v=1686556719, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2718-CBG2_1_800x.jpg?v=1686556719, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2718-CBG2_2_800x.jpg?v=1686556719, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2718-CBG2_3_800x.jpg?v=1687005772, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2718-CBG2_4_800x.jpg?v=1687005772, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2718-CBG2_5_800x.jpg?v=1687005772, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2718-CBG2_6_800x.jpg?v=1687005772, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2718-CBG2_7_800x.jpg?v=1687005772, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/CBG-2_d6e09ba0-121f-4dc6-b272-dc5b420fc067_800x.jpg?v=1687005772",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Get ready to make a style statement with this exquisite Heathered Light Brown Cross Buttoned
Bandhgala blazer! This elegant ensemble features a classic bandhgala silhouette with a unique cross
button design, adding a contemporary twist to traditional attire. Crafted with precision, this
blazer is perfect for weddings and ceremonies, where you want to stand out. Embrace timeless fashion
with a touch of modern flair.",1686556719
Heathered Light Brown Cross Buttoned Bandhgala Blazer,"5,997"," Story Get ready to make a style statement with this exquisite Heathered Light Brown Cross Buttoned
Bandhgala blazer! This elegant ensemble features a classic bandhgala silhouette with a unique cross
button design, adding a contemporary twist to traditional attire. Crafted with precision, this
blazer is perfect for weddings and ceremonies, where you want to stand out. Embrace timeless fashion
with a touch of modern flair.",Men’s,Men’s New Blazers / Trench Coats,"https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2718-CBG2_1_360x.jpg?v=1686556719, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2718-CBG2_1_800x.jpg?v=1686556719, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2718-CBG2_2_800x.jpg?v=1686556719, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2718-CBG2_3_800x.jpg?v=1687005772, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2718-CBG2_4_800x.jpg?v=1687005772, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2718-CBG2_5_800x.jpg?v=1687005772, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2718-CBG2_6_800x.jpg?v=1687005772, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/BL2718-CBG2_7_800x.jpg?v=1687005772, https://cdn.shopify.com/s/files/1/0094/6326/7379/files/CBG-2_d6e09ba0-121f-4dc6-b272-dc5b420fc067_800x.jpg?v=1687005772",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Get ready to make a style statement with this exquisite Heathered Light Brown Cross Buttoned
Bandhgala blazer! This elegant ensemble features a classic bandhgala silhouette with a unique cross
button design, adding a contemporary twist to traditional attire. Crafted with precision, this
blazer is perfect for weddings and ceremonies, where you want to stand out. Embrace timeless fashion
with a touch of modern flair.",1686556719
