title,price,story_description,category,sub_category,image_urls,size_title,size,description,id
Tuna Gray Plaid Waistcoat,"3,397"," Story Channeling suave sophistication with a contemporary twist, this Tuna Gray Plaid Waistcoat is
the epitome of modern style. Crafted with meticulous detail and a touch of swagger, it effortlessly
exudes confidence and charm. Elevate your fashion game and make a statement that speaks volumes.",Men’s,Men’s Waistcoats / Nehru Jackets,"https://frenchcrown.in/cdn/shop/products/V2692_1_360x.jpg?v=1688032872, https://frenchcrown.in/cdn/shop/products/V2692_1_800x.jpg?v=1688032872, https://frenchcrown.in/cdn/shop/products/V2692_2_800x.jpg?v=1688032872, https://frenchcrown.in/cdn/shop/products/V2692_4_800x.jpg?v=1688032872, https://frenchcrown.in/cdn/shop/products/V2692_5_800x.jpg?v=1688032872, https://frenchcrown.in/cdn/shop/products/V2692_6_800x.jpg?v=1688032872, https://frenchcrown.in/cdn/shop/products/V2692_7_800x.jpg?v=1688032873",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Channeling suave sophistication with a contemporary twist, this Tuna Gray Plaid Waistcoat is the
epitome of modern style. Crafted with meticulous detail and a touch of swagger, it effortlessly
exudes confidence and charm. Elevate your fashion game and make a statement that speaks volumes.",1688032872
Monsoon Steel Gray Plaid Waistcoat,"2,997"," Story Elevate your fashion game with our Monsoon steel Gray Plaid Waistcoat. This captivating
Waistcoat exudes confidence, The subtle steel-gray plaid pattern adds a touch of sophistication,
making it a versatile choice for both formal occasions and stylish gatherings. Make a statement with
this impeccable ensemble.",Men’s,Men’s Waistcoats / Nehru Jackets,"https://frenchcrown.in/cdn/shop/products/V2693_1_360x.jpg?v=1688032899, https://frenchcrown.in/cdn/shop/products/V2693_1_800x.jpg?v=1688032899, https://frenchcrown.in/cdn/shop/products/V2693_2_800x.jpg?v=1688032899, https://frenchcrown.in/cdn/shop/products/V2693_4_800x.jpg?v=1688032899, https://frenchcrown.in/cdn/shop/products/V2693_5_800x.jpg?v=1688032899, https://frenchcrown.in/cdn/shop/products/V2693_6_800x.jpg?v=1688032899, https://frenchcrown.in/cdn/shop/products/V2693_7_800x.jpg?v=1688032899",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Elevate your fashion game with our Monsoon steel Gray Plaid Waistcoat. This captivating Waistcoat
exudes confidence, The subtle steel-gray plaid pattern adds a touch of sophistication, making it a
versatile choice for both formal occasions and stylish gatherings. Make a statement with this
impeccable ensemble.",1688032899
Pale Spring Cream Waistcoat,"2,997"," Story Embrace elegance this season with our Pale Spring Cream Sports Waistcoat. This solid
Waistcoat exudes sophistication and its impeccable design boasts a closure and a sleek, elevating
your style to new heights. The soft cream hue adds a touch of refinement, perfect for formal
occasions and stylish soirées. Elevate your sartorial game with this timeless ensemble.",Men’s,Men’s Waistcoats / Nehru Jackets,"https://frenchcrown.in/cdn/shop/products/V2694_1_360x.jpg?v=1688032923, https://frenchcrown.in/cdn/shop/products/V2694_1_800x.jpg?v=1688032923, https://frenchcrown.in/cdn/shop/products/V2694_2_800x.jpg?v=1688032923, https://frenchcrown.in/cdn/shop/products/V2694_4_800x.jpg?v=1688032923, https://frenchcrown.in/cdn/shop/products/V2694_5_800x.jpg?v=1688032923, https://frenchcrown.in/cdn/shop/products/V2694_6_800x.jpg?v=1688032923, https://frenchcrown.in/cdn/shop/products/V2694_7_800x.jpg?v=1688032923",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Embrace elegance this season with our Pale Spring Cream Sports Waistcoat. This solid Waistcoat
exudes sophistication and its impeccable design boasts a closure and a sleek, elevating your style
to new heights. The soft cream hue adds a touch of refinement, perfect for formal occasions and
stylish soirées. Elevate your sartorial game with this timeless ensemble.",1688032923
Nutmeg Red Tweed Waistcoat,"3,897"," Story Add a touch of warmth and style to your wardrobe with our Nutmeg Red Tweed Waistcoat. This
exquisite Waistcoat blends classic tailoring with a modern twist, featuring a design and a rich red
tweed fabric blended with fabric. Perfect for making a statement at special events or adding flair
to your everyday attire.",Men’s,Men’s Waistcoats / Nehru Jackets,"https://frenchcrown.in/cdn/shop/products/V2695_1_360x.jpg?v=1688032948, https://frenchcrown.in/cdn/shop/products/V2695_1_800x.jpg?v=1688032948, https://frenchcrown.in/cdn/shop/products/V2695_2_800x.jpg?v=1688032948, https://frenchcrown.in/cdn/shop/products/V2695_4_800x.jpg?v=1688032948, https://frenchcrown.in/cdn/shop/products/V2695_5_800x.jpg?v=1688032948, https://frenchcrown.in/cdn/shop/products/V2695_6_800x.jpg?v=1688032948, https://frenchcrown.in/cdn/shop/products/V2695_7_800x.jpg?v=1688032948",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Add a touch of warmth and style to your wardrobe with our Nutmeg Red Tweed Waistcoat. This exquisite
Waistcoat blends classic tailoring with a modern twist, featuring a design and a rich red tweed
fabric blended with fabric. Perfect for making a statement at special events or adding flair to your
everyday attire.",1688032948
Stonewall Light Brown Waistcoat,"3,597"," Story Embrace elegance this season with our Stonewall light Brown Waistcoat. This solid Waistcoat
exudes sophistication and its impeccable design boasts a closure and a sleek, elevating your style
to new heights. The rich light brown hue adds a touch of refinement, perfect for formal occasions
and stylish soirées. Elevate your sartorial game with this timeless ensemble.",Men’s,Men’s Waistcoats / Nehru Jackets,"https://frenchcrown.in/cdn/shop/products/V2696_1_360x.jpg?v=1688032975, https://frenchcrown.in/cdn/shop/products/V2696_1_800x.jpg?v=1688032975, https://frenchcrown.in/cdn/shop/products/V2696_2_800x.jpg?v=1688032975, https://frenchcrown.in/cdn/shop/products/V2696_4_800x.jpg?v=1688032975, https://frenchcrown.in/cdn/shop/products/V2696_5_800x.jpg?v=1688032975, https://frenchcrown.in/cdn/shop/products/V2696_6_800x.jpg?v=1688032975, https://frenchcrown.in/cdn/shop/products/V2696_7_800x.jpg?v=1688032975",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Embrace elegance this season with our Stonewall light Brown Waistcoat. This solid Waistcoat exudes
sophistication and its impeccable design boasts a closure and a sleek, elevating your style to new
heights. The rich light brown hue adds a touch of refinement, perfect for formal occasions and
stylish soirées. Elevate your sartorial game with this timeless ensemble.",1688032975
Ironstone Red Stretchable Waistcoat,"2,997"," Story Elevate your fashion game with our Ironstone Red Stretchable Waistcoat. This captivating
Waistcoat exudes confidence, boasting a design with a sleek fastening. The rich red hue adds a touch
of sophistication, making it a versatile choice for both formal occasions and stylish gatherings.
Make a statement with this impeccable ensemble.",Men’s,Men’s Waistcoats / Nehru Jackets,"https://frenchcrown.in/cdn/shop/products/V2697_1_360x.jpg?v=1688032995, https://frenchcrown.in/cdn/shop/products/V2697_1_800x.jpg?v=1688032995, https://frenchcrown.in/cdn/shop/products/V2697_2_800x.jpg?v=1688032995, https://frenchcrown.in/cdn/shop/products/V2697_4_800x.jpg?v=1688032995, https://frenchcrown.in/cdn/shop/products/V2697_5_800x.jpg?v=1688032995, https://frenchcrown.in/cdn/shop/products/V2697_6_800x.jpg?v=1688032995, https://frenchcrown.in/cdn/shop/products/V2697_7_800x.jpg?v=1688032995",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Elevate your fashion game with our Ironstone Red Stretchable Waistcoat. This captivating Waistcoat
exudes confidence, boasting a design with a sleek fastening. The rich red hue adds a touch of
sophistication, making it a versatile choice for both formal occasions and stylish gatherings. Make
a statement with this impeccable ensemble.",1688032995
Iridium Dark Gray Waistcoat,"3,597"," Story Channeling suave sophistication with a contemporary twist, this Iridium Dark Waistcoat is the
epitome of modern style. Crafted with meticulous detail and a touch of swagger, it effortlessly
exudes confidence and charm. Elevate your fashion game and make a statement that speaks volumes.",Men’s,Men’s Waistcoats / Nehru Jackets,"https://frenchcrown.in/cdn/shop/products/V2698_1_360x.jpg?v=1688033020, https://frenchcrown.in/cdn/shop/products/V2698_1_800x.jpg?v=1688033020, https://frenchcrown.in/cdn/shop/products/V2698_2_800x.jpg?v=1688033020, https://frenchcrown.in/cdn/shop/products/V2698_4_800x.jpg?v=1688033020, https://frenchcrown.in/cdn/shop/products/V2698_5_800x.jpg?v=1688033020, https://frenchcrown.in/cdn/shop/products/V2698_6_800x.jpg?v=1688033020, https://frenchcrown.in/cdn/shop/products/V2698_7_800x.jpg?v=1688033020",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Channeling suave sophistication with a contemporary twist, this Iridium Dark Waistcoat is the
epitome of modern style. Crafted with meticulous detail and a touch of swagger, it effortlessly
exudes confidence and charm. Elevate your fashion game and make a statement that speaks volumes.",1688033020
Tacao Light Brown Stretchable Waistcoat,"2,997"," Story Make a bold statement with the Tacao Light Brown Waistcoat. This impeccably designed
Waistcoat exudes timeless charm and sophistication. The light brown color adds warmth and depth to
your ensemble, while the style adds a touch of elegance. Perfect for formal occasions or important
business meetings, this Waistcoat is a true symbol of refined style. Step into the spotlight and
command attention with this impeccable choice.",Men’s,Men’s Waistcoats / Nehru Jackets,"https://frenchcrown.in/cdn/shop/products/V2699_1_360x.jpg?v=1688033048, https://frenchcrown.in/cdn/shop/products/V2699_1_800x.jpg?v=1688033048, https://frenchcrown.in/cdn/shop/products/V2699_2_800x.jpg?v=1688033048, https://frenchcrown.in/cdn/shop/products/V2699_4_800x.jpg?v=1688033048, https://frenchcrown.in/cdn/shop/products/V2699_5_800x.jpg?v=1688033048, https://frenchcrown.in/cdn/shop/products/V2699_6_800x.jpg?v=1688033048, https://frenchcrown.in/cdn/shop/products/V2699_7_800x.jpg?v=1688033048",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Make a bold statement with the Tacao Light Brown Waistcoat. This impeccably designed Waistcoat
exudes timeless charm and sophistication. The light brown color adds warmth and depth to your
ensemble, while the style adds a touch of elegance. Perfect for formal occasions or important
business meetings, this Waistcoat is a true symbol of refined style. Step into the spotlight and
command attention with this impeccable choice.",1688033048
Thatch Light Pink Nehru Jacket,"4,097"," Story Get ready to make a style statement with this exquisite Thatch Light Pink Nehru Jacket! This
elegant ensemble features a classic silhouette with a unique design, adding a contemporary twist to
traditional attire. Crafted with precision, this Nehru Jacket is perfect for weddings and
ceremonies, where you want to stand out. Embrace timeless fashion with a touch of modern flair.",Men’s,Men’s Waistcoats / Nehru Jackets,"https://frenchcrown.in/cdn/shop/products/WC2719_1_360x.jpg?v=1688033456, https://frenchcrown.in/cdn/shop/products/WC2719_1_800x.jpg?v=1688033456, https://frenchcrown.in/cdn/shop/products/WC2719_2_800x.jpg?v=1688033456, https://frenchcrown.in/cdn/shop/products/WC2719_4_800x.jpg?v=1688033456, https://frenchcrown.in/cdn/shop/products/WC2719_5_800x.jpg?v=1688033456, https://frenchcrown.in/cdn/shop/products/WC2719_6_800x.jpg?v=1688033456, https://frenchcrown.in/cdn/shop/products/WC2719_7_800x.jpg?v=1688033456",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Get ready to make a style statement with this exquisite Thatch Light Pink Nehru Jacket! This elegant
ensemble features a classic silhouette with a unique design, adding a contemporary twist to
traditional attire. Crafted with precision, this Nehru Jacket is perfect for weddings and
ceremonies, where you want to stand out. Embrace timeless fashion with a touch of modern flair.",1688033456
Shark Navy Blue Subtle Windowpane Waistcoat,"3,597"," Story Elevate your fashion game with our Shark navy Blue Subtle Windowpane Waistcoat. This
captivating Waistcoat exudes confidence, boasting a design with a sleek. The subtle windowpane
checkered pattern adds a touch of sophistication, making it a versatile choice for both formal
occasions and stylish gatherings. Make a statement with this impeccable ensemble.",Men’s,Men’s Waistcoats / Nehru Jackets,"https://frenchcrown.in/cdn/shop/products/V2701_1_360x.jpg?v=1688033096, https://frenchcrown.in/cdn/shop/products/V2701_1_800x.jpg?v=1688033096, https://frenchcrown.in/cdn/shop/products/V2701_2_800x.jpg?v=1688033096, https://frenchcrown.in/cdn/shop/products/V2701_4_800x.jpg?v=1688033096, https://frenchcrown.in/cdn/shop/products/V2701_5_800x.jpg?v=1688033096, https://frenchcrown.in/cdn/shop/products/V2701_6_800x.jpg?v=1688033096, https://frenchcrown.in/cdn/shop/products/V2701_7_800x.jpg?v=1688033096",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Elevate your fashion game with our Shark navy Blue Subtle Windowpane Waistcoat. This captivating
Waistcoat exudes confidence, boasting a design with a sleek. The subtle windowpane checkered pattern
adds a touch of sophistication, making it a versatile choice for both formal occasions and stylish
gatherings. Make a statement with this impeccable ensemble.",1688033096
