title,price,story_description,category,sub_category,image_urls,size_title,size,description,id
Baltic Sea Blue with Tuna Navy Blue Checkered Wool Rich Double Breasted Suit,"8,497"," Story Elevate your style game with the Baltic Sea Blue with Tuna navy blue Checkered Wool Rich
Double Breasted Suit. This striking ensemble showcases a unique blend of sophistication and
personality. The checkered pattern in tuna blue adds a touch of playfulness, while the wool-rich
fabric exudes luxury and comfort. Stand out from the crowd and make a statement with this remarkable
double-breasted suit.",Men’s,Men’s Suits,"https://frenchcrown.in/cdn/shop/products/ST2738-DB_1_360x.jpg?v=1689676850, https://frenchcrown.in/cdn/shop/products/ST2738-DB_1_800x.jpg?v=1689676850, https://frenchcrown.in/cdn/shop/products/ST2738-DB_2_800x.jpg?v=1689676850, https://frenchcrown.in/cdn/shop/products/ST2738-DB_4_800x.jpg?v=1689676850, https://frenchcrown.in/cdn/shop/products/ST2738-DB_5_800x.jpg?v=1689676850, https://frenchcrown.in/cdn/shop/products/ST2738-DB_6_800x.jpg?v=1689676850, https://frenchcrown.in/cdn/shop/products/ST2738-DB_7_800x.jpg?v=1689676850, https://frenchcrown.in/cdn/shop/products/ST2738-DB_8_800x.jpg?v=1689676850, https://frenchcrown.in/cdn/shop/products/ST2738-DB_9_800x.jpg?v=1689676850, https://frenchcrown.in/cdn/shop/products/ST2738-DB_10_800x.jpg?v=1689676850, https://frenchcrown.in/cdn/shop/products/ST2738-DB_11_800x.jpg?v=1689676850, https://frenchcrown.in/cdn/shop/products/ST2738-DB_12_800x.jpg?v=1689676850, https://frenchcrown.in/cdn/shop/products/ST2738-DB_13_800x.jpg?v=1689676850, https://frenchcrown.in/cdn/shop/products/ST2738-DB_14_800x.jpg?v=1689676850, https://frenchcrown.in/cdn/shop/products/ST2738-DB_15_800x.jpg?v=1689676850, https://frenchcrown.in/cdn/shop/products/ST2738-DB_16_800x.jpg?v=1689676850, https://frenchcrown.in/cdn/shop/files/ST2738-DB_17_800x.jpg?v=1689772424, https://frenchcrown.in/cdn/shop/files/ST2738-DB_18_800x.jpg?v=1689772424, https://frenchcrown.in/cdn/shop/products/ST2738-DB_19_800x.jpg?v=1689772424, https://frenchcrown.in/cdn/shop/products/ST2738-DB_20_800x.jpg?v=1689772424, https://frenchcrown.in/cdn/shop/products/ST2738-DB_21_800x.jpg?v=1689772424, https://frenchcrown.in/cdn/shop/products/ST2738-DB_22_800x.jpg?v=1689772424",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Elevate your style game with the Baltic Sea Blue with Tuna navy blue Checkered Wool Rich Double
Breasted Suit. This striking ensemble showcases a unique blend of sophistication and personality.
The checkered pattern in tuna blue adds a touch of playfulness, while the wool-rich fabric exudes
luxury and comfort. Stand out from the crowd and make a statement with this remarkable double-
breasted suit.",1689676850
Noir Maroon Tweed Single Breasted Designer Suit,"9,997"," Story Embrace classic sophistication with the Noir Brown Tweed Single Breasted Designer Suit.
Crafted with meticulous attention to detail, this ensemble showcases the timeless charm of tweed.
The rich brown hue adds warmth and versatility to your wardrobe while the patch pockets add
sophestication, making it a stylish choice for both formal and semi-formal occasions. Elevate your
fashion game with this distinguished suit.",Men’s,Men’s Suits,"https://frenchcrown.in/cdn/shop/products/ST2732-SB-PP-D150_1_360x.jpg?v=1689676263, https://frenchcrown.in/cdn/shop/products/ST2732-SB-PP-D150_1_800x.jpg?v=1689676263, https://frenchcrown.in/cdn/shop/products/ST2732-SB-PP-D150_2_800x.jpg?v=1689676263, https://frenchcrown.in/cdn/shop/products/ST2732-SB-PP-D150_4_800x.jpg?v=1689676263, https://frenchcrown.in/cdn/shop/products/ST2732-SB-PP-D150_5_800x.jpg?v=1689676263, https://frenchcrown.in/cdn/shop/products/ST2732-SB-PP-D150_6_800x.jpg?v=1689676263, https://frenchcrown.in/cdn/shop/products/ST2732-SB-PP-D150_7_800x.jpg?v=1689676263, https://frenchcrown.in/cdn/shop/products/ST2732-SB-PP-D150_8_800x.jpg?v=1689676263, https://frenchcrown.in/cdn/shop/products/ST2732-SB-PP-D150_9_800x.jpg?v=1689676263, https://frenchcrown.in/cdn/shop/products/ST2732-SB-PP-D150_10_800x.jpg?v=1689676263, https://frenchcrown.in/cdn/shop/products/ST2732-SB-PP-D150_11_800x.jpg?v=1689676263, https://frenchcrown.in/cdn/shop/products/ST2732-SB-PP-D150_12_800x.jpg?v=1689676263, https://frenchcrown.in/cdn/shop/products/ST2732-SB-PP-D150_13_800x.jpg?v=1689676263, https://frenchcrown.in/cdn/shop/products/ST2732-SB-PP-D150_14_800x.jpg?v=1689676263, https://frenchcrown.in/cdn/shop/products/ST2732-SB-PP-D150_15_800x.jpg?v=1689676263, https://frenchcrown.in/cdn/shop/products/ST2732-SB-PP-D150_16_800x.jpg?v=1689676263, https://frenchcrown.in/cdn/shop/products/ST2732-SB-PP-D150_17_800x.jpg?v=1689676263, https://frenchcrown.in/cdn/shop/products/ST2732-SB-PP-D150_18_800x.jpg?v=1689676263, https://frenchcrown.in/cdn/shop/products/ST2732-SB-PP-D150_19_800x.jpg?v=1689676263, https://frenchcrown.in/cdn/shop/products/ST2732-SB-PP-D150_20_800x.jpg?v=1689676263, https://frenchcrown.in/cdn/shop/products/ST2732-SB-PP-D150_21_800x.jpg?v=1689676263, https://frenchcrown.in/cdn/shop/products/ST2732-SB-PP-D150_22_800x.jpg?v=1689676263, https://frenchcrown.in/cdn/shop/products/ST2732-SB-PP-D150_23_800x.jpg?v=1689676263, https://frenchcrown.in/cdn/shop/products/ST2732-SB-PP-D150_24_800x.jpg?v=1689676263, https://frenchcrown.in/cdn/shop/products/ST2732-SB-PP-D150_25_800x.jpg?v=1689676263",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Embrace classic sophistication with the Noir Brown Tweed Single Breasted Designer Suit. Crafted with
meticulous attention to detail, this ensemble showcases the timeless charm of tweed. The rich brown
hue adds warmth and versatility to your wardrobe while the patch pockets add sophestication, making
it a stylish choice for both formal and semi-formal occasions. Elevate your fashion game with this
distinguished suit.",1689676263
Baltic Blue with White Piping Work and Checkered Wool Rich Designer Suit,"9,997"," Story Step into the realm of timeless style with the Baltic Blue with White Piping Work and
Checkered Wool Rich Designer Suit. This exquisite ensemble showcases impeccable craftsmanship and
attention to detail. The combination of Baltic blue and white piping work with a checkered pattern
creates a visually striking contrast, adding a touch of sophistication. Crafted from premium wool,
this suit offers both comfort and elegance. Elevate your fashion game with this distinguished suit.",Men’s,Men’s Suits,"https://frenchcrown.in/cdn/shop/products/ST2737-SB-D84_1_360x.jpg?v=1689676752, https://frenchcrown.in/cdn/shop/products/ST2737-SB-D84_1_800x.jpg?v=1689676752, https://frenchcrown.in/cdn/shop/products/ST2737-SB-D84_2_800x.jpg?v=1689676752, https://frenchcrown.in/cdn/shop/products/ST2737-SB-D84_4_800x.jpg?v=1689676752, https://frenchcrown.in/cdn/shop/products/ST2737-SB-D84_5_800x.jpg?v=1689676752, https://frenchcrown.in/cdn/shop/products/ST2737-SB-D84_6_800x.jpg?v=1689676752, https://frenchcrown.in/cdn/shop/products/ST2737-SB-D84_7_800x.jpg?v=1689676752, https://frenchcrown.in/cdn/shop/products/ST2737-SB-D84_8_800x.jpg?v=1689676752, https://frenchcrown.in/cdn/shop/products/ST2737-SB-D84_9_800x.jpg?v=1689676752, https://frenchcrown.in/cdn/shop/products/ST2737-SB-D84_10_800x.jpg?v=1689676752, https://frenchcrown.in/cdn/shop/products/ST2737-SB-D84_11_800x.jpg?v=1689676752, https://frenchcrown.in/cdn/shop/products/ST2737-SB-D84_12_800x.jpg?v=1689676752, https://frenchcrown.in/cdn/shop/products/ST2737-SB-D84_13_800x.jpg?v=1689676752, https://frenchcrown.in/cdn/shop/products/ST2737-SB-D84_14_800x.jpg?v=1689676752, https://frenchcrown.in/cdn/shop/products/ST2737-SB-D84_15_800x.jpg?v=1689676752, https://frenchcrown.in/cdn/shop/products/ST2737-SB-D84_16_800x.jpg?v=1689676752, https://frenchcrown.in/cdn/shop/files/ST2737-SB-D84_17_800x.jpg?v=1689772199, https://frenchcrown.in/cdn/shop/files/ST2737-SB-D84_18_800x.jpg?v=1689772199, https://frenchcrown.in/cdn/shop/products/ST2737-SB-D84_19_800x.jpg?v=1689772199, https://frenchcrown.in/cdn/shop/products/ST2737-SB-D84_20_800x.jpg?v=1689772199, https://frenchcrown.in/cdn/shop/products/ST2737-SB-D84_21_800x.jpg?v=1689772199",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Step into the realm of timeless style with the Baltic Blue with White Piping Work and Checkered Wool
Rich Designer Suit. This exquisite ensemble showcases impeccable craftsmanship and attention to
detail. The combination of Baltic blue and white piping work with a checkered pattern creates a
visually striking contrast, adding a touch of sophistication. Crafted from premium wool, this suit
offers both comfort and elegance. Elevate your fashion game with this distinguished suit.",1689676752
Mirage Blue Wool Rich Double Breasted Suit,"8,497"," Story Elevate your style with the Mirage Blue Wool Rich Double Breasted Suit. This sophisticated
ensemble exudes timeless elegance and classic charm. The Mirage Blue hue adds depth and versatility
to your wardrobe, making it suitable for various occasions. Crafted with precision and attention to
detail, this double-breasted suit showcases impeccable tailoring. Make a confident statement with
this distinguished suit.",Men’s,Men’s Suits,"https://frenchcrown.in/cdn/shop/products/ST2727-DB_1_360x.jpg?v=1689675792, https://frenchcrown.in/cdn/shop/products/ST2727-DB_1_800x.jpg?v=1689675792, https://frenchcrown.in/cdn/shop/products/ST2727-DB_2_800x.jpg?v=1689675792, https://frenchcrown.in/cdn/shop/products/ST2727-DB_4_800x.jpg?v=1689675792, https://frenchcrown.in/cdn/shop/products/ST2727-DB_5_800x.jpg?v=1689675792, https://frenchcrown.in/cdn/shop/products/ST2727-DB_6_800x.jpg?v=1689675792, https://frenchcrown.in/cdn/shop/products/ST2727-DB_7_800x.jpg?v=1689675792, https://frenchcrown.in/cdn/shop/products/ST2727-DB_8_800x.jpg?v=1689675792, https://frenchcrown.in/cdn/shop/products/ST2727-DB_9_800x.jpg?v=1689675792, https://frenchcrown.in/cdn/shop/products/ST2727-DB_10_800x.jpg?v=1689675792, https://frenchcrown.in/cdn/shop/products/ST2727-DB_11_800x.jpg?v=1689675792, https://frenchcrown.in/cdn/shop/products/ST2727-DB_12_800x.jpg?v=1689675792, https://frenchcrown.in/cdn/shop/products/ST2727-DB_13_800x.jpg?v=1689675792, https://frenchcrown.in/cdn/shop/products/ST2727-DB_14_800x.jpg?v=1689675792, https://frenchcrown.in/cdn/shop/products/ST2727-DB_15_800x.jpg?v=1689675792, https://frenchcrown.in/cdn/shop/products/ST2727-DB_16_800x.jpg?v=1689675792, https://frenchcrown.in/cdn/shop/products/ST2727-DB_17_800x.jpg?v=1689675792, https://frenchcrown.in/cdn/shop/products/ST2727-DB_18_800x.jpg?v=1689675792, https://frenchcrown.in/cdn/shop/products/ST2727-DB_19_800x.jpg?v=1689675792, https://frenchcrown.in/cdn/shop/products/ST2727-DB_20_800x.jpg?v=1689675792, https://frenchcrown.in/cdn/shop/products/ST2727-DB_21_800x.jpg?v=1689675792",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Elevate your style with the Mirage Blue Wool Rich Double Breasted Suit. This sophisticated ensemble
exudes timeless elegance and classic charm. The Mirage Blue hue adds depth and versatility to your
wardrobe, making it suitable for various occasions. Crafted with precision and attention to detail,
this double-breasted suit showcases impeccable tailoring. Make a confident statement with this
distinguished suit.",1689675792
Chicago Gray Checkered Wool Rich Single Breasted Suit,"10,997"," Story Elevate your style with the Chicago Gray Checkered Wool Rich Single Breasted Suit. This
sophisticated ensemble combines classic charm with contemporary flair. The gray checkered pattern
adds a touch of refinement and visual interest, while the single-breasted design exudes timeless
elegance. Crafted from high-quality wool, this suit offers both comfort and durability. Make a
stylish statement with this distinguished suit.",Men’s,Men’s Suits,"https://frenchcrown.in/cdn/shop/products/ST2741-SB_1_360x.jpg?v=1689677130, https://frenchcrown.in/cdn/shop/products/ST2741-SB_1_800x.jpg?v=1689677130, https://frenchcrown.in/cdn/shop/products/ST2741-SB_2_800x.jpg?v=1689677130, https://frenchcrown.in/cdn/shop/products/ST2741-SB_4_800x.jpg?v=1689677130, https://frenchcrown.in/cdn/shop/products/ST2741-SB_5_800x.jpg?v=1689677130, https://frenchcrown.in/cdn/shop/products/ST2741-SB_6_800x.jpg?v=1689677130, https://frenchcrown.in/cdn/shop/products/ST2741-SB_7_800x.jpg?v=1689677130, https://frenchcrown.in/cdn/shop/products/ST2741-SB_8_800x.jpg?v=1689677130, https://frenchcrown.in/cdn/shop/products/ST2741-SB_9_800x.jpg?v=1689677130, https://frenchcrown.in/cdn/shop/products/ST2741-SB_10_800x.jpg?v=1689677131, https://frenchcrown.in/cdn/shop/products/ST2741-SB_11_800x.jpg?v=1689677131, https://frenchcrown.in/cdn/shop/products/ST2741-SB_12_800x.jpg?v=1689677131, https://frenchcrown.in/cdn/shop/products/ST2741-SB_13_800x.jpg?v=1689677131, https://frenchcrown.in/cdn/shop/products/ST2741-SB_14_800x.jpg?v=1689677131, https://frenchcrown.in/cdn/shop/products/ST2741-SB_15_800x.jpg?v=1689677131, https://frenchcrown.in/cdn/shop/products/ST2741-SB_16_800x.jpg?v=1689677131, https://frenchcrown.in/cdn/shop/products/ST2741-SB_17_800x.jpg?v=1689677131, https://frenchcrown.in/cdn/shop/products/ST2741-SB_18_800x.jpg?v=1689677131, https://frenchcrown.in/cdn/shop/products/ST2741-SB_19_800x.jpg?v=1689677131, https://frenchcrown.in/cdn/shop/products/ST2741-SB_20_800x.jpg?v=1689677131, https://frenchcrown.in/cdn/shop/products/ST2741-SB_21_800x.jpg?v=1689677131, https://frenchcrown.in/cdn/shop/products/ST2741-SB_22_800x.jpg?v=1689677131, https://frenchcrown.in/cdn/shop/products/ST2741-SB_23_800x.jpg?v=1689677131",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Elevate your style with the Chicago Gray Checkered Wool Rich Single Breasted Suit. This
sophisticated ensemble combines classic charm with contemporary flair. The gray checkered pattern
adds a touch of refinement and visual interest, while the single-breasted design exudes timeless
elegance. Crafted from high-quality wool, this suit offers both comfort and durability. Make a
stylish statement with this distinguished suit.",1689677130
Gable Green Single Breasted Wool Rich Suit,"8,497"," Story Dapper and sophisticated, the Gable Green Single Breasted Wool Rich Suit is a true style
statement. Crafted with precision and attention to detail, this timeless ensemble exudes elegance.
The rich green hue adds a touch of allure, making it perfect for formal occasions or a sharp
sartorial choice. Elevate your wardrobe with this impeccable suit.",Men’s,Men’s Suits,"https://frenchcrown.in/cdn/shop/files/ST2728-SB_1_360x.jpg?v=1689771403, https://frenchcrown.in/cdn/shop/files/ST2728-SB_1_800x.jpg?v=1689771403, https://frenchcrown.in/cdn/shop/products/ST2728-SB_2_800x.jpg?v=1689771403, https://frenchcrown.in/cdn/shop/products/ST2728-SB_4_800x.jpg?v=1689771403, https://frenchcrown.in/cdn/shop/products/ST2728-SB_5_800x.jpg?v=1689771403, https://frenchcrown.in/cdn/shop/products/ST2728-SB_6_800x.jpg?v=1689771403, https://frenchcrown.in/cdn/shop/products/ST2728-SB_7_800x.jpg?v=1689771403, https://frenchcrown.in/cdn/shop/products/ST2728-SB_8_800x.jpg?v=1689771403, https://frenchcrown.in/cdn/shop/products/ST2728-SB_9_800x.jpg?v=1689771403, https://frenchcrown.in/cdn/shop/products/ST2728-SB_10_800x.jpg?v=1689771403, https://frenchcrown.in/cdn/shop/products/ST2728-SB_11_800x.jpg?v=1689771403, https://frenchcrown.in/cdn/shop/products/ST2728-SB_12_800x.jpg?v=1689771403, https://frenchcrown.in/cdn/shop/products/ST2728-SB_13_800x.jpg?v=1689771403, https://frenchcrown.in/cdn/shop/products/ST2728-SB_14_800x.jpg?v=1689771403, https://frenchcrown.in/cdn/shop/products/ST2728-SB_15_800x.jpg?v=1689771403, https://frenchcrown.in/cdn/shop/products/ST2728-SB_16_800x.jpg?v=1689771403, https://frenchcrown.in/cdn/shop/files/ST2728-SB_17_800x.jpg?v=1689771403, https://frenchcrown.in/cdn/shop/files/ST2728-SB_18_800x.jpg?v=1689771403, https://frenchcrown.in/cdn/shop/products/ST2728-SB_19_800x.jpg?v=1689771403, https://frenchcrown.in/cdn/shop/products/ST2728-SB_20_800x.jpg?v=1689771403, https://frenchcrown.in/cdn/shop/products/ST2728-SB_21_800x.jpg?v=1689771403",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Dapper and sophisticated, the Gable Green Single Breasted Wool Rich Suit is a true style statement.
Crafted with precision and attention to detail, this timeless ensemble exudes elegance. The rich
green hue adds a touch of allure, making it perfect for formal occasions or a sharp sartorial
choice. Elevate your wardrobe with this impeccable suit.",1689771403
Dorado Brown with Casper Gray Plaid Wool Rich Double Breasted Suit,"8,497"," Story Make a bold statement with the Dorado Brown with Casper gray Plaid Wool Rich Double Breasted
Suit. This exceptional ensemble combines timeless elegance with a contemporary edge. The Dorado
brown and Casper gray plaid pattern creates a visually striking contrast, showcasing your unique
style. Crafted from high-quality wool, this suit offers both comfort and durability. Stand out from
the crowd and exude confidence with this remarkable double-breasted suit.",Men’s,Men’s Suits,"https://frenchcrown.in/cdn/shop/products/ST2745-DB_1_360x.jpg?v=1689677514, https://frenchcrown.in/cdn/shop/products/ST2745-DB_1_800x.jpg?v=1689677514, https://frenchcrown.in/cdn/shop/products/ST2745-DB_2_800x.jpg?v=1689677514, https://frenchcrown.in/cdn/shop/products/ST2745-DB_4_800x.jpg?v=1689677514, https://frenchcrown.in/cdn/shop/products/ST2745-DB_5_800x.jpg?v=1689677514, https://frenchcrown.in/cdn/shop/products/ST2745-DB_6_800x.jpg?v=1689677514, https://frenchcrown.in/cdn/shop/products/ST2745-DB_7_800x.jpg?v=1689677514, https://frenchcrown.in/cdn/shop/products/ST2745-DB_8_800x.jpg?v=1689677514, https://frenchcrown.in/cdn/shop/products/ST2745-DB_9_800x.jpg?v=1689677514, https://frenchcrown.in/cdn/shop/products/ST2745-DB_10_800x.jpg?v=1689677514, https://frenchcrown.in/cdn/shop/products/ST2745-DB_11_800x.jpg?v=1689677514, https://frenchcrown.in/cdn/shop/products/ST2745-DB_12_800x.jpg?v=1689677514, https://frenchcrown.in/cdn/shop/products/ST2745-DB_13_800x.jpg?v=1689677514, https://frenchcrown.in/cdn/shop/products/ST2745-DB_14_800x.jpg?v=1689677514, https://frenchcrown.in/cdn/shop/products/ST2745-DB_15_800x.jpg?v=1689677514, https://frenchcrown.in/cdn/shop/products/ST2745-DB_16_800x.jpg?v=1689677514, https://frenchcrown.in/cdn/shop/products/ST2745-DB_17_800x.jpg?v=1689677514",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Make a bold statement with the Dorado Brown with Casper gray Plaid Wool Rich Double Breasted Suit.
This exceptional ensemble combines timeless elegance with a contemporary edge. The Dorado brown and
Casper gray plaid pattern creates a visually striking contrast, showcasing your unique style.
Crafted from high-quality wool, this suit offers both comfort and durability. Stand out from the
crowd and exude confidence with this remarkable double-breasted suit.",1689677514
Half Black and Half Battleship Gray Checkered Wool Rich Double Breasted Designer Suit,"10,997"," Story Make a bold fashion statement with the Half Black and Half Battleship Gray Checkered Wool
Rich Double Breasted Designer Suit. This extraordinary ensemble combines unique design with timeless
sophistication. The half black and half battleship gray checkered pattern creates a visually
striking contrast, setting you apart from the crowd. Crafted with meticulous attention to detail,
this double-breasted suit is a testament to your impeccable taste. Embrace the power of fashion and
make a lasting impression with this remarkable suit.",Men’s,Men’s Suits,"https://frenchcrown.in/cdn/shop/files/ST2748-DB_1_360x.jpg?v=1689685220, https://frenchcrown.in/cdn/shop/files/ST2748-DB_1_800x.jpg?v=1689685220, https://frenchcrown.in/cdn/shop/files/ST2748-DB_2_800x.jpg?v=1689685220, https://frenchcrown.in/cdn/shop/files/ST2748-DB_4_800x.jpg?v=1689685221, https://frenchcrown.in/cdn/shop/files/ST2748-DB_5_800x.jpg?v=1689685218, https://frenchcrown.in/cdn/shop/files/ST2748-DB_6_800x.jpg?v=1689685221, https://frenchcrown.in/cdn/shop/files/ST2748-DB_7_800x.jpg?v=1689685363, https://frenchcrown.in/cdn/shop/files/ST2748-DB_8_800x.jpg?v=1689685363, https://frenchcrown.in/cdn/shop/files/ST2748-DB_9_800x.jpg?v=1689685363, https://frenchcrown.in/cdn/shop/files/ST2748-DB_10_800x.jpg?v=1689685363, https://frenchcrown.in/cdn/shop/files/ST2748-DB_11_800x.jpg?v=1689685363, https://frenchcrown.in/cdn/shop/files/ST2748-DB_12_800x.jpg?v=1689856339, https://frenchcrown.in/cdn/shop/files/ST2748-DB_13_800x.jpg?v=1689856339, https://frenchcrown.in/cdn/shop/files/ST2748-DB_14_800x.jpg?v=1689856339, https://frenchcrown.in/cdn/shop/files/ST2748-DB_15_800x.jpg?v=1689856339, https://frenchcrown.in/cdn/shop/files/ST2748-DB_16_800x.jpg?v=1689856339, https://frenchcrown.in/cdn/shop/files/ST2748-DB_17_800x.jpg?v=1689856339",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Make a bold fashion statement with the Half Black and Half Battleship Gray Checkered Wool Rich
Double Breasted Designer Suit. This extraordinary ensemble combines unique design with timeless
sophistication. The half black and half battleship gray checkered pattern creates a visually
striking contrast, setting you apart from the crowd. Crafted with meticulous attention to detail,
this double-breasted suit is a testament to your impeccable taste. Embrace the power of fashion and
make a lasting impression with this remarkable suit.",1689685220
Bleached Cedar Blue Stretchable Wool rich Double Breasted Suit,"9,997"," Story Make a bold style statement with this Bleached Cedar Blue Stretchable Wool Rich Double
Breasted Suit. The unique bleached cedar blue shade catches attention, while the stretchable
wool-rich fabric ensures maximum comfort and flexibility. The double-breasted design adds a touch of
sophistication to the ensemble. Perfect for formal events or trendy occasions, this suit combines
fashion-forwardness with unparalleled comfort. Elevate your fashion game with this modern and
versatile suit.",Men’s,Men’s Suits,"https://frenchcrown.in/cdn/shop/files/ST2758-DB_1_360x.jpg?v=1689686342, https://frenchcrown.in/cdn/shop/files/ST2758-DB_1_800x.jpg?v=1689686342, https://frenchcrown.in/cdn/shop/files/ST2758-DB_2_800x.jpg?v=1689686344, https://frenchcrown.in/cdn/shop/files/ST2758-DB_4_800x.jpg?v=1689686344, https://frenchcrown.in/cdn/shop/files/ST2758-DB_5_800x.jpg?v=1689686343, https://frenchcrown.in/cdn/shop/files/ST2758-DB_6_800x.jpg?v=1689686341, https://frenchcrown.in/cdn/shop/files/ST2758-DB_7_800x.jpg?v=1689686345, https://frenchcrown.in/cdn/shop/files/ST2758-DB_8_800x.jpg?v=1689686345, https://frenchcrown.in/cdn/shop/files/ST2758-DB_9_800x.jpg?v=1689686341, https://frenchcrown.in/cdn/shop/files/ST2758-DB_10_800x.jpg?v=1689686343, https://frenchcrown.in/cdn/shop/files/ST2758-DB_12_d46465f8-7eb6-44be-b5a9-3a319e30a207_800x.jpg?v=1689857216, https://frenchcrown.in/cdn/shop/files/ST2758-DB_11_478327e2-6260-4f53-84d9-08893df75d7b_800x.jpg?v=1689857216, https://frenchcrown.in/cdn/shop/files/ST2758-DB_13_800x.jpg?v=1689857216, https://frenchcrown.in/cdn/shop/files/ST2758-DB_14_800x.jpg?v=1689857216, https://frenchcrown.in/cdn/shop/files/ST2758-DB_15_800x.jpg?v=1689857216, https://frenchcrown.in/cdn/shop/files/ST2758-DB_16_800x.jpg?v=1689857216, https://frenchcrown.in/cdn/shop/files/ST2758-DB_17_800x.jpg?v=1689857216",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Make a bold style statement with this Bleached Cedar Blue Stretchable Wool Rich Double Breasted
Suit. The unique bleached cedar blue shade catches attention, while the stretchable wool-rich fabric
ensures maximum comfort and flexibility. The double-breasted design adds a touch of sophistication
to the ensemble. Perfect for formal events or trendy occasions, this suit combines fashion-
forwardness with unparalleled comfort. Elevate your fashion game with this modern and versatile
suit.",1689686342
Haiti Navy Blue Wool Rich Bandhgala Designer Suit,"8,497"," Story Make a statement of refined elegance with the Haiti Navy Blue Wool Rich Bandhgala Designer
Suit, featuring hook and concealed plackets. This exceptional ensemble blends traditional Indian
heritage with contemporary sophistication. The deep Haiti Navu blue hue exudes regality, while the
bandhgala design adds a touch of timeless charm. Crafted with meticulous attention to detail, the
hook and concealed plackets offer a sleek and seamless look. Embrace the perfect fusion of tradition
and modernity with this remarkable suit.",Men’s,Men’s Suits,"https://frenchcrown.in/cdn/shop/files/ST2751-GB_1_360x.jpg?v=1689685305, https://frenchcrown.in/cdn/shop/files/ST2751-GB_1_800x.jpg?v=1689685305, https://frenchcrown.in/cdn/shop/files/ST2751-GB_2_800x.jpg?v=1689685306, https://frenchcrown.in/cdn/shop/files/ST2751-GB_4_800x.jpg?v=1689685304, https://frenchcrown.in/cdn/shop/files/ST2751-GB_5_800x.jpg?v=1689685304, https://frenchcrown.in/cdn/shop/files/ST2751-GB_6_800x.jpg?v=1689685305, https://frenchcrown.in/cdn/shop/files/ST2751-GB_7_800x.jpg?v=1689685308, https://frenchcrown.in/cdn/shop/files/ST2751-GB_8_800x.jpg?v=1689685309, https://frenchcrown.in/cdn/shop/files/ST2751-GB_9_800x.jpg?v=1689685304, https://frenchcrown.in/cdn/shop/files/ST2751-GB_10_800x.jpg?v=1689685304, https://frenchcrown.in/cdn/shop/files/ST2751-GB_11_800x.jpg?v=1689685307, https://frenchcrown.in/cdn/shop/files/ST2751-GB_12_800x.jpg?v=1689685305, https://frenchcrown.in/cdn/shop/files/ST2751-GB_13_800x.jpg?v=1689685306, https://frenchcrown.in/cdn/shop/files/ST2751-GB_14_800x.jpg?v=1689685306, https://frenchcrown.in/cdn/shop/files/ST2751-GB_15_800x.jpg?v=1689685309, https://frenchcrown.in/cdn/shop/files/ST2751-GB_16_800x.jpg?v=1689685308, https://frenchcrown.in/cdn/shop/files/ST2751-GB_17_800x.jpg?v=1689685307, https://frenchcrown.in/cdn/shop/files/ST2751-GB_18_800x.jpg?v=1689685307",Select Size,36 / XS|38 / S|40 / M|42 / L|44 / L|46 / XL|48 / XXL|50 / XXL|52 / 3XL|54 / 3XL|56 / 4XL|58 / 4XL|60 / 5XL,"Make a statement of refined elegance with the Haiti Navy Blue Wool Rich Bandhgala Designer Suit,
featuring hook and concealed plackets. This exceptional ensemble blends traditional Indian heritage
with contemporary sophistication. The deep Haiti Navu blue hue exudes regality, while the bandhgala
design adds a touch of timeless charm. Crafted with meticulous attention to detail, the hook and
concealed plackets offer a sleek and seamless look. Embrace the perfect fusion of tradition and
modernity with this remarkable suit.",1689685305
