title,price,brand,story_description,category,sub_category,image_urls,size_title,size,description,id
Jade Black Velvet Embroidered Hand stitched Slip-On Shoes,"2,897",Frenchcrown," Story Indulge in opulence with these velvet embroidered Slip-On shoes. The deep jade black hue
exudes luxury, while the exquisite embroidery adds intricate detail. Crafted using hand-stitching,
these Slip-On shoes are both stylish and eco-friendly. Elevate your wedding ensemble with these
meticulously crafted, cruelty-free Slip-On shoes and make a statement of refined sophistication.",Men’s,Men’s Footwear,"https://frenchcrown.in/cdn/shop/files/FT104_1_360x.jpg?v=1688381035, https://frenchcrown.in/cdn/shop/files/FT104_1_800x.jpg?v=1688381035, https://frenchcrown.in/cdn/shop/files/FT104_2_800x.jpg?v=1688381033, https://frenchcrown.in/cdn/shop/files/FT104_4_800x.jpg?v=1688381034, https://frenchcrown.in/cdn/shop/files/FT104_5_800x.jpg?v=1688381035, https://frenchcrown.in/cdn/shop/files/FT104_6_800x.jpg?v=1688381035, https://frenchcrown.in/cdn/shop/files/FT104_7_800x.jpg?v=1688381034, https://frenchcrown.in/cdn/shop/files/FT104_8_800x.jpg?v=1688381036",Select Size,UK6 / EU40|UK7 / EU41|UK8 / EU42|UK9 / EU43|UK10 / EU44|UK11 / EU45,"Indulge in opulence with these velvet embroidered Slip-On shoes. The deep jade black hue exudes
luxury, while the exquisite embroidery adds intricate detail. Crafted using hand-stitching, these
Slip-On shoes are both stylish and eco-friendly. Elevate your wedding ensemble with these
meticulously crafted, cruelty-free Slip-On shoes and make a statement of refined sophistication.",1688381035
Bright White Golden Zardosi Vegan Leather Hand stitched Slip-On Shoes,"4,997",Frenchcrown," Story Make a stylish statement on your wedding day with these trendy, bright white Zardosi Slip-On
Shoes. Crafted by hand and stitched to perfection, these Slip-On shoes combine classic elegance with
a modern twist. The intricate zardosi work adds a touch of sophistication, while the sleek white
color brings a contemporary vibe to your look. Walk down the aisle in style and leave a lasting
impression with these stunning Slip-On shoes.",Men’s,Men’s Footwear,"https://frenchcrown.in/cdn/shop/files/FT088_1_360x.jpg?v=1688377312, https://frenchcrown.in/cdn/shop/files/FT088_1_800x.jpg?v=1688377312, https://frenchcrown.in/cdn/shop/files/FT088_2_800x.jpg?v=1688377312, https://frenchcrown.in/cdn/shop/files/FT088_4_800x.jpg?v=1688377313, https://frenchcrown.in/cdn/shop/files/FT088_5_800x.jpg?v=1688377311, https://frenchcrown.in/cdn/shop/files/FT088_6_800x.jpg?v=1688377313, https://frenchcrown.in/cdn/shop/files/FT088_7_800x.jpg?v=1688377311, https://frenchcrown.in/cdn/shop/files/FT088_8_800x.jpg?v=1688377311",Select Size,UK6 / EU40|UK7 / EU41|UK8 / EU42|UK9 / EU43|UK10 / EU44|UK11 / EU45,"Make a stylish statement on your wedding day with these trendy, bright white Zardosi Slip-On Shoes.
Crafted by hand and stitched to perfection, these Slip-On shoes combine classic elegance with a
modern twist. The intricate zardosi work adds a touch of sophistication, while the sleek white color
brings a contemporary vibe to your look. Walk down the aisle in style and leave a lasting impression
with these stunning Slip-On shoes.",1688377312
Dark Brown Golden Zardosi Vegan Leather Hand stitched Jutis,"4,997",Frenchcrown," Story Step into refined elegance with these zardosi vegan leather juits in dark brown. These
cruelty-free and eco-friendly juits are a stylish choice for the conscious groom. The rich brown hue
exudes sophistication, while the intricate embroidery Work adds a touch of luxury. Walk down the
aisle in comfort and style with these impeccably crafted vegan leather juits.",Men’s,Men’s Footwear,"https://frenchcrown.in/cdn/shop/files/FT089_1_360x.jpg?v=1688377519, https://frenchcrown.in/cdn/shop/files/FT089_1_800x.jpg?v=1688377519, https://frenchcrown.in/cdn/shop/files/FT089_2_800x.jpg?v=1688377519, https://frenchcrown.in/cdn/shop/files/FT089_4_800x.jpg?v=1688377517, https://frenchcrown.in/cdn/shop/files/FT089_5_800x.jpg?v=1688377520, https://frenchcrown.in/cdn/shop/files/FT089_6_800x.jpg?v=1688377518, https://frenchcrown.in/cdn/shop/files/FT089_7_800x.jpg?v=1688377520, https://frenchcrown.in/cdn/shop/files/FT089_8_800x.jpg?v=1688377518",Select Size,UK6 / EU40|UK7 / EU41|UK8 / EU42|UK9 / EU43|UK10 / EU44|UK11 / EU45,"Step into refined elegance with these zardosi vegan leather juits in dark brown. These cruelty-free
and eco-friendly juits are a stylish choice for the conscious groom. The rich brown hue exudes
sophistication, while the intricate embroidery Work adds a touch of luxury. Walk down the aisle in
comfort and style with these impeccably crafted vegan leather juits.",1688377519
Jade Black Golden Zardosi Vegan Leather Hand stitched Jutis,"4,997",Frenchcrown," Story Step into refined elegance with these zardosi, vegan leather juits in Jade Black. These
cruelty-free and eco-friendly juits are a stylish choice for the conscious groom. The rich black hue
exudes sophistication, while the intricate embroidery Work adds a touch of luxury. Walk down the
aisle in comfort and style with these impeccably crafted, leather-free groom juits.",Men’s,Men’s Footwear,"https://frenchcrown.in/cdn/shop/files/FT090_1_360x.jpg?v=1688377705, https://frenchcrown.in/cdn/shop/files/FT090_1_800x.jpg?v=1688377705, https://frenchcrown.in/cdn/shop/files/FT090_2_800x.jpg?v=1688377704, https://frenchcrown.in/cdn/shop/files/FT090_5_800x.jpg?v=1688377703, https://frenchcrown.in/cdn/shop/files/FT090_6_800x.jpg?v=1688377703, https://frenchcrown.in/cdn/shop/files/FT090_7_800x.jpg?v=1688377705, https://frenchcrown.in/cdn/shop/files/FT090_8_800x.jpg?v=1688377703, https://frenchcrown.in/cdn/shop/files/FT090_9_800x.jpg?v=1688377702",Select Size,UK6 / EU40|UK7 / EU41|UK8 / EU42|UK9 / EU43|UK10 / EU44|UK11 / EU45,"Step into refined elegance with these zardosi, vegan leather juits in Jade Black. These cruelty-free
and eco-friendly juits are a stylish choice for the conscious groom. The rich black hue exudes
sophistication, while the intricate embroidery Work adds a touch of luxury. Walk down the aisle in
comfort and style with these impeccably crafted, leather-free groom juits.",1688377705
Dark Brown Golden Zardosi Vegan Leather Hand stitched Slip-On Shoes,"4,997",Frenchcrown," Story Step into refined elegance with these Zardosi vegan leather Slip-On Shoes in Dark Brown.
These Hand stitched and eco-friendly Slip-On shoes are a stylish choice for the conscious groom. The
rich brown hue exudes sophistication, while the intricate Zardosi work adds a touch of luxury. Walk
down the aisle in comfort and style with these impeccably crafted vegan leather Slip-On shoes.",Men’s,Men’s Footwear,"https://frenchcrown.in/cdn/shop/files/FT091_1_360x.jpg?v=1688377926, https://frenchcrown.in/cdn/shop/files/FT091_1_800x.jpg?v=1688377926, https://frenchcrown.in/cdn/shop/files/FT091_2_800x.jpg?v=1688377926, https://frenchcrown.in/cdn/shop/files/FT091_4_800x.jpg?v=1688377926, https://frenchcrown.in/cdn/shop/files/FT091_5_800x.jpg?v=1688377927, https://frenchcrown.in/cdn/shop/files/FT091_6_800x.jpg?v=1688377929, https://frenchcrown.in/cdn/shop/files/FT091_7_800x.jpg?v=1688377927, https://frenchcrown.in/cdn/shop/files/FT091_8_800x.jpg?v=1688377928",Select Size,UK6 / EU40|UK7 / EU41|UK8 / EU42|UK9 / EU43|UK10 / EU44|UK11 / EU45,"Step into refined elegance with these Zardosi vegan leather Slip-On Shoes in Dark Brown. These Hand
stitched  and eco-friendly Slip-On shoes are a stylish choice for the conscious groom. The rich
brown hue exudes sophistication, while the intricate Zardosi work adds a touch of luxury. Walk down
the aisle in comfort and style with these impeccably crafted vegan leather Slip-On shoes.",1688377926
Cream Golden Zardosi Vegan Leather Hand stitched Slip-On Shoes,"4,997",Frenchcrown," Story Make a stylish statement on your wedding day with these trendy, cream Zardosi Slip-On Shoes.
Crafted by hand and stitched to perfection, these Slip-On shoes combine classic elegance with a
modern twist. The intricate Zardosi work adds a touch of sophistication, while the sleek cream color
gives a contemporary vibe to your look. Walk down the aisle in style and leave a lasting impression
with these stunning Slip-On shoes.",Men’s,Men’s Footwear,"https://frenchcrown.in/cdn/shop/files/FT092_1_360x.jpg?v=1688378141, https://frenchcrown.in/cdn/shop/files/FT092_1_800x.jpg?v=1688378141, https://frenchcrown.in/cdn/shop/files/FT092_2_800x.jpg?v=1688378143, https://frenchcrown.in/cdn/shop/files/FT092_4_800x.jpg?v=1688378140, https://frenchcrown.in/cdn/shop/files/FT092_5_800x.jpg?v=1688378142, https://frenchcrown.in/cdn/shop/files/FT092_6_800x.jpg?v=1688378141, https://frenchcrown.in/cdn/shop/files/FT092_7_800x.jpg?v=1688378140, https://frenchcrown.in/cdn/shop/files/FT092_8_800x.jpg?v=1688378142",Select Size,UK6 / EU40|UK7 / EU41|UK8 / EU42|UK9 / EU43|UK10 / EU44|UK11 / EU45,"Make a stylish statement on your wedding day with these trendy, cream Zardosi Slip-On Shoes. Crafted
by hand and stitched to perfection, these Slip-On shoes combine classic elegance with a modern
twist. The intricate Zardosi work adds a touch of sophistication, while the sleek cream color gives
a contemporary vibe to your look. Walk down the aisle in style and leave a lasting impression with
these stunning Slip-On shoes.",1688378141
Dark Brown Golden Zardosi Vegan Leather Hand stitched Slip-On Shoes,"4,997",Frenchcrown," Story Step into refined elegance with these Zardosi vegan leather Slip-On Shoes in Dark Brown.
These Hand stitched and eco-friendly Slip-On shoes are a stylish choice for the conscious groom. The
rich brown hue exudes sophistication, while the intricate Zardosi work adds a touch of luxury. Walk
down the aisle in comfort and style with these impeccably crafted vegan leather Slip-On shoes.",Men’s,Men’s Footwear,"https://frenchcrown.in/cdn/shop/files/FT093_1_360x.jpg?v=1688378455, https://frenchcrown.in/cdn/shop/files/FT093_1_800x.jpg?v=1688378455, https://frenchcrown.in/cdn/shop/files/FT093_2_800x.jpg?v=1688378457, https://frenchcrown.in/cdn/shop/files/FT093_4_800x.jpg?v=1688378456, https://frenchcrown.in/cdn/shop/files/FT093_5_800x.jpg?v=1688378456, https://frenchcrown.in/cdn/shop/files/FT093_6_800x.jpg?v=1688378454, https://frenchcrown.in/cdn/shop/files/FT093_7_800x.jpg?v=1688378458, https://frenchcrown.in/cdn/shop/files/FT093_8_800x.jpg?v=1688378455",Select Size,UK6 / EU40|UK7 / EU41|UK8 / EU42|UK9 / EU43|UK10 / EU44|UK11 / EU45,"Step into refined elegance with these Zardosi vegan leather Slip-On Shoes in Dark Brown. These Hand
stitched and eco-friendly Slip-On shoes are a stylish choice for the conscious groom. The rich brown
hue exudes sophistication, while the intricate Zardosi work adds a touch of luxury. Walk down the
aisle in comfort and style with these impeccably crafted vegan leather Slip-On shoes.",1688378455
Jade Black Golden Zardosi Vegan Leather Hand stitched Slip-On Shoes,"4,997",Frenchcrown," Story Step into refined elegance with these Zardosi vegan leather Slip-On Shoes in Jade Black.
These Hand stitched and eco-friendly Slip-On shoes are a stylish choice for the conscious groom. The
Jade Black hue exudes sophistication, while the intricate Zardosi work adds a touch of luxury. Walk
down the aisle in comfort and style with these impeccably crafted vegan leather Slip-On shoes.",Men’s,Men’s Footwear,"https://frenchcrown.in/cdn/shop/files/FT094_1_360x.jpg?v=1688378931, https://frenchcrown.in/cdn/shop/files/FT094_1_800x.jpg?v=1688378931, https://frenchcrown.in/cdn/shop/files/FT094_2_800x.jpg?v=1688378933, https://frenchcrown.in/cdn/shop/files/FT094_4_800x.jpg?v=1688378933, https://frenchcrown.in/cdn/shop/files/FT094_5_800x.jpg?v=1688378933, https://frenchcrown.in/cdn/shop/files/FT094_6_800x.jpg?v=1688378934, https://frenchcrown.in/cdn/shop/files/FT094_7_800x.jpg?v=1688378934, https://frenchcrown.in/cdn/shop/files/FT094_8_800x.jpg?v=1688378932",Select Size,UK6 / EU40|UK7 / EU41|UK8 / EU42|UK9 / EU43|UK10 / EU44|UK11 / EU45,"Step into refined elegance with these Zardosi vegan leather Slip-On Shoes in Jade Black. These Hand
stitched and eco-friendly Slip-On shoes are a stylish choice for the conscious groom. The Jade Black
hue exudes sophistication, while the intricate Zardosi work adds a touch of luxury. Walk down the
aisle in comfort and style with these impeccably crafted vegan leather Slip-On shoes.",1688378931
Wine Velvet Embroidered Hand stitched Slip-On Shoes,"2,497",Frenchcrown," Story Indulge in opulence with these velvet embroidered Slip-On shoes. The deep wine hue exudes
luxury, while the exquisite embroidery adds intricate detail. Crafted using hand-stitching, these
Slip-On shoes are both stylish and eco-friendly. Elevate your wedding ensemble with these
meticulously crafted, cruelty-free Slip-On shoes and make a statement of refined sophistication.",Men’s,Men’s Footwear,"https://frenchcrown.in/cdn/shop/files/FT095_1_360x.jpg?v=1688379220, https://frenchcrown.in/cdn/shop/files/FT095_1_800x.jpg?v=1688379220, https://frenchcrown.in/cdn/shop/files/FT095_2_800x.jpg?v=1688379219, https://frenchcrown.in/cdn/shop/files/FT095_4_800x.jpg?v=1688379220, https://frenchcrown.in/cdn/shop/files/FT095_5_800x.jpg?v=1688379220, https://frenchcrown.in/cdn/shop/files/FT095_6_800x.jpg?v=1688379219, https://frenchcrown.in/cdn/shop/files/FT095_7_800x.jpg?v=1688379221, https://frenchcrown.in/cdn/shop/files/FT095_8_800x.jpg?v=1688379222",Select Size,UK6 / EU40|UK7 / EU41|UK8 / EU42|UK9 / EU43|UK10 / EU44|UK11 / EU45,"Indulge in opulence with these velvet embroidered Slip-On shoes. The deep wine hue exudes luxury,
while the exquisite embroidery adds intricate detail. Crafted using hand-stitching, these Slip-On
shoes are both stylish and eco-friendly. Elevate your wedding ensemble with these meticulously
crafted, cruelty-free Slip-On shoes and make a statement of refined sophistication.",1688379220
Navy Blue Velvet Embroidered Hand stitched Slip-On Shoes,"2,497",Frenchcrown," Story Indulge in opulence with these velvet embroidered Slip-On shoes. The deep navy blue hue
exudes luxury, while the exquisite embroidery adds intricate detail. Crafted using hand-stitching,
these Slip-On shoes are both stylish and eco-friendly. Elevate your wedding ensemble with these
meticulously crafted, cruelty-free Slip-On shoes and make a statement of refined sophistication.",Men’s,Men’s Footwear,"https://frenchcrown.in/cdn/shop/files/FT096_1_360x.jpg?v=1688379506, https://frenchcrown.in/cdn/shop/files/FT096_1_800x.jpg?v=1688379506, https://frenchcrown.in/cdn/shop/files/FT096_2_800x.jpg?v=1688379508, https://frenchcrown.in/cdn/shop/files/FT096_4_800x.jpg?v=1688379509, https://frenchcrown.in/cdn/shop/files/FT096_5_800x.jpg?v=1688379509, https://frenchcrown.in/cdn/shop/files/FT096_6_800x.jpg?v=1688379507, https://frenchcrown.in/cdn/shop/files/FT096_7_800x.jpg?v=1688379507, https://frenchcrown.in/cdn/shop/files/FT096_8_800x.jpg?v=1688379508",Select Size,UK6 / EU40|UK7 / EU41|UK8 / EU42|UK9 / EU43|UK10 / EU44|UK11 / EU45,"Indulge in opulence with these velvet embroidered Slip-On shoes. The deep navy blue hue exudes
luxury, while the exquisite embroidery adds intricate detail. Crafted using hand-stitching, these
Slip-On shoes are both stylish and eco-friendly. Elevate your wedding ensemble with these
meticulously crafted, cruelty-free Slip-On shoes and make a statement of refined sophistication.",1688379506
