identifier,title,price,description,category,image_urls,variation_titles,name_variations,variations_price,id
bc38b41b0e64b676448d42c555b5281dd28ecca953950f0febb5ed27f3322c2c,Nine Legs Alloy Special Bell and Dorjee,6998.25," In Tibetan Buddhism, Dorje/Vajra “method"" and Bell “wisdom” signifies the union of duality such as
bliss and emptiness, compassion and wisdom, male and female, etc. these bells are also very
significant in the Hindu religion where the bells have different cultural significance differing
from place to place. Height x Diameter ~ 7.7"" x 3.7""",Bells & Dorjes,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20220224-WA0002-01_1024x1024.jpg?v=1645692927,,Default Title   ,6998.25,42613280571638
44cd13dd7a939811ed4f14b69545eac29cb6c087ad7828dc5d4cc94cca5993bd,Ringna Black Special Bell and Dorjee,9623.25," In Tibetan Buddhism, Dorje/Vajra “method"" and Bell “wisdom” signifies the union of duality such as
bliss and emptiness, compassion and wisdom, male and female, etc. these bells are also very
significant in the Hindu religion where the bells have different cultural significance differing
from place to place. Height ~ 7.5"" Weight ~ 700g",Bells & Dorjes,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/1_1024x1024.png?v=1628930291,,Default Title   ,9623.25,40708368760989
8bac066d8a5bbd9cdfeca1a64c342344b6848528b2075e9644b48b5b68e083fd,Gaychey Black Special Bell and Dorjee,9623.25," In Tibetan Buddhism, Dorje/Vajra “method"" and Bell “wisdom” signifies the union of duality such as
bliss and emptiness, compassion and wisdom, male and female, etc. these bells are also very
significant in the Hindu religion where the bells have different cultural significance differing
from place to place. Height ~ 7.5"" Weight ~ 700g",Bells & Dorjes,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/2_1024x1024.png?v=1630319018, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210830-WA0008-01-01_1024x1024.jpg?v=1630319022",,Default Title   ,9623.25,40708380164253
ce0a12e5e73a300614ec6fbba91d3bf96854f193db9f8541346ebd192a2c7c1b,Nine Legs Black Special Bell and Dorjee,6998.25," In Tibetan Buddhism, Dorje/Vajra “method"" and Bell “wisdom” signifies the union of duality such as
bliss and emptiness, compassion and wisdom, male and female, etc. these bells are also very
significant in the Hindu religion where the bells have different cultural significance differing
from place to place. Height x Diameter ~ 7"" x 3.5"" Weight ~ 720g",Bells & Dorjes,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210830-WA0011-01_1024x1024.jpg?v=1632469135, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210830-WA0014-01_1024x1024.jpg?v=1632469135",,Default Title   ,6998.25,40803219603613
856bce7f3743bc2389488851ef4214679d4dd50050c1438adf0809330a97435f,Black Special Bell and Dorjee,6123.25," In Tibetan Buddhism, Dorje/Vajra “method"" and Bell “wisdom” signifies the union of duality such as
bliss and emptiness, compassion and wisdom, male and female, etc. these bells are also very
significant in the Hindu religion where the bells have different cultural significance differing
from place to place. Height x Diameter chart Medium 6.4"" x 3.1"" Large 7.4"" x 3.8""",Bells & Dorjes,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Others_1024x1024.jpg?v=1662304807,Size,Medium   ,6123.25,44358649020662
856bce7f3743bc2389488851ef4214679d4dd50050c1438adf0809330a97435f,Black Special Bell and Dorjee,6998.25," In Tibetan Buddhism, Dorje/Vajra “method"" and Bell “wisdom” signifies the union of duality such as
bliss and emptiness, compassion and wisdom, male and female, etc. these bells are also very
significant in the Hindu religion where the bells have different cultural significance differing
from place to place. Height x Diameter chart Medium 6.4"" x 3.1"" Large 7.4"" x 3.8""",Bells & Dorjes,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Others_1024x1024.jpg?v=1662304807,,Large   ,6998.25,44358649053430
3f824ff12bfe8c951cc1b49d16df5daf483d4864990da388475c073208103abf,Nine Legs Alloy Bell and Dorjee,5248.25," In Tibetan Buddhism, Dorje/Vajra “method"" and Bell “wisdom” signifies the union of duality such as
bliss and emptiness, compassion and wisdom, male and female, etc. these bells are also very
significant in the Hindu religion where the bells have different cultural significance differing
from place to place. Height x Diameter ~ 7.1"" x 3.3"" Weight ~ 720g",Bells & Dorjes,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210830-WA0012-01_1024x1024.jpg?v=1630320671, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210830-WA0018-01_80567cd7-3fb1-450c-b63c-dad029afb11a_1024x1024.jpg?v=1630320671",,Default Title   ,5248.25,37759034196125
37b3a2265cea506891512eb1536a5fc8083b2072913ba86c530e19bc25d0a181,Bell and Dorjee Cover,873.25, Brocade covering made to fit for Bell & Dorjee,Bells & Dorjes,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210118-WA0012-01_1024x1024.jpg?v=1610987769, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210118-WA0013-01_1024x1024.jpg?v=1610987769",,Default Title   ,873.25,37632975011997
626a7c2e3ab3081b16521366053fe61cca66888df07aa64422873634519c1096,Alloy Bell and Dorjee,2185.75," In Tibetan Buddhism, Dorje/Vajra “method"" and Bell “wisdom” signifies the union of duality such as
bliss and emptiness, compassion and wisdom, male and female, etc. these bells are also very
significant in the Hindu religion where the bells have different cultural significance differing
from place to place. Size (Height x Diameter) chart Small 5.5"" x 2.5"" Medium 6"" x 3"" Large 6.6"" x
3.4"" *approximately",Bells & Dorjes,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Alloy_Bell_and_Dorjee-_Small_Medium_Big-01_1024x1024.jpg?v=1600873203, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210830-WA0018-01_1024x1024.jpg?v=1630318942",Size,Small   ,2185.75,36249435865245
626a7c2e3ab3081b16521366053fe61cca66888df07aa64422873634519c1096,Alloy Bell and Dorjee,2623.25," In Tibetan Buddhism, Dorje/Vajra “method"" and Bell “wisdom” signifies the union of duality such as
bliss and emptiness, compassion and wisdom, male and female, etc. these bells are also very
significant in the Hindu religion where the bells have different cultural significance differing
from place to place. Size (Height x Diameter) chart Small 5.5"" x 2.5"" Medium 6"" x 3"" Large 6.6"" x
3.4"" *approximately",Bells & Dorjes,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Alloy_Bell_and_Dorjee-_Small_Medium_Big-01_1024x1024.jpg?v=1600873203, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/IMG-20210830-WA0018-01_1024x1024.jpg?v=1630318942",,Medium   ,2623.25,36249435898013
