title,price,brand,story_description,category,sub_category,image_urls,size_title,size,description,id
French Crown Jungle Perfume,"1,597",Frenchcrown," Story To be an exotic man of the jungle. A Citrus - woody-spicy Fragrance, a potent take on
freshness, fizzes, and bursts with stylish wooden packaging that exudes a royal vibe. Feels like an
escape to the very heart of nature and quickly turns into a smooth wave of seduction. Leave behind
the stressful city rush and focus on what really matters.",Men’s,Men’s Perfumes,"https://frenchcrown.in/cdn/shop/products/PF-10-JUNGLE_1_360x.jpg?v=1674138252, https://frenchcrown.in/cdn/shop/products/PF-10-JUNGLE_1_800x.jpg?v=1674138252, https://frenchcrown.in/cdn/shop/products/PF-10-JUNGLE_2_800x.jpg?v=1674138252, https://frenchcrown.in/cdn/shop/products/PF-10-JUNGLE_4_800x.jpg?v=1674138252, https://frenchcrown.in/cdn/shop/products/PF-10-JUNGLE_5_800x.jpg?v=1674138252, https://frenchcrown.in/cdn/shop/products/PF-10-JUNGLE_6_800x.jpg?v=1674138252, https://frenchcrown.in/cdn/shop/products/PF-10-JUNGLE_7_800x.jpg?v=1674138252",Select Size,,"To be an exotic man of the jungle. A Citrus - woody-spicy Fragrance, a potent take on freshness,
fizzes, and bursts with stylish wooden packaging that exudes a royal vibe. Feels like an escape to
the very heart of nature and quickly turns into a smooth wave of seduction. Leave behind the
stressful city rush and focus on what really matters.Designed to enhance a man’s natural scent, this perfume gives out a classy and powerful aroma.
It typically contains a mix of essential oils and other aromatic compounds, with each scent unique
to an individual’s personality.
Apply your selected scent to pulse points and exposed sections of skin, such as the neck or wrists,
for a lasting effect throughout the day.",1674138252
French Crown stogy Perfume,"1,397",Frenchcrown," Story Energetic and Refreshing. Explore your villainous streak with all-new cigar perfume for men
by French Crown. This new fragrance, with woody notes, keeps body odour at bay and lasts forever.
Spray it on your shoulder and cuffs and unravel your lethal personality like a true-blue villain.
The finesse of the wooden packaging gives a royal look to the product.",Men’s,Men’s Perfumes,"https://frenchcrown.in/cdn/shop/products/PF-3-CIGAR_1_360x.jpg?v=1674138173, https://frenchcrown.in/cdn/shop/products/PF-3-CIGAR_1_800x.jpg?v=1674138173, https://frenchcrown.in/cdn/shop/products/PF-3-CIGAR_2_800x.jpg?v=1674138173, https://frenchcrown.in/cdn/shop/products/PF-3-CIGAR_4_800x.jpg?v=1674138173, https://frenchcrown.in/cdn/shop/products/PF-3-CIGAR_5_800x.jpg?v=1674138173, https://frenchcrown.in/cdn/shop/products/PF-3-CIGAR_6_800x.jpg?v=1674138173, https://frenchcrown.in/cdn/shop/products/PF-3-CIGAR_7_800x.jpg?v=1674138173",Select Size,,"Energetic and Refreshing. Explore your villainous streak with all-new cigar perfume for men by
French Crown. This new fragrance, with woody notes, keeps body odour at bay and lasts forever. Spray
it on your shoulder and cuffs and unravel your lethal personality like a true-blue villain. The
finesse of the wooden packaging gives a royal look to the product.Designed to enhance a man’s natural scent, this perfume gives out a classy and powerful aroma.
It typically contains a mix of essential oils and other aromatic compounds, with each scent unique
to an individual’s personality.
Apply your selected scent to pulse points and exposed sections of skin, such as the neck or wrists,
for a lasting effect throughout the day.",1674138173
French Crown Wild Perfume,"1,397",Frenchcrown," Story Energetic and Refreshing. Explore your villainous streak with all-new wild perfume for men by
French Crown. This new fragrance, with woody notes, keeps body odour at bay and lasts forever. Spray
it on your shoulder and cuffs and unravel your lethal personality like a true-blue villain. The
finesse of the wooden packaging gives a royal look to the product.",Men’s,Men’s Perfumes,"https://frenchcrown.in/cdn/shop/products/PF-2-WILDFOREST_1_360x.jpg?v=1674138164, https://frenchcrown.in/cdn/shop/products/PF-2-WILDFOREST_1_800x.jpg?v=1674138164, https://frenchcrown.in/cdn/shop/products/PF-2-WILDFOREST_2_800x.jpg?v=1674138164, https://frenchcrown.in/cdn/shop/products/PF-2-WILDFOREST_5_800x.jpg?v=1674138164, https://frenchcrown.in/cdn/shop/products/PF-2-WILDFOREST_6_800x.jpg?v=1674138164, https://frenchcrown.in/cdn/shop/products/PF-2-WILDFOREST_7_800x.jpg?v=1674138164, https://frenchcrown.in/cdn/shop/products/PF-2-WILDFOREST_8_800x.jpg?v=1674138164",Select Size,,"Energetic and Refreshing. Explore your villainous streak with all-new wild perfume for men by French
Crown. This new fragrance, with woody notes, keeps body odour at bay and lasts forever. Spray it on
your shoulder and cuffs and unravel your lethal personality like a true-blue villain. The finesse of
the wooden packaging gives a royal look to the product.Designed to enhance a man’s natural scent, this perfume gives out a classy and powerful aroma.
It typically contains a mix of essential oils and other aromatic compounds, with each scent unique
to an individual’s personality.
Apply your selected scent to pulse points and exposed sections of skin, such as the neck or wrists,
for a lasting effect throughout the day.",1674138164
French Crown Gold Rust Perfume,"1,297",Frenchcrown," Story Calm your soul and create a jolly mood with this French Crown gold rust perfume that imparts
a lasting fragrance and inspired impression with stylish wooden packaging that oozes a royal vibe.
It exudes a zesty and fresh aroma.",Men’s,Men’s Perfumes,"https://frenchcrown.in/cdn/shop/products/PF-11-GOLDRUST_1_360x.jpg?v=1674138273, https://frenchcrown.in/cdn/shop/products/PF-11-GOLDRUST_1_800x.jpg?v=1674138273, https://frenchcrown.in/cdn/shop/products/PF-11-GOLDRUST_2_800x.jpg?v=1674138273, https://frenchcrown.in/cdn/shop/products/PF-11-GOLDRUST_4_800x.jpg?v=1674138273, https://frenchcrown.in/cdn/shop/products/PF-11-GOLDRUST_5_800x.jpg?v=1674138273, https://frenchcrown.in/cdn/shop/products/PF-11-GOLDRUST_6_800x.jpg?v=1674138273, https://frenchcrown.in/cdn/shop/products/PF-11-GOLDRUST_7_800x.jpg?v=1674138273",Select Size,,"Calm your soul and create a jolly mood with this French Crown gold rust perfume that imparts a
lasting fragrance and inspired impression with stylish wooden packaging that oozes a royal vibe. It
exudes a zesty and fresh aroma.Designed to enhance a man’s natural scent, this perfume gives out a classy and powerful aroma.
It typically contains a mix of essential oils and other aromatic compounds, with each scent unique
to an individual’s personality.
Apply your selected scent to pulse points and exposed sections of skin, such as the neck or wrists,
for a lasting effect throughout the day.",1674138273
French Crown Fire Perfume,"1,397",Frenchcrown," Story Energetic and Refreshing. Explore your villainous streak with all-new fire perfume for men by
French Crown. This new fragrance, with spicy and woody notes, keeps body odour at bay and lasts
forever. Spray it on your shoulder and cuffs and unravel your lethal personality like a true-blue
villain. The finesse of the wooden packaging gives a royal look to the product.",Men’s,Men’s Perfumes,"https://frenchcrown.in/cdn/shop/products/PF-1-FIRE_1_360x.jpg?v=1674145569, https://frenchcrown.in/cdn/shop/products/PF-1-FIRE_1_800x.jpg?v=1674145569, https://frenchcrown.in/cdn/shop/products/PF-1-FIRE_2_800x.jpg?v=1674145570, https://frenchcrown.in/cdn/shop/products/PF-1-FIRE_5_800x.jpg?v=1674145568, https://frenchcrown.in/cdn/shop/products/PF-1-FIRE_6_800x.jpg?v=1674145568, https://frenchcrown.in/cdn/shop/products/PF-1-FIRE_7_800x.jpg?v=1674145569, https://frenchcrown.in/cdn/shop/products/PF-1-FIRE_8_800x.jpg?v=1674145569",Select Size,,"Energetic and Refreshing. Explore your villainous streak with all-new fire perfume for men by French
Crown. This new fragrance, with spicy and woody notes, keeps body odour at bay and lasts forever.
Spray it on your shoulder and cuffs and unravel your lethal personality like a true-blue villain.
The finesse of the wooden packaging gives a royal look to the product.Designed to enhance a man’s natural scent, this perfume gives out a classy and powerful aroma.
It typically contains a mix of essential oils and other aromatic compounds, with each scent unique
to an individual’s personality.
Apply your selected scent to pulse points and exposed sections of skin, such as the neck or wrists,
for a lasting effect throughout the day.",1674145569
French Crown Fire and Vintage Perfume Combo,"2,347",Frenchcrown," Story Pour yourself a brilliantly boozy concoction with this fire and vintage perfume combo from
French Crown. Their intense and unique aroma for sure raises your bar. The utterly masculine
fragrance is long-lasting and strong that lets you be outlandish with ultimate sophistication.",Men’s,Men’s Perfumes,"https://frenchcrown.in/cdn/shop/products/PFC-1_1_360x.jpg?v=1674146195, https://frenchcrown.in/cdn/shop/products/PFC-1_1_800x.jpg?v=1674146195, https://frenchcrown.in/cdn/shop/products/PFC-1_2_800x.jpg?v=1674146196, https://frenchcrown.in/cdn/shop/products/PFC-1_4_800x.jpg?v=1674146194, https://frenchcrown.in/cdn/shop/products/PFC-1_5_800x.jpg?v=1674146199, https://frenchcrown.in/cdn/shop/products/PFC-1_6_800x.jpg?v=1674146194, https://frenchcrown.in/cdn/shop/products/PFC-1_7_800x.jpg?v=1674146196, https://frenchcrown.in/cdn/shop/products/PFC-1_8_800x.jpg?v=1674146198, https://frenchcrown.in/cdn/shop/products/PFC-1_9_800x.jpg?v=1674146195, https://frenchcrown.in/cdn/shop/products/PFC-1_10_800x.jpg?v=1674146197, https://frenchcrown.in/cdn/shop/products/PFC-1_11_800x.jpg?v=1674146197, https://frenchcrown.in/cdn/shop/products/PFC-1_12_800x.jpg?v=1674146198",Select Size,,"Pour yourself a brilliantly boozy concoction with this fire and vintage perfume combo from French
Crown. Their intense and unique aroma for sure raises your bar. The utterly masculine fragrance is
long-lasting and strong that lets you be outlandish with ultimate sophistication.Designed to enhance a man’s natural scent, this perfume gives out a classy and powerful aroma.
It typically contains a mix of essential oils and other aromatic compounds, with each scent unique
to an individual’s personality.
Apply your selected scent to pulse points and exposed sections of skin, such as the neck or wrists,
for a lasting effect throughout the day.",1674146195
French Crown Vintage Perfume,"1,297",Frenchcrown," Story We tell of wood and energizing fragrance carrying the spirit of masculinity and power. A new,
luxurious and elegant fragrance for the heroic personality. This old vintage fragrance and royal
wooden packaging can bring back anyone to its roots.",Men’s,Men’s Perfumes,"https://frenchcrown.in/cdn/shop/products/PF-15-VINTAGE_1_360x.jpg?v=1674138358, https://frenchcrown.in/cdn/shop/products/PF-15-VINTAGE_1_800x.jpg?v=1674138358, https://frenchcrown.in/cdn/shop/products/PF-15-VINTAGE_2_800x.jpg?v=1674138358, https://frenchcrown.in/cdn/shop/products/PF-15-VINTAGE_4_800x.jpg?v=1674138358, https://frenchcrown.in/cdn/shop/products/PF-15-VINTAGE_5_800x.jpg?v=1674138358, https://frenchcrown.in/cdn/shop/products/PF-15-VINTAGE_6_800x.jpg?v=1674138358, https://frenchcrown.in/cdn/shop/products/PF-15-VINTAGE_7_800x.jpg?v=1674138358",Select Size,,"We tell of wood and energizing fragrance carrying the spirit of masculinity and power. A new,
luxurious and elegant fragrance for the heroic personality. This old vintage fragrance and royal
wooden packaging can bring back anyone to its roots.Designed to enhance a man’s natural scent, this perfume gives out a classy and powerful aroma.
It typically contains a mix of essential oils and other aromatic compounds, with each scent unique
to an individual’s personality.
Apply your selected scent to pulse points and exposed sections of skin, such as the neck or wrists,
for a lasting effect throughout the day.",1674138358
"French Crown sheesha , Icy Mint, stogy, Ice Cube, Vintage, Wild Forest, Woody, Cool Water, and Gold Rust Tester Combo","1,637",Frenchcrown," Story Are you someone who loves to switch perfumes according to the occasion and mood? If yes, then
this is the perfect time for you to try out our perfume trial set for men which offers you a
travel-friendly option with an enormous range of fragrances.",Men’s,Men’s Perfumes,"https://frenchcrown.in/cdn/shop/products/PFT-4_1_360x.jpg?v=1674190407, https://frenchcrown.in/cdn/shop/products/PFT-4_1_800x.jpg?v=1674190407, https://frenchcrown.in/cdn/shop/products/PFT-4_2_800x.jpg?v=1674190409, https://frenchcrown.in/cdn/shop/products/PFT-4_4_800x.jpg?v=1674190403, https://frenchcrown.in/cdn/shop/products/PFT-4_5_800x.jpg?v=1674190408, https://frenchcrown.in/cdn/shop/products/PFT-4_6_800x.jpg?v=1674190405, https://frenchcrown.in/cdn/shop/products/PFT-4_7_800x.jpg?v=1674190406, https://frenchcrown.in/cdn/shop/products/PFT-4_8_800x.jpg?v=1674190404, https://frenchcrown.in/cdn/shop/products/PFT-4_9_800x.jpg?v=1674190408, https://frenchcrown.in/cdn/shop/products/PFT-4_10_800x.jpg?v=1674190405, https://frenchcrown.in/cdn/shop/products/PFT-4_11_800x.jpg?v=1674190405, https://frenchcrown.in/cdn/shop/products/PFT-4_12_800x.jpg?v=1674190406",Select Size,,"Are you someone who loves to switch perfumes according to the occasion and mood? If yes, then this
is the perfect time for you to try out our perfume trial set for men which offers you a travel-
friendly option with an enormous range of fragrances.Designed to enhance a man’s natural scent, this perfume gives out a classy and powerful aroma.
It typically contains a mix of essential oils and other aromatic compounds, with each scent unique
to an individual’s personality.
Apply your selected scent to pulse points and exposed sections of skin, such as the neck or wrists,
for a lasting effect throughout the day.",1674190407
"French Crown sheesha , stogy, Smokey, Charcoal, and Fire Tester Combo",987,Frenchcrown," Story Are you someone who loves to switch perfumes according to the occasion and mood? If yes, then
this is the perfect time for you to try out our perfume trial set for men which offers you a
travel-friendly option with an enormous range of fragrances.",Men’s,Men’s Perfumes,"https://frenchcrown.in/cdn/shop/products/PFT-1_1_360x.jpg?v=1674190161, https://frenchcrown.in/cdn/shop/products/PFT-1_1_800x.jpg?v=1674190161, https://frenchcrown.in/cdn/shop/products/PFT-1_2_800x.jpg?v=1674190160, https://frenchcrown.in/cdn/shop/products/PFT-1_4_800x.jpg?v=1674190159, https://frenchcrown.in/cdn/shop/products/PFT-1_5_800x.jpg?v=1674190159, https://frenchcrown.in/cdn/shop/products/PFT-1_6_800x.jpg?v=1674190160, https://frenchcrown.in/cdn/shop/products/PFT-1_7_800x.jpg?v=1674190161, https://frenchcrown.in/cdn/shop/products/PFT-1_8_800x.jpg?v=1674190160",Select Size,,"Are you someone who loves to switch perfumes according to the occasion and mood? If yes, then this
is the perfect time for you to try out our perfume trial set for men which offers you a travel-
friendly option with an enormous range of fragrances.Designed to enhance a man’s natural scent, this perfume gives out a classy and powerful aroma.
It typically contains a mix of essential oils and other aromatic compounds, with each scent unique
to an individual’s personality.
Apply your selected scent to pulse points and exposed sections of skin, such as the neck or wrists,
for a lasting effect throughout the day.",1674190161
"French Crown Woody, Gold Rust, Ice Cube, Wild Forest, and Jungle Tester Combo","1,027",Frenchcrown," Story Are you someone who loves to switch perfumes according to the occasion and mood? If yes, then
this is the perfect time for you to try out our perfume trial set for men which offers you a
travel-friendly option with an enormous range of fragrances.",Men’s,Men’s Perfumes,"https://frenchcrown.in/cdn/shop/products/PFT-3_1_360x.jpg?v=1674190200, https://frenchcrown.in/cdn/shop/products/PFT-3_1_800x.jpg?v=1674190200, https://frenchcrown.in/cdn/shop/products/PFT-3_2_800x.jpg?v=1674190198, https://frenchcrown.in/cdn/shop/products/PFT-3_4_800x.jpg?v=1674190198, https://frenchcrown.in/cdn/shop/products/PFT-3_5_800x.jpg?v=1674190199, https://frenchcrown.in/cdn/shop/products/PFT-3_6_800x.jpg?v=1674190201, https://frenchcrown.in/cdn/shop/products/PFT-3_7_800x.jpg?v=1674190200, https://frenchcrown.in/cdn/shop/products/PFT-3_8_800x.jpg?v=1674190198",Select Size,,"Are you someone who loves to switch perfumes according to the occasion and mood? If yes, then this
is the perfect time for you to try out our perfume trial set for men which offers you a travel-
friendly option with an enormous range of fragrances.Designed to enhance a man’s natural scent, this perfume gives out a classy and powerful aroma.
It typically contains a mix of essential oils and other aromatic compounds, with each scent unique
to an individual’s personality.
Apply your selected scent to pulse points and exposed sections of skin, such as the neck or wrists,
for a lasting effect throughout the day.",1674190200
