identifier,title,price,description,category,image_urls,variation_titles,name_variations,variations_price,id
d975b3a106097fcbc32440fe7859158547e8cd9e5642171b92ca6a7b574ab3ce,Brass Carved Butter Lamp,"7"" -  1,485.75"," Chimi are a common ritual in Tibetan Buddhist temples and monasteries. These help to focus the mind
and aid meditation and offers light to dispel one's inner darkness.",Butter-lamps,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/ButterLamp_1024x1024.jpg?v=1647094543,Height,7  ,"1,485.75",36830720884893
d975b3a106097fcbc32440fe7859158547e8cd9e5642171b92ca6a7b574ab3ce,Brass Carved Butter Lamp,"9"" -  1,835.75"," Chimi are a common ritual in Tibetan Buddhist temples and monasteries. These help to focus the mind
and aid meditation and offers light to dispel one's inner darkness.",Butter-lamps,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/ButterLamp_1024x1024.jpg?v=1647094543,Height,9  ,"1,835.75",36830720917661
d975b3a106097fcbc32440fe7859158547e8cd9e5642171b92ca6a7b574ab3ce,Brass Carved Butter Lamp,"11"" -  2,623.25"," Chimi are a common ritual in Tibetan Buddhist temples and monasteries. These help to focus the mind
and aid meditation and offers light to dispel one's inner darkness.",Butter-lamps,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/ButterLamp_1024x1024.jpg?v=1647094543,Height,11  ,"2,623.25",36830720950429
d975b3a106097fcbc32440fe7859158547e8cd9e5642171b92ca6a7b574ab3ce,Brass Carved Butter Lamp,"13"" -  3,323.25"," Chimi are a common ritual in Tibetan Buddhist temples and monasteries. These help to focus the mind
and aid meditation and offers light to dispel one's inner darkness.",Butter-lamps,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/ButterLamp_1024x1024.jpg?v=1647094543,Height,13  ,"3,323.25",36830720983197
d975b3a106097fcbc32440fe7859158547e8cd9e5642171b92ca6a7b574ab3ce,Brass Carved Butter Lamp,"15"" -  4,898.25"," Chimi are a common ritual in Tibetan Buddhist temples and monasteries. These help to focus the mind
and aid meditation and offers light to dispel one's inner darkness.",Butter-lamps,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/ButterLamp_1024x1024.jpg?v=1647094543,Height,15  ,"4,898.25",36830721015965
d975b3a106097fcbc32440fe7859158547e8cd9e5642171b92ca6a7b574ab3ce,Brass Carved Butter Lamp,"17"" -  5,948.25"," Chimi are a common ritual in Tibetan Buddhist temples and monasteries. These help to focus the mind
and aid meditation and offers light to dispel one's inner darkness.",Butter-lamps,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/ButterLamp_1024x1024.jpg?v=1647094543,Height,17  ,"5,948.25",36830721048733
d975b3a106097fcbc32440fe7859158547e8cd9e5642171b92ca6a7b574ab3ce,Brass Carved Butter Lamp,"19"" -  7,348.25"," Chimi are a common ritual in Tibetan Buddhist temples and monasteries. These help to focus the mind
and aid meditation and offers light to dispel one's inner darkness.",Butter-lamps,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/ButterLamp_1024x1024.jpg?v=1647094543,Height,19  ,"7,348.25",36830721081501
4b8e935b7f540dd7e31820e3535fa29ab17275fe708a9398d1ba1b1c74435623,Brass Japani Butter Lamp,"Small -  1,485.75"," Chimi Size chart (Height x Diameter) Small 4.5"" x 3.2"" Medium 5.5"" x 3.5"" Large 6"" x 4""
*approximately",Butter-lamps,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Brass_Japani_Butter_Lamp-4_5_6_7_9_12_inches-01-01_1024x1024.jpg?v=1600874265,Size,Small  ,"1,485.75",36259706699933
4b8e935b7f540dd7e31820e3535fa29ab17275fe708a9398d1ba1b1c74435623,Brass Japani Butter Lamp,"Medium -  1,748.25"," Chimi Size chart (Height x Diameter) Small 4.5"" x 3.2"" Medium 5.5"" x 3.5"" Large 6"" x 4""
*approximately",Butter-lamps,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Brass_Japani_Butter_Lamp-4_5_6_7_9_12_inches-01-01_1024x1024.jpg?v=1600874265,Size,Medium  ,"1,748.25",36259706732701
4b8e935b7f540dd7e31820e3535fa29ab17275fe708a9398d1ba1b1c74435623,Brass Japani Butter Lamp,"Large -  2,010.75"," Chimi Size chart (Height x Diameter) Small 4.5"" x 3.2"" Medium 5.5"" x 3.5"" Large 6"" x 4""
*approximately",Butter-lamps,http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Brass_Japani_Butter_Lamp-4_5_6_7_9_12_inches-01-01_1024x1024.jpg?v=1600874265,Size,Large  ,"2,010.75",36259706863773
b43dee0feb1b4507ec867d6cea91a952614fe694caed34447e491e0663f0ebbc,Dhungree for Butter Lamps,Small -  26.25," Batti/Cotton sticks for Chimi. 1 bundle contains about 50 Battis. Size In inches Small 2.2"" Medium
3.1""",Butter-lamps,"http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Dhungree_2_1024x1024.jpg?v=1671039992, http://cdn.shopify.com/s/files/1/0481/5326/4285/products/Dhungree_3ca4bfe3-b95e-4b62-b0d2-507d3bf15a11_1024x1024.jpg?v=1671039992",Size,Small  ,26.25,44747206918390
